raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Chahar to Jaiswal, no run 
Zips away to beat the bat. Heart of a length, lands around off and rises above fourth, 
Jaiswal tries a late cut, but ended up having a poke",0.1,0,0.0,"Chahar to Jaiswal, no run  .Zips away to beat the bat. Heart of a length, lands around off and rises above fourth,  .Jaiswal tries a late cut, but ended up having a poke",Chahar,Jaiswal,0.0,0,0,1,1,0.0,0,,0
"0.2 
1 
Chahar to Jaiswal, 1 run 
Seams in from fourth stump. Hard length. Jaiswal bends back and cuts to deep point 
Dev: ""Big test for Suryavanshi aginst smart bowlers like Bumrah, Boult, and Pandya. let 
the fun begin."" Deep square and third out. Slip in",0.2,1,1.0,"Chahar to Jaiswal, 1 run  .Seams in from fourth stump. Hard length. Jaiswal bends back and cuts to deep point",Chahar,Jaiswal,1.0,0,0,1,1,1.0,0,,1
"0.3 
• 
Chahar to V Suryavanshi, no run 
Yorker on fourth, Vaibhav goes back and across to jam it to cover",0.3,0,0.0,"Chahar to V Suryavanshi, no run  .Yorker on fourth, Vaibhav goes back and across to jam it to cover",Chahar,V Suryavanshi,0.0,0,0,1,1,0.0,0,,0
"0.4 
W 
Chahar to V Suryavanshi, OUT 
Second-ball duck after a ton for Suryavanshi. He winces, has a single-teapot and 
stands for a while before looking down and trudging back. Attempted yorker from 
Chahar, 130ks, on fourth. Ended up a full ball that landed in front of the crease. 
Suryavanshi was back in the crease, had a diagonal stance - back foot on off and front 
pointing at mid-on - and tried to scrape it over mid-on but couldn't get underneath it. 
Vaibhav Suryavanshi c Jacks b Chahar 0 (2b 0x4 0x6 4m) SR: 0 
See all photos",0.4,W,0.0,"Chahar to V Suryavanshi, OUT  .Second-ball duck after a ton for Suryavanshi. He winces, has a single-teapot and  .stands for a while before looking down and trudging back. Attempted yorker from  .Chahar, 130ks, on fourth. Ended up a full ball that landed in front of the crease.  .Suryavanshi was back in the crease, had a diagonal stance - back foot on off and front  .pointing at mid-on - and tried to scrape it over mid-on but couldn't get underneath it.  .Vaibhav Suryavanshi c Jacks b Chahar 0 (2b 0x4 0x6 4m) SR: 0",Chahar,V Suryavanshi,0.0,0,0,1,1,0.0,1,c Jacks b Chahar,0
"0.5 
5w 
Chahar to Rana, 5 wide 
Bouncer his high and pacy, goes over the batter and the leaping keeper 
Srividya : """,0.5,5w,5.0,"Chahar to Rana, 5 wide  .Bouncer his high and pacy, goes over the batter and the leaping keeper",Chahar,Rana,0.0,0,0,0,0,5.0,0,,1
"0.5 
• 
Chahar to Rana, no run 
Length in the channel, patted to point",0.5,0,0.0,"Chahar to Rana, no run  .Length in the channel, patted to point",Chahar,Rana,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Chahar to Rana, no run 
Wide on a length, let go 
Arnav: ""Matt Roller you beeeaaaauuttyyy: Perfect Prediction"" 
SK: ""Reminiscent of the time when I used to turn off the TV when Sachin got out early :( 
Law of averages catches up but I was really rooting for the kid"" 
end of over 16 runs • 1 wicket 
RR: 6/1CRR: 6.00 • RRR: 11.15 • Need 212 runs from 114b 
Nitish Rana0 (2b) 
Yashasvi Jaiswal1 (2b) 
Deepak Chahar 1-0-6-1 
 
RR in Powerplay overs (in IPL, 2025) 
INNS 
11 
WKTS 
10 
RR 
10.72 
AVE 
65.40",0.6,0,0.0,"Chahar to Rana, no run  .Wide on a length, let go",Chahar,Rana,0.0,0,0,1,1,0.0,0,,0
"1.1 
6 
Boult to Jaiswal, SIX runs 
Dances down and carves it over cover. Pure premeditation. Jaiswal made room and had 
a slash. Back leg bent down to get underneath it, high hand speed to generate power",1.1,6,6.0,"Boult to Jaiswal, SIX runs  .Dances down and carves it over cover. Pure premeditation. Jaiswal made room and had  .a slash. Back leg bent down to get underneath it, high hand speed to generate power",Boult,Jaiswal,6.0,0,1,1,1,6.0,0,,1
"1.2 
• 
Boult to Jaiswal, no run 
Pitched up on fourth, punched to cover",1.2,0,0.0,"Boult to Jaiswal, no run  .Pitched up on fourth, punched to cover",Boult,Jaiswal,0.0,0,0,1,1,0.0,0,,0
"1.3 
6 
Boult to Jaiswal, SIX runs 
Mauled again. Drags it over mid-on from well outside off. Was an outswinger on a three-
quarter length",1.3,6,6.0,"Boult to Jaiswal, SIX runs  .Mauled again. Drags it over mid-on from well outside off. Was an outswinger on a three- .quarter length",Boult,Jaiswal,6.0,0,1,1,1,6.0,0,,1
"1.4 
W 
Boult to Jaiswal, OUT 
Boult has the last laugh, middle and off are pointing towards different directions, Boult 
points to the stumps, has a laugh and a cheeky word or two. 136ks, on a back of length, 
at the stumps, very skiddy, Jaiswal went for the pull and got beaten. 
Yashasvi Jaiswal b Boult 13 (6b 0x4 2x6 9m) SR: 216.66 
See all photos",1.4,W,0.0,"Boult to Jaiswal, OUT  .Boult has the last laugh, middle and off are pointing towards different directions, Boult  .points to the stumps, has a laugh and a cheeky word or two. 136ks, on a back of length,  .at the stumps, very skiddy, Jaiswal went for the pull and got beaten.  .Yashasvi Jaiswal b Boult 13 (6b 0x4 2x6 9m) SR: 216.66",Boult,Jaiswal,0.0,0,0,1,1,0.0,1,b Boult,0
"1.5 
1 
Boult to Parag, 1 run 
Very short, rises around neck-height. Parag was hopping over the crease, didn't fend 
forward. Had hands close to the body, bottom hand came off, ball went off the sticker 
into the ground closeby",1.5,1,1.0,"Boult to Parag, 1 run  .Very short, rises around neck-height. Parag was hopping over the crease, didn't fend  .forward. Had hands close to the body, bottom hand came off, ball went off the sticker  .into the ground closeby",Boult,Parag,1.0,0,0,1,1,1.0,0,,1
"1.6 
1 
Boult to Rana, 1 run 
Fullish on middle, flicked to mid-on 
Ben: ""Trent Boult's 300th t20 wicket!"" 
end of over 214 runs • 1 wicket 
RR: 20/2CRR: 10.00 • RRR: 11.00 • Need 198 runs from 108b 
Nitish Rana1 (3b) 
Riyan Parag1 (1b) 
Trent Boult 1-0-14-1 
Deepak Chahar 1-0-6-1",1.6,1,1.0,"Boult to Rana, 1 run  .Fullish on middle, flicked to mid-on",Boult,Rana,1.0,0,0,1,1,1.0,0,,1
"2.1 
• 
Chahar to Rana, no run 
A bit of swing in, on a back of length on off, tucked leg side",2.1,0,0.0,"Chahar to Rana, no run  .A bit of swing in, on a back of length on off, tucked leg side",Chahar,Rana,0.0,0,0,1,1,0.0,0,,0
"2.2 
2w 
Chahar to Rana, 2 wide 
Bouncer goes over the pull, keeper' gets a glove on it. Ball pops to the deep 
Thamizhachi : """,2.2,2w,2.0,"Chahar to Rana, 2 wide  .Bouncer goes over the pull, keeper' gets a glove on it. Ball pops to the deep",Chahar,Rana,0.0,0,0,0,0,2.0,0,,1
"2.2 
1 
Chahar to Parag, 1 run 
Length on leg, clipped to deep square leg",2.2,1,1.0,"Chahar to Parag, 1 run  .Length on leg, clipped to deep square leg",Chahar,Parag,1.0,0,0,1,1,1.0,0,,1
"2.3 
• 
Chahar to Rana, no run 
Swings in to beat bat. Rana tried to help it along with a lofted flick over square leg, gets 
hit on pad. Ball was on the fuller side of length, just outside leg",2.3,0,0.0,"Chahar to Rana, no run  .Swings in to beat bat. Rana tried to help it along with a lofted flick over square leg, gets  .hit on pad. Ball was on the fuller side of length, just outside leg",Chahar,Rana,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Chahar to Rana, no run 
Full on leg, clipped to midwicket. 134ks",2.4,0,0.0,"Chahar to Rana, no run  .Full on leg, clipped to midwicket. 134ks",Chahar,Rana,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Chahar to Rana, no run 
Dropped by Rohit at first slip. Rickelton dove left and Rohit went right, ball was going 
real low. Was too far for the keeper, Rohit went with the right hand, ball hit the palm and 
popped to the right. Couldn't get it on the second attempt. Gorgeous ball nonetheless. 
Fullish on fourth, angling away, Rana tried to push it with a straight bat, got a thin 
outside edge.",2.5,0,0.0,"Chahar to Rana, no run  .Dropped by Rohit at first slip. Rickelton dove left and Rohit went right, ball was going  .real low. Was too far for the keeper, Rohit went with the right hand, ball hit the palm and  .popped to the right. Couldn't get it on the second attempt. Gorgeous ball nonetheless.  .Fullish on fourth, angling away, Rana tried to push it with a straight bat, got a thin  .outside edge.",Chahar,Rana,0.0,0,0,1,1,0.0,0,,0
"2.6 
4 
Chahar to Rana, FOUR runs 
Overpitched on leg, clipped through square leg 
end of over 37 runs  
RR: 27/2CRR: 9.00 • RRR: 11.23 • Need 191 runs from 102b 
Nitish Rana5 (8b 1x4) 
Riyan Parag2 (2b) 
Deepak Chahar 2-0-13-1 
Trent Boult 1-0-14-1",2.6,4,4.0,"Chahar to Rana, FOUR runs  .Overpitched on leg, clipped through square leg",Chahar,Rana,4.0,1,0,1,1,4.0,0,,1
"3.1 
4 
Boult to Parag, FOUR runs 
Test ball again, Test shot too. Punches a length ball on top of the bounce through cover. 
Fourth-stump line that was, rose around top of front pad",3.1,4,4.0,"Boult to Parag, FOUR runs  .Test ball again, Test shot too. Punches a length ball on top of the bounce through cover.  .Fourth-stump line that was, rose around top of front pad",Boult,Parag,4.0,1,0,1,1,4.0,0,,1
"3.2 
4 
Boult to Parag, FOUR runs 
Wide and full, free slash for Parag. Bends the back leg and slices it up and over cover 
Deep square leg and deep point in place",3.2,4,4.0,"Boult to Parag, FOUR runs  .Wide and full, free slash for Parag. Bends the back leg and slices it up and over cover  .Deep square leg and deep point in place",Boult,Parag,4.0,1,0,1,1,4.0,0,,1
"3.3 
1 
Boult to Parag, 1 run 
Fullish on sixth, punched to deep point",3.3,1,1.0,"Boult to Parag, 1 run  .Fullish on sixth, punched to deep point",Boult,Parag,1.0,0,0,1,1,1.0,0,,1
"3.4 
• 
Boult to Rana, no run 
Length on fourth, worked to midwicket 
Hari : ""@Ekanth Who do you think is the weak link for MI in bowling? "" Bosch, if I had to 
pick a name. But they have Jacks if needed. Santner should be back in the future too, so 
it's a great attack",3.4,0,0.0,"Boult to Rana, no run  .Length on fourth, worked to midwicket",Boult,Rana,0.0,0,0,1,1,0.0,0,,0
"3.5 
4 
Boult to Rana, FOUR runs 
Goes back to make a length ball shorter than it is. Fifth-stump line, it's enough room for 
Rana to cut it hard through cover",3.5,4,4.0,"Boult to Rana, FOUR runs  .Goes back to make a length ball shorter than it is. Fifth-stump line, it's enough room for  .Rana to cut it hard through cover",Boult,Rana,4.0,1,0,1,1,4.0,0,,1
"3.6 
1w 
Boult to Rana, 1 wide 
Rana goes back again, he's standing inches in front of off stump as the full ball is 
speared ever so slightly down leg. Goes past the flick",3.6,1w,1.0,"Boult to Rana, 1 wide  .Rana goes back again, he's standing inches in front of off stump as the full ball is  .speared ever so slightly down leg. Goes past the flick",Boult,Rana,0.0,0,0,0,0,1.0,0,,1
"3.6 
W 
Boult to Rana, OUT 
The extra ball works in Boult's favour, Rana has picked up a slightly back-of-length ball 
and picks out deep square leg right on the rope. Tilak was still while taking the catch 
just over his left shoulder. Maintained his balance nicely. 137ks scrambled-seam ball 
was coming in at the stumps, shot was on tbf. But RR have lost three in the powerplay 
Nitish Rana c Tilak Varma b Boult 9 (11b 2x4 0x6 18m) SR: 81.81 
end of over 414 runs • 1 wicket 
RR: 41/3CRR: 10.25 • RRR: 11.06 • Need 177 runs from 96b 
Riyan Parag11 (5b 2x4) 
Trent Boult 2-0-28-2 
Deepak Chahar 2-0-13-1 
Bumrah in",3.6,W,0.0,"Boult to Rana, OUT  .The extra ball works in Boult's favour, Rana has picked up a slightly back-of-length ball  .and picks out deep square leg right on the rope. Tilak was still while taking the catch  .just over his left shoulder. Maintained his balance nicely. 137ks scrambled-seam ball  .was coming in at the stumps, shot was on tbf. But RR have lost three in the powerplay  .Nitish Rana c Tilak Varma b Boult 9 (11b 2x4 0x6 18m) SR: 81.81",Boult,Rana,0.0,0,0,1,1,0.0,1,c Tilak Varma b Boult,0
"4.1 
1 
Bumrah to Parag, 1 run 
Hits high on the splice first up. Short ball at the body, Parag's hopping inside the crease, 
he's fending but the hands aren't too far in front. Ball pops nearby",4.1,1,1.0,"Bumrah to Parag, 1 run  .Hits high on the splice first up. Short ball at the body, Parag's hopping inside the crease,  .he's fending but the hands aren't too far in front. Ball pops nearby",Bumrah,Parag,1.0,0,0,1,1,1.0,0,,1
"4.2 
1 
Bumrah to Jurel, 1 run 
At the body. Tucked through the leg side 
Karanbir Singh: ""Before Bumrah came back, that 5th bowler was the weak link for MI. 
Now they can only lose a one off match due to a freak performance by an opponent 
player. They are favourites to reach the top 2 and final in my opinion. Given their history 
in finals, even that one off defeat in finals looks unlikely.""",4.2,1,1.0,"Bumrah to Jurel, 1 run  .At the body. Tucked through the leg side",Bumrah,Jurel,1.0,0,0,1,1,1.0,0,,1
"4.3 
4 
Bumrah to Parag, FOUR runs 
Chips it through square leg. Skiddy back-of-length ball at the body, Parag's backlift may 
have been a touch early but he timed the roll of the wrist nicely 
 
Riyan Parag vs Jasprit Bumrah 
BALLS 
20 
RUNS 
17 
OUTS 
0 
SR 
85.00 
4s/6s 
2/0",4.3,4,4.0,"Bumrah to Parag, FOUR runs  .Chips it through square leg. Skiddy back-of-length ball at the body, Parag's backlift may  .have been a touch early but he timed the roll of the wrist nicely  .  .Riyan Parag vs Jasprit Bumrah  .BALLS  .20  .RUNS  .17  .OUTS  .0  .SR  .85.00  .4s/6s  .2/0",Bumrah,Parag,4.0,1,0,1,1,4.0,0,,1
