raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1w 
Siraj to Jaiswal, 1 wide 
very wide of off! Siraj angles this across, and goes on a length wide of off. Jaiswal lets it 
go, as the ball shapes away further",0.1,1w,1.0,"Siraj to Jaiswal, 1 wide  .very wide of off! Siraj angles this across, and goes on a length wide of off. Jaiswal lets it  .go, as the ball shapes away further",Siraj,Jaiswal,0.0,0,0,0,0,1.0,0,,1
"0.1 
• 
Siraj to Jaiswal, no run 
ohh, beaten! He looks to loft this fuller ball angling across to arrive around sixth stump, 
but plays without any foot movement",0.1,0,0.0,"Siraj to Jaiswal, no run  .ohh, beaten! He looks to loft this fuller ball angling across to arrive around sixth stump,  .but plays without any foot movement",Siraj,Jaiswal,0.0,0,0,1,1,0.0,0,,0
"0.2 
4 
Siraj to Jaiswal, FOUR runs 
drilled to deep cover! Siraj goes fuller still, and the line is just outside off this time. 
Jaiswal hangs deep in the crease, and crunches the ball in the massive gap",0.2,4,4.0,"Siraj to Jaiswal, FOUR runs  .drilled to deep cover! Siraj goes fuller still, and the line is just outside off this time.  .Jaiswal hangs deep in the crease, and crunches the ball in the massive gap",Siraj,Jaiswal,4.0,1,0,1,1,4.0,0,,1
"0.3 
• 
Siraj to Jaiswal, no run 
left alone! Wow! On a full length, and around fifth stump, and Jaiswal is happy to let it 
go 
MAC: ""Need Samson or Jaiswal to score a ton""",0.3,0,0.0,"Siraj to Jaiswal, no run  .left alone! Wow! On a full length, and around fifth stump, and Jaiswal is happy to let it  .go",Siraj,Jaiswal,0.0,0,0,1,1,0.0,0,,0
"0.4 
1w 
Siraj to Jaiswal, 1 wide 
another big wide, and Buttler collects the ball in front of first slip! I'm not sure if it's 
swinging a bit too much for Siraj, who goes fullish and wide of off, before Jaiswal 
leaves it alone",0.4,1w,1.0,"Siraj to Jaiswal, 1 wide  .another big wide, and Buttler collects the ball in front of first slip! I'm not sure if it's  .swinging a bit too much for Siraj, who goes fullish and wide of off, before Jaiswal  .leaves it alone",Siraj,Jaiswal,0.0,0,0,0,0,1.0,0,,1
"0.4 
1w 
Siraj to Jaiswal, 1 wide 
now wide outside leg! Siraj bowls on a short of a length, and wide of leg. Jaiswal shapes 
to clip, but the ball is too wide there",0.4,1w,1.0,"Siraj to Jaiswal, 1 wide  .now wide outside leg! Siraj bowls on a short of a length, and wide of leg. Jaiswal shapes  .to clip, but the ball is too wide there",Siraj,Jaiswal,0.0,0,0,0,0,1.0,0,,1
"0.4 
• 
Siraj to Jaiswal, no run 
lovely comeback! Siraj goes full and angles it across for the ball to pitch around fifth 
stump, before it shapes away to beat Jaiswal on the outside edge after he attempted a 
lofty drive",0.4,0,0.0,"Siraj to Jaiswal, no run  .lovely comeback! Siraj goes full and angles it across for the ball to pitch around fifth  .stump, before it shapes away to beat Jaiswal on the outside edge after he attempted a  .lofty drive",Siraj,Jaiswal,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Siraj to Jaiswal, no run 
beaten again! Siraj finding his lines back. On a good length on off, and again there is 
movement away from the pitch as Jaiswal looks to punch but sees the ball go past the 
outside edge",0.5,0,0.0,"Siraj to Jaiswal, no run  .beaten again! Siraj finding his lines back. On a good length on off, and again there is  .movement away from the pitch as Jaiswal looks to punch but sees the ball go past the  .outside edge",Siraj,Jaiswal,0.0,0,0,1,1,0.0,0,,0
"0.6 
2 
Siraj to Jaiswal, 2 runs 
clipped off his hips, and the ball dribbles towards deep square leg! Shorter side of a 
length on leg, and Jaiswal plays that late to beat the man at square leg to his left 
end of over 19 runs  
RR: 9/0CRR: 9.00 • RRR: 11.00 • Need 209 runs from 114b 
Yashasvi Jaiswal6 (6b 1x4) 
Sanju Samson0 (0b) 
Mohammed Siraj 1-0-9-0 
Arshad from the other end 
Samson facing his first ball, with a slip in place",0.6,2,2.0,"Siraj to Jaiswal, 2 runs  .clipped off his hips, and the ball dribbles towards deep square leg! Shorter side of a  .length on leg, and Jaiswal plays that late to beat the man at square leg to his left",Siraj,Jaiswal,2.0,0,0,1,1,2.0,0,,1
"1.1 
1 
Arshad Khan to Samson, 1 run 
fumble at short midwicket, and Samson gets off the mark. Angled across, and on a 
length on off, as Samson pushed and the ball ricocheted off the fielder's hands to go 
wide of mid-on 
 
Yashasvi Jaiswal vs Arshad Khan 
BALLS 
9 
RUNS 
19 
OUTS 
2 
SR 
211.11 
4s/6s 
3/1",1.1,1,1.0,"Arshad Khan to Samson, 1 run  .fumble at short midwicket, and Samson gets off the mark. Angled across, and on a  .length on off, as Samson pushed and the ball ricocheted off the fielder's hands to go  .wide of mid-on  .  .Yashasvi Jaiswal vs Arshad Khan  .BALLS  .9  .RUNS  .19  .OUTS  .2  .SR  .211.11  .4s/6s  .3/1",Arshad Khan,Samson,1.0,0,0,1,1,1.0,0,,1
