raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Willey to Nissanka, no run 
angled across him from a length, steered straight to point",0.1,0,0.0,"Willey to Nissanka, no run  .angled across him from a length, steered straight to point",Willey,Nissanka,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Willey to Nissanka, no run 
length ball, width outside off, and Nissanka punches out to point on the bounce",0.2,0,0.0,"Willey to Nissanka, no run  .length ball, width outside off, and Nissanka punches out to point on the bounce",Willey,Nissanka,0.0,0,0,1,1,0.0,0,,0
"0.3 
4 
Willey to Nissanka, FOUR runs 
angling in, but a bit of a half-volley, and Nissanka creams it through the covers! Great 
shot. High front elbow, holds the pose in the follow-through. One for the snappers. Sri 
Lanka up and running",0.3,4,4.0,"Willey to Nissanka, FOUR runs  .angling in, but a bit of a half-volley, and Nissanka creams it through the covers! Great  .shot. High front elbow, holds the pose in the follow-through. One for the snappers. Sri  .Lanka up and running",Willey,Nissanka,4.0,1,0,1,1,4.0,0,,1
"0.4 
• 
Willey to Nissanka, no run 
big shout for lbw, and up goes Kettleborough's finger! Two noises, and Nissanka 
reviews Swung back into the pads from a good length. What did it hit first, bat or pad? 
The noise was very woody, and Ultra-Edge confirms Nissanka inside-edged it into the 
knee roll. Not out!",0.4,0,0.0,"Willey to Nissanka, no run  .big shout for lbw, and up goes Kettleborough's finger! Two noises, and Nissanka  .reviews Swung back into the pads from a good length. What did it hit first, bat or pad?  .The noise was very woody, and Ultra-Edge confirms Nissanka inside-edged it into the  .knee roll. Not out!",Willey,Nissanka,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Willey to Nissanka, no run 
nipping in from a length, nudged to square leg",0.5,0,0.0,"Willey to Nissanka, no run  .nipping in from a length, nudged to square leg",Willey,Nissanka,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Willey to Nissanka, no run 
half-volley, driven back down the pitch and Willey fields in his follow-through 
end of over 14 runs  
SL: 4/0CRR: 4.00  
Pathum Nissanka4 (6b 1x4) 
Kusal Perera0 (0b) 
David Willey 1-0-4-0 
Sam Curran to share the new ball, so two left-arm seamers to start. Perera on strike for 
the first time.",0.6,0,0.0,"Willey to Nissanka, no run  .half-volley, driven back down the pitch and Willey fields in his follow-through",Willey,Nissanka,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Sam Curran to Perera, no run 
hint of nibble away, defended back to the bowler",1.1,0,0.0,"Sam Curran to Perera, no run  .hint of nibble away, defended back to the bowler",Sam Curran,Perera,0.0,0,0,1,1,0.0,0,,0
"1.2 
W 
Sam Curran to Perera, OUT 
big shout for lbw, and this one is given too! Bailey had a think, then put the finger up. 
Perera reviews. No real movement off the seam, beating him on the inside edge. No 
foot movement from KJP as he looked to defend. Struck high, above the knee roll. No 
bat, impact in-line, and hitting the top of middle and leg. KJP is gone, second ball! 
Kusal Perera lbw b Curran 0 (2b 0x4 0x6 8m) SR: 0 
Jack: ""Umpire's call should be the name of a diss track."" -- Three reds that time, Jack. 
Avishka, he of the miraculous recovery, strides out at No. 3.",1.2,W,0.0,"Sam Curran to Perera, OUT  .big shout for lbw, and this one is given too! Bailey had a think, then put the finger up.  .Perera reviews. No real movement off the seam, beating him on the inside edge. No  .foot movement from KJP as he looked to defend. Struck high, above the knee roll. No  .bat, impact in-line, and hitting the top of middle and leg. KJP is gone, second ball!  .Kusal Perera lbw b Curran 0 (2b 0x4 0x6 8m) SR: 0",Sam Curran,Perera,0.0,0,0,1,1,0.0,1,lbw b Curran,0
"1.3 
2 
Sam Curran to Avishka Fernando, 2 runs 
half-volley outside off, driven through extra cover to get off the mark with a couple",1.3,2,2.0,"Sam Curran to Avishka Fernando, 2 runs  .half-volley outside off, driven through extra cover to get off the mark with a couple",Sam Curran,Avishka Fernando,2.0,0,0,1,1,2.0,0,,1
"1.4 
W 
Sam Curran to Avishka Fernando, OUT 
full and straight, and pinned lbw! Stinking start for Sri Lanka. Reviewed, but this looked 
very out to the naked eye. Swinging into the pads from a full length, as Avishka looked 
to clip out towards square leg. No bat, confirms Ultra-Edge. Only needs to clip leg 
stump... and is smashing it halfway up. Another review lost, and another Sam Curran 
wicket in his first over. 
Avishka Fernando lbw b Curran 2 (2b 0x4 0x6 4m) SR: 100 
DDS is in at No. 4. Two slips.",1.4,W,0.0,"Sam Curran to Avishka Fernando, OUT  .full and straight, and pinned lbw! Stinking start for Sri Lanka. Reviewed, but this looked  .very out to the naked eye. Swinging into the pads from a full length, as Avishka looked  .to clip out towards square leg. No bat, confirms Ultra-Edge. Only needs to clip leg  .stump... and is smashing it halfway up. Another review lost, and another Sam Curran  .wicket in his first over.  .Avishka Fernando lbw b Curran 2 (2b 0x4 0x6 4m) SR: 100",Sam Curran,Avishka Fernando,0.0,0,0,1,1,0.0,1,lbw b Curran,0
