raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1lb 
Madushanka to Tanzid Hasan, 1 leg bye 
short of a length on the body, glanced down to fine leg off the thigh guard 
""Dew is already apparent,"" says Ian Bishop on air. 
 
Dilshan Madushanka in Powerplay overs (in ODIs) 
BALLS 
312 
WKTS 
14 
4s/6s 
36/1 
ECON 
4.69 
AVE 
17.42",0.1,1lb,1.0,"Madushanka to Tanzid Hasan, 1 leg bye  .short of a length on the body, glanced down to fine leg off the thigh guard",Madushanka,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Madushanka to Litton Das, no run 
back of a length on off, chopped to point 
Two slips and a leg slip in place.",0.2,0,0.0,"Madushanka to Litton Das, no run  .back of a length on off, chopped to point  .Two slips and a leg slip in place.",Madushanka,Litton Das,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Madushanka to Litton Das, no run 
full on off, pushed straight to mid-off 
Tanishka: ""Target seems par given that Madushanka has been on fire in the previous 
few matches. Shanto is out of form, Litton has been hot and cold, and so has Shakib...""",0.3,0,0.0,"Madushanka to Litton Das, no run  .full on off, pushed straight to mid-off",Madushanka,Litton Das,0.0,0,0,1,1,0.0,0,,0
"0.4 
1 
Madushanka to Litton Das, 1 run 
good length on the pads, worked behind square leg",0.4,1,1.0,"Madushanka to Litton Das, 1 run  .good length on the pads, worked behind square leg",Madushanka,Litton Das,1.0,0,0,1,1,1.0,0,,1
"0.5 
4 
Madushanka to Tanzid Hasan, FOUR runs 
Lifted over point! This was full and wide, he reaches for this but gets the check drive 
square, in the air, but safe 
Sowmya : ""Seems Angelo hasn't moved on from his dismissal. Expecting some high 
tensions in the chase!""",0.5,4,4.0,"Madushanka to Tanzid Hasan, FOUR runs  .Lifted over point! This was full and wide, he reaches for this but gets the check drive  .square, in the air, but safe",Madushanka,Tanzid Hasan,4.0,1,0,1,1,4.0,0,,1
"0.6 
4 
Madushanka to Tanzid Hasan, FOUR runs 
What a hit! Fantastic batting. Skips down the track and long handles this down the 
ground, over long-on. Goes flat and far 
end of over 110 runs  
BAN: 10/0CRR: 10.00 • RRR: 5.51 • Need 270 runs from 49 overs 
Tanzid Hasan8 (3b 2x4) 
Litton Das1 (3b) 
Dilshan Madushanka 1-0-9-0 
Here's Theekshana",0.6,4,4.0,"Madushanka to Tanzid Hasan, FOUR runs  .What a hit! Fantastic batting. Skips down the track and long handles this down the  .ground, over long-on. Goes flat and far",Madushanka,Tanzid Hasan,4.0,1,0,1,1,4.0,0,,1
"1.1 
4 
Theekshana to Litton Das, FOUR runs 
Greeted with a boundary! This one drifted on the pads and was easily clipped behind 
square. Runs away on this fast outfield",1.1,4,4.0,"Theekshana to Litton Das, FOUR runs  .Greeted with a boundary! This one drifted on the pads and was easily clipped behind  .square. Runs away on this fast outfield",Theekshana,Litton Das,4.0,1,0,1,1,4.0,0,,1
"1.2 
1w 
Theekshana to Litton Das, 1 wide 
Another on that drifts through the air, swings down leg",1.2,1w,1.0,"Theekshana to Litton Das, 1 wide  .Another on that drifts through the air, swings down leg",Theekshana,Litton Das,0.0,0,0,0,0,1.0,0,,1
"1.2 
• 
Theekshana to Litton Das, no run 
better line. Full on middle and off, drifting in. Defended towards point",1.2,0,0.0,"Theekshana to Litton Das, no run  .better line. Full on middle and off, drifting in. Defended towards point",Theekshana,Litton Das,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Theekshana to Litton Das, no run 
Again full and drifting in, pushed towards short mid-on",1.3,0,0.0,"Theekshana to Litton Das, no run  .Again full and drifting in, pushed towards short mid-on",Theekshana,Litton Das,0.0,0,0,1,1,0.0,0,,0
