raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1 
Archer to B Sai Sudharsan, 1 run 
just 138.5 kph to begin from Archer, length delivery angling across the left-hander from 
over the wicket, Sai Sudharsan drives away from his body on the front foot and gets an 
outside edge to deep third",0.1,1,1.0,"Archer to B Sai Sudharsan, 1 run  .just 138.5 kph to begin from Archer, length delivery angling across the left-hander from  .over the wicket, Sai Sudharsan drives away from his body on the front foot and gets an  .outside edge to deep third",Archer,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"0.2 
• 
Archer to Gill, no run 
length delivery just outside off to the right-hander, Gill stays in his crease and dabs on 
the off side 
 
Shubman Gill vs Jofra Archer 
BALLS 
17 
RUNS 
11 
OUTS 
3 
SR 
64.70 
4s/6s 
1/0",0.2,0,0.0,"Archer to Gill, no run  .length delivery just outside off to the right-hander, Gill stays in his crease and dabs on  .the off side  .  .Shubman Gill vs Jofra Archer  .BALLS  .17  .RUNS  .11  .OUTS  .3  .SR  .64.70  .4s/6s  .1/0",Archer,Gill,0.0,0,0,1,1,0.0,0,,0
"0.3 
1 
Archer to Gill, 1 run 
wicket to wicket line on a good length, Gill moves back and across and pushes the ball 
towards mid on for a single",0.3,1,1.0,"Archer to Gill, 1 run  .wicket to wicket line on a good length, Gill moves back and across and pushes the ball  .towards mid on for a single",Archer,Gill,1.0,0,0,1,1,1.0,0,,1
"0.4 
• 
Archer to B Sai Sudharsan, no run 
141 kph on a wicket to wicket line, Sai Sudharsan stays on the back foot and defends on 
the off side",0.4,0,0.0,"Archer to B Sai Sudharsan, no run  .141 kph on a wicket to wicket line, Sai Sudharsan stays on the back foot and defends on  .the off side",Archer,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Archer to B Sai Sudharsan, no run 
no room to work with whatsoever, wicket to wicket on a good length, Sai Sudharsan 
stays in his crease and plays it back to the bowler 
Thamizhachi : ""Let us have a poll on which pair is the most exciting opening partnership 
(batting) this IPL!"" PBKS anyone?",0.5,0,0.0,"Archer to B Sai Sudharsan, no run  .no room to work with whatsoever, wicket to wicket on a good length, Sai Sudharsan  .stays in his crease and plays it back to the bowler",Archer,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
"0.6 
4 
Archer to B Sai Sudharsan, FOUR runs 
ends a superb over so far with a loose ball on the pads, too easy for Sai Sudharsan, who 
dispatches it to the square leg boundary with a flick off the pads all along the ground, 
Archer is upset with himself 
end of over 16 runs  
GT: 6/0CRR: 6.00  
Sai Sudharsan5 (4b 1x4) 
Shubman Gill1 (2b) 
Jofra Archer 1-0-6-0 
Maheesh Theekshana to bowl from over the wicket",0.6,4,4.0,"Archer to B Sai Sudharsan, FOUR runs  .ends a superb over so far with a loose ball on the pads, too easy for Sai Sudharsan, who  .dispatches it to the square leg boundary with a flick off the pads all along the ground,  .Archer is upset with himself",Archer,B Sai Sudharsan,4.0,1,0,1,1,4.0,0,,1
"1.1 
2 
Theekshana to Gill, 2 runs 
Gill leans into the drive and places the ball through extra cover, he didn't hit that with 
much power",1.1,2,2.0,"Theekshana to Gill, 2 runs  .Gill leans into the drive and places the ball through extra cover, he didn't hit that with  .much power",Theekshana,Gill,2.0,0,0,1,1,2.0,0,,1
"1.2 
2 
Theekshana to Gill, 2 runs 
whipped off the pads firmly through midwicket, forcing a dive from the fielder on the 
boundary",1.2,2,2.0,"Theekshana to Gill, 2 runs  .whipped off the pads firmly through midwicket, forcing a dive from the fielder on the  .boundary",Theekshana,Gill,2.0,0,0,1,1,2.0,0,,1
"1.3 
1 
Theekshana to Gill, 1 run 
worked off the pads to deep midwicket once again",1.3,1,1.0,"Theekshana to Gill, 1 run  .worked off the pads to deep midwicket once again",Theekshana,Gill,1.0,0,0,1,1,1.0,0,,1
"1.4 
4 
Theekshana to B Sai Sudharsan, FOUR runs 
too full to the left-hander from around the wicket and Sai Sudharsan thumps it through 
covers with a front-foot drive",1.4,4,4.0,"Theekshana to B Sai Sudharsan, FOUR runs  .too full to the left-hander from around the wicket and Sai Sudharsan thumps it through  .covers with a front-foot drive",Theekshana,B Sai Sudharsan,4.0,1,0,1,1,4.0,0,,1
"1.5 
1 
Theekshana to B Sai Sudharsan, 1 run 
dropped by Hetmyer, that's a sitter! Sai Sudharsan hit that flat and firmly straight to him 
and Hetmyer dropped it at chest height, seemed to lose sight of the ball as he went for 
it with fingers pointing upwards",1.5,1,1.0,"Theekshana to B Sai Sudharsan, 1 run  .dropped by Hetmyer, that's a sitter! Sai Sudharsan hit that flat and firmly straight to him  .and Hetmyer dropped it at chest height, seemed to lose sight of the ball as he went for  .it with fingers pointing upwards",Theekshana,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"1.6 
1 
Theekshana to Gill, 1 run 
played to mid off for a single 
end of over 211 runs  
GT: 17/0CRR: 8.50  
Shubman Gill7 (6b) 
Sai Sudharsan10 (6b 2x4) 
Maheesh Theekshana 1-0-11-0 
Jofra Archer 1-0-6-0 
Yudhvir Singh replaces Archer. Kannadachi : ""Prabhsimran and Priyansh have taken the 
attack to the bowlers but let us not discount Sai Sudarshan- Shubhman Gill """,1.6,1,1.0,"Theekshana to Gill, 1 run  .played to mid off for a single",Theekshana,Gill,1.0,0,0,1,1,1.0,0,,1
"2.1 
1 
Yudhvir Singh to Gill, 1 run 
Gill pushes to mid on and calls his partner through for a quick single 
Ajay Dhanak: ""Yashasvi and Vaibhav a close second to Marsh and Markram""",2.1,1,1.0,"Yudhvir Singh to Gill, 1 run  .Gill pushes to mid on and calls his partner through for a quick single",Yudhvir Singh,Gill,1.0,0,0,1,1,1.0,0,,1
"2.2 
1 
Yudhvir Singh to B Sai Sudharsan, 1 run 
short of a length angling across the left-hander, he stays on the back foot and cuts 
towards deep third 
Raji: ""Yep, that drop summed up nicely about RR's season. """,2.2,1,1.0,"Yudhvir Singh to B Sai Sudharsan, 1 run  .short of a length angling across the left-hander, he stays on the back foot and cuts  .towards deep third",Yudhvir Singh,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"2.3 
• 
Yudhvir Singh to Gill, no run 
short of a length around off stump, Gill meets it on the front foot and hits the short-arm 
pull straight to midwicket",2.3,0,0.0,"Yudhvir Singh to Gill, no run  .short of a length around off stump, Gill meets it on the front foot and hits the short-arm  .pull straight to midwicket",Yudhvir Singh,Gill,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Yudhvir Singh to Gill, no run 
another short-arm pull off the front foot, this time to the fielder at short fine leg",2.4,0,0.0,"Yudhvir Singh to Gill, no run  .another short-arm pull off the front foot, this time to the fielder at short fine leg",Yudhvir Singh,Gill,0.0,0,0,1,1,0.0,0,,0
"2.5 
4 
Yudhvir Singh to Gill, FOUR runs 
this time Gill doesn't bother with keeping the short-arm pull on the ground, he goes over 
midwicket and makes great contact, too short from Yudhvir at his gentle pace",2.5,4,4.0,"Yudhvir Singh to Gill, FOUR runs  .this time Gill doesn't bother with keeping the short-arm pull on the ground, he goes over  .midwicket and makes great contact, too short from Yudhvir at his gentle pace",Yudhvir Singh,Gill,4.0,1,0,1,1,4.0,0,,1
"2.6 
4 
Yudhvir Singh to Gill, FOUR runs 
a forehand pull off the front foot and Gill hits it flat over the head of the fielder leaping in 
vain at mid on 
end of over 310 runs  
GT: 27/0CRR: 9.00  
Shubman Gill16 (11b 2x4) 
Sai Sudharsan11 (7b 2x4) 
Yudhvir Singh 1-0-10-0 
Maheesh Theekshana 1-0-11-0 
Archer changes ends.",2.6,4,4.0,"Yudhvir Singh to Gill, FOUR runs  .a forehand pull off the front foot and Gill hits it flat over the head of the fielder leaping in  .vain at mid on",Yudhvir Singh,Gill,4.0,1,0,1,1,4.0,0,,1
"3.1 
• 
Archer to B Sai Sudharsan, no run 
jumps on to the back foot and opens the face to steer to point",3.1,0,0.0,"Archer to B Sai Sudharsan, no run  .jumps on to the back foot and opens the face to steer to point",Archer,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
