raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Taskin to Abdullah Shafique, no run 
Pokes and misses! Length ball on fifth, Shafique's feet are planted, hands reach out in 
hopes to push it square on the off side. Beaten on the outside edge",0.1,0,0.0,"Taskin to Abdullah Shafique, no run  .Pokes and misses! Length ball on fifth, Shafique's feet are planted, hands reach out in  .hopes to push it square on the off side. Beaten on the outside edge",Taskin,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Taskin to Abdullah Shafique, no run 
Length on fifth, punched to cover point off the back foot",0.2,0,0.0,"Taskin to Abdullah Shafique, no run  .Length on fifth, punched to cover point off the back foot",Taskin,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
"0.3 
1 
Taskin to Abdullah Shafique, 1 run 
Abdullah would've been run out had there been a direct hit at the non-striker's end! It 
was a full ball that was punched to mid-off, Shafique had committed but got stuck for a 
second cos Fakhar was ball-watching. The throw was from close-by. Think Shanto was 
the fielder.",0.3,1,1.0,"Taskin to Abdullah Shafique, 1 run  .Abdullah would've been run out had there been a direct hit at the non-striker's end! It  .was a full ball that was punched to mid-off, Shafique had committed but got stuck for a  .second cos Fakhar was ball-watching. The throw was from close-by. Think Shanto was  .the fielder.",Taskin,Abdullah Shafique,1.0,0,0,1,1,1.0,0,,1
"0.4 
1 
Taskin to Zaman, 1 run 
Another risky run, this time the throw is at the striker's end. No direct hit again though. 
Fakhar pushed it just in front of point and Tanzid was the fielder who swooped in",0.4,1,1.0,"Taskin to Zaman, 1 run  .Another risky run, this time the throw is at the striker's end. No direct hit again though.  .Fakhar pushed it just in front of point and Tanzid was the fielder who swooped in",Taskin,Zaman,1.0,0,0,1,1,1.0,0,,1
"0.5 
4 
Taskin to Abdullah Shafique, FOUR runs 
Pitched up, not a half-volley but Shafique leans on it and crunches it through cover",0.5,4,4.0,"Taskin to Abdullah Shafique, FOUR runs  .Pitched up, not a half-volley but Shafique leans on it and crunches it through cover",Taskin,Abdullah Shafique,4.0,1,0,1,1,4.0,0,,1
"0.6 
• 
Taskin to Abdullah Shafique, no run 
Full on fourth, may have swung away a bit. Shafique tried to drive to mid-off, got a thick 
outside edge to point 
end of over 16 runs  
PAK: 6/0CRR: 6.00 • RRR: 4.06 • Need 199 runs from 49 overs 
Abdullah Shafique5 (5b 1x4) 
Fakhar Zaman1 (1b) 
Taskin Ahmed 1-0-6-0 
Slip in",0.6,0,0.0,"Taskin to Abdullah Shafique, no run  .Full on fourth, may have swung away a bit. Shafique tried to drive to mid-off, got a thick  .outside edge to point",Taskin,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Shoriful Islam to Zaman, no run 
Full on sixth. Shapes away and is left alone",1.1,0,0.0,"Shoriful Islam to Zaman, no run  .Full on sixth. Shapes away and is left alone",Shoriful Islam,Zaman,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Shoriful Islam to Zaman, no run 
Pitched right up outside off, crunched into the pitch. Goes to Litton at cover. Crowd 
catch brings about a cheer.",1.2,0,0.0,"Shoriful Islam to Zaman, no run  .Pitched right up outside off, crunched into the pitch. Goes to Litton at cover. Crowd  .catch brings about a cheer.",Shoriful Islam,Zaman,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Shoriful Islam to Zaman, no run 
Length outside off, 135ks, let go. Goes to the keeper on the half-volley",1.3,0,0.0,"Shoriful Islam to Zaman, no run  .Length outside off, 135ks, let go. Goes to the keeper on the half-volley",Shoriful Islam,Zaman,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Shoriful Islam to Zaman, no run 
Fakhar wanted another dodgy single but got sent back. Fullish ball, top-of-front-pad 
height, Fakhar pushed it towards pint",1.4,0,0.0,"Shoriful Islam to Zaman, no run  .Fakhar wanted another dodgy single but got sent back. Fullish ball, top-of-front-pad  .height, Fakhar pushed it towards pint",Shoriful Islam,Zaman,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Shoriful Islam to Zaman, no run 
Full on fourth, punched to mid-on",1.5,0,0.0,"Shoriful Islam to Zaman, no run  .Full on fourth, punched to mid-on",Shoriful Islam,Zaman,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Shoriful Islam to Zaman, no run 
Wide on a length, tries to smear it through point. Misses it. Maiden over from Shoriful 
Umair A.: ""This match will probably decide what Fakhar Zaman's international career will 
look like post world cup. With Abdullah grasping the opportunity with both hands and 
Saim Ayub knocking hard on the door, one of imam and fakhar will be left out of Pak's 
ODI plans."" 
end of over 2Maiden 
PAK: 6/0CRR: 3.00 • RRR: 4.14 • Need 199 runs from 48 overs 
Fakhar Zaman1 (7b) 
Abdullah Shafique5 (5b 1x4) 
Shoriful Islam 1-1-0-0 
Taskin Ahmed 1-0-6-0",1.6,0,0.0,"Shoriful Islam to Zaman, no run  .Wide on a length, tries to smear it through point. Misses it. Maiden over from Shoriful",Shoriful Islam,Zaman,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Taskin to Abdullah Shafique, no run 
Length at the stumps, blocked to midwicket",2.1,0,0.0,"Taskin to Abdullah Shafique, no run  .Length at the stumps, blocked to midwicket",Taskin,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Taskin to Abdullah Shafique, no run 
Fullish ball on fourth, defended to the bowler",2.2,0,0.0,"Taskin to Abdullah Shafique, no run  .Fullish ball on fourth, defended to the bowler",Taskin,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Taskin to Abdullah Shafique, no run 
Jumps up off a length and goes away to beat the bat. Shafique tried to rise with the 
bounce and guide it square on the off side before withdrawing his bat",2.3,0,0.0,"Taskin to Abdullah Shafique, no run  .Jumps up off a length and goes away to beat the bat. Shafique tried to rise with the  .bounce and guide it square on the off side before withdrawing his bat",Taskin,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Taskin to Abdullah Shafique, no run 
Back of length outside off, square driven off the back foot to point",2.4,0,0.0,"Taskin to Abdullah Shafique, no run  .Back of length outside off, square driven off the back foot to point",Taskin,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Taskin to Abdullah Shafique, no run 
Fullish ball on middle, clipped to mid-on",2.5,0,0.0,"Taskin to Abdullah Shafique, no run  .Fullish ball on middle, clipped to mid-on",Taskin,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
"2.6 
• 
Taskin to Abdullah Shafique, no run 
Full on off, 139ks, times the drive well, gets it straight to mid-on. Two maidens in a row 
Hasan: ""Two maiden overs??? They should rather declare and come back tomorrow."" 
It's just two overs. Chill. 
end of over 3Maiden 
PAK: 6/0CRR: 2.00 • RRR: 4.23 • Need 199 runs from 47 overs 
Abdullah Shafique5 (11b 1x4) 
Fakhar Zaman1 (7b) 
Taskin Ahmed 2-1-6-0 
Shoriful Islam 1-1-0-0",2.6,0,0.0,"Taskin to Abdullah Shafique, no run  .Full on off, 139ks, times the drive well, gets it straight to mid-on. Two maidens in a row",Taskin,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
"3.1 
2 
Shoriful Islam to Zaman, 2 runs 
Clips the fullish ball on the pads to midwicket",3.1,2,2.0,"Shoriful Islam to Zaman, 2 runs  .Clips the fullish ball on the pads to midwicket",Shoriful Islam,Zaman,2.0,0,0,1,1,2.0,0,,1
"3.2 
1w 
Shoriful Islam to Zaman, 1 wide 
Length down leg, goes past the flick and the keeper does well to half-stop it. Good dive 
to the right",3.2,1w,1.0,"Shoriful Islam to Zaman, 1 wide  .Length down leg, goes past the flick and the keeper does well to half-stop it. Good dive  .to the right",Shoriful Islam,Zaman,0.0,0,0,0,0,1.0,0,,1
"3.2 
1lb 
Shoriful Islam to Zaman, 1 leg bye 
Loud lbw shout. Not given. Length ball angling in at 134ks, beats the flick and deflects 
off the pad to deep third. Hit above the knee roll and looked like it would go on to miss 
leg stump 
See all photos 
 
Shoriful Islam in Powerplay overs (in ODIs) 
BALLS 
489 
WKTS 
15 
4s/6s 
56/4 
ECON 
4.63 
AVE 
25.20",3.2,1lb,1.0,"Shoriful Islam to Zaman, 1 leg bye  .Loud lbw shout. Not given. Length ball angling in at 134ks, beats the flick and deflects  .off the pad to deep third. Hit above the knee roll and looked like it would go on to miss  .leg stump  .See all photos  .  .Shoriful Islam in Powerplay overs (in ODIs)  .BALLS  .489  .WKTS  .15  .4s/6s  .56/4  .ECON  .4.63  .AVE  .25.20",Shoriful Islam,Zaman,0.0,0,0,1,1,0.0,0,,0
