raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Pramod to Abdullah Shafique, no run 
on the money to start, zips through off a good length on the stumps. Hint of shape away 
as he defends",0.1,0,0.0,"Pramod to Abdullah Shafique, no run  .on the money to start, zips through off a good length on the stumps. Hint of shape away  .as he defends",Pramod,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Pramod to Abdullah Shafique, no run 
good length on the stumps once more, and again defended",0.2,0,0.0,"Pramod to Abdullah Shafique, no run  .good length on the stumps once more, and again defended",Pramod,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Pramod to Abdullah Shafique, no run 
Play and a miss. Drags the length back as this swings away outside off. Shafique has a 
waft at this and is beaten by some good bounce",0.3,0,0.0,"Pramod to Abdullah Shafique, no run  .Play and a miss. Drags the length back as this swings away outside off. Shafique has a  .waft at this and is beaten by some good bounce",Pramod,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Pramod to Abdullah Shafique, no run 
Lovely shape! Pitches on off and squares Shafique up on the back foot defence as this 
shapes away past the edge",0.4,0,0.0,"Pramod to Abdullah Shafique, no run  .Lovely shape! Pitches on off and squares Shafique up on the back foot defence as this  .shapes away past the edge",Pramod,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Pramod to Abdullah Shafique, no run 
fuller outside off, pokes at this away from the body straight to point",0.5,0,0.0,"Pramod to Abdullah Shafique, no run  .fuller outside off, pokes at this away from the body straight to point",Pramod,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Pramod to Abdullah Shafique, no run 
Nearly a wicket maiden, but a maiden will have to do! This was just back of a length on 
off and Shafique plays a nothing stroke that is just chipped back over the bowler. Mid-
off runs in but even with a full stretch dive, can't reach it to take the catch 
See all photos 
end of over 1Maiden 
PAK: 0/0CRR: 0.00  
Abdullah Shafique0 (6b) 
Fakhar Zaman0 (0b) 
Pramod Madushan 1-1-0-0 
Theekshana to the left-handed Zaman",0.6,0,0.0,"Pramod to Abdullah Shafique, no run  .Nearly a wicket maiden, but a maiden will have to do! This was just back of a length on  .off and Shafique plays a nothing stroke that is just chipped back over the bowler. Mid- .off runs in but even with a full stretch dive, can't reach it to take the catch  .See all photos",Pramod,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Theekshana to Zaman, no run 
good length on off, defended towards point",1.1,0,0.0,"Theekshana to Zaman, no run  .good length on off, defended towards point",Theekshana,Zaman,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Theekshana to Zaman, no run 
good length on the stumps, stays in the crease and defends",1.2,0,0.0,"Theekshana to Zaman, no run  .good length on the stumps, stays in the crease and defends",Theekshana,Zaman,0.0,0,0,1,1,0.0,0,,0
"1.3 
1 
Theekshana to Zaman, 1 run 
First run of the day! Length on the pads, worked in front of square for one 
Zed has made up his mind: ""RPICS colombo is a bat first ground. If it's not raining you 
bat first. If it's raining, thundering, snowing whatever you bat first. If it's doomsday you 
bat first. You just bat first at colombo. It's as simple as that. """,1.3,1,1.0,"Theekshana to Zaman, 1 run  .First run of the day! Length on the pads, worked in front of square for one",Theekshana,Zaman,1.0,0,0,1,1,1.0,0,,1
"1.4 
• 
Theekshana to Abdullah Shafique, no run 
short of a length outside off, chopped straight to point",1.4,0,0.0,"Theekshana to Abdullah Shafique, no run  .short of a length outside off, chopped straight to point",Theekshana,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
