raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
4 
Boult to Rahul, FOUR runs 
edged and that flashes past short third! Length ball hung up wide outside off. Rahul 
throws the kitchen sink at it and gets a thick outside edge that hurtles away to the 
fielder's right!",0.1,4,4.0,"Boult to Rahul, FOUR runs  .edged and that flashes past short third! Length ball hung up wide outside off. Rahul  .throws the kitchen sink at it and gets a thick outside edge that hurtles away to the  .fielder's right!",Boult,Rahul,4.0,1,0,1,1,4.0,0,,1
"0.2 
1 
Boult to Rahul, 1 run 
full and swinging into off stump. Rahul comes onto the front foot and pushes it back 
towards the bowler, who cannot hold on to it cleanly and parries it to mid off 
Over the wicket to du Plessis, with a wide slip in place",0.2,1,1.0,"Boult to Rahul, 1 run  .full and swinging into off stump. Rahul comes onto the front foot and pushes it back  .towards the bowler, who cannot hold on to it cleanly and parries it to mid off  .Over the wicket to du Plessis, with a wide slip in place",Boult,Rahul,1.0,0,0,1,1,1.0,0,,1
"0.3 
4 
Boult to du Plessis, FOUR runs 
off the mark in pristine style! Back of a length on middle and off. du Plessis stays leg 
side to give himself room and rises with the bounce to punch it crisply to extra cover's 
left!",0.3,4,4.0,"Boult to du Plessis, FOUR runs  .off the mark in pristine style! Back of a length on middle and off. du Plessis stays leg  .side to give himself room and rises with the bounce to punch it crisply to extra cover's  .left!",Boult,du Plessis,4.0,1,0,1,1,4.0,0,,1
"0.4 
• 
Boult to du Plessis, no run 
back of a length wide outside off. du Plessis reaches out for it and jabs it towards extra 
cover",0.4,0,0.0,"Boult to du Plessis, no run  .back of a length wide outside off. du Plessis reaches out for it and jabs it towards extra  .cover",Boult,du Plessis,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Boult to du Plessis, no run 
hard length on off. du Plessis gets up on his toes and stabs it towards extra cover",0.5,0,0.0,"Boult to du Plessis, no run  .hard length on off. du Plessis gets up on his toes and stabs it towards extra cover",Boult,du Plessis,0.0,0,0,1,1,0.0,0,,0
"0.6 
1 
Boult to du Plessis, 1 run 
back of a length outside off. du Plessis stands up tall and chunks it towards mid off. 
Calls for the single and makes it, with help from a Hardik misfield. A clean connection 
and an accurate throw might have spelt trouble for the DC captain 
end of over 110 runs  
DC: 10/0CRR: 10.00 • RRR: 9.00 • Need 171 runs from 114b 
Faf du Plessis5 (4b 1x4) 
KL Rahul5 (2b 1x4) 
Trent Boult 1-0-10-0 
Chahar from the other end",0.6,1,1.0,"Boult to du Plessis, 1 run  .back of a length outside off. du Plessis stands up tall and chunks it towards mid off.  .Calls for the single and makes it, with help from a Hardik misfield. A clean connection  .and an accurate throw might have spelt trouble for the DC captain",Boult,du Plessis,1.0,0,0,1,1,1.0,0,,1
"1.1 
• 
Chahar to du Plessis, no run 
back of a length, angling into middle stump. du Plessis hangs back and drops it into the 
on side with soft hands",1.1,0,0.0,"Chahar to du Plessis, no run  .back of a length, angling into middle stump. du Plessis hangs back and drops it into the  .on side with soft hands",Chahar,du Plessis,0.0,0,0,1,1,0.0,0,,0
"1.2 
1 
Chahar to du Plessis, 1 run 
fuller outside off. du Plessis has an ugly tug at it and drags it towards deep backward 
square leg",1.2,1,1.0,"Chahar to du Plessis, 1 run  .fuller outside off. du Plessis has an ugly tug at it and drags it towards deep backward  .square leg",Chahar,du Plessis,1.0,0,0,1,1,1.0,0,,1
"1.3 
1 
Chahar to Rahul, 1 run 
back of a length on leg stump. Rahul lets the ball come to him before tucking it towards 
deep square leg",1.3,1,1.0,"Chahar to Rahul, 1 run  .back of a length on leg stump. Rahul lets the ball come to him before tucking it towards  .deep square leg",Chahar,Rahul,1.0,0,0,1,1,1.0,0,,1
"1.4 
W 
Chahar to du Plessis, OUT 
straight to Santner, and du Plessis cannot believe what he has done! Slower ball on a 
full length just outside leg. du Plessis thinks he can go downtown but does not get the 
better of his former CSK teammate. Too early into the stroke and the bat face closes 
upon impact too. A tame lob to long on, and Santner was not going to drop that - not in 
a million years. Chahar is pumped. MI are pumped. The crowd is pumped. DC, under the 
pump early! 
Faf du Plessis c Santner b Chahar 6 (7b 1x4 0x6 8m) SR: 85.71 
Porel in at 3. Over the wicket, wide slip in play",1.4,W,0.0,"Chahar to du Plessis, OUT  .straight to Santner, and du Plessis cannot believe what he has done! Slower ball on a  .full length just outside leg. du Plessis thinks he can go downtown but does not get the  .better of his former CSK teammate. Too early into the stroke and the bat face closes  .upon impact too. A tame lob to long on, and Santner was not going to drop that - not in  .a million years. Chahar is pumped. MI are pumped. The crowd is pumped. DC, under the  .pump early!  .Faf du Plessis c Santner b Chahar 6 (7b 1x4 0x6 8m) SR: 85.71",Chahar,du Plessis,0.0,0,0,1,1,0.0,1,c Santner b Chahar,0
