raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
4 
Mehidy Hasan Miraz to Kohli, FOUR runs 
looped up on middle and leg, first-ball four for Kohli. Picked away in front of square on 
the leg side 
Nilesh Naik: ""This could be a long shot but I think Bharat Arun, the bowling coach is 
thoroughly missed here. India's bowling has been ordinary since the change of the 
guard at the coaching end.""",0.1,4,4.0,"Mehidy Hasan Miraz to Kohli, FOUR runs  .looped up on middle and leg, first-ball four for Kohli. Picked away in front of square on  .the leg side",Mehidy Hasan Miraz,Kohli,4.0,1,0,1,1,4.0,0,,1
"0.2 
1 
Mehidy Hasan Miraz to Kohli, 1 run 
dragged down on off stump, but Medidy has protection at deep midwicket. Pulled away 
off the back foot",0.2,1,1.0,"Mehidy Hasan Miraz to Kohli, 1 run  .dragged down on off stump, but Medidy has protection at deep midwicket. Pulled away  .off the back foot",Mehidy Hasan Miraz,Kohli,1.0,0,0,1,1,1.0,0,,1
"0.3 
• 
Mehidy Hasan Miraz to S Dhawan, no run 
full on off from round the wicket, Dhawan allows the ball to come onto him, then dab to 
point",0.3,0,0.0,"Mehidy Hasan Miraz to S Dhawan, no run  .full on off from round the wicket, Dhawan allows the ball to come onto him, then dab to  .point",Mehidy Hasan Miraz,S Dhawan,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Mehidy Hasan Miraz to S Dhawan, no run 
quicker one from Medidy, slides in from round the stumps and thumps the pad, but 
seems to be heading down leg",0.4,0,0.0,"Mehidy Hasan Miraz to S Dhawan, no run  .quicker one from Medidy, slides in from round the stumps and thumps the pad, but  .seems to be heading down leg",Mehidy Hasan Miraz,S Dhawan,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Mehidy Hasan Miraz to S Dhawan, 1 run 
clipped off the toes through square leg 
Nilesh Naik: ""With Kohli opening one thing is for sure - the management is looking at 
Rahul only as a middle order batter.""",0.5,1,1.0,"Mehidy Hasan Miraz to S Dhawan, 1 run  .clipped off the toes through square leg",Mehidy Hasan Miraz,S Dhawan,1.0,0,0,1,1,1.0,0,,1
"0.6 
• 
Mehidy Hasan Miraz to Kohli, no run 
whipped off the back foot to square leg 
end of over 16 runs  
IND: 6/0CRR: 6.00 • RRR: 5.42 • Need 266 runs from 49 overs 
Virat Kohli5 (3b 1x4) 
Shikhar Dhawan1 (3b) 
Mehidy Hasan Miraz 1-0-6-0 
Ebadot. Over the wicket",0.6,0,0.0,"Mehidy Hasan Miraz to Kohli, no run  .whipped off the back foot to square leg",Mehidy Hasan Miraz,Kohli,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Ebadot Hossain to S Dhawan, no run 
on a length and into the pads, Bangladesh decide against another review. It started 
outside leg and thudded into the pads",1.1,0,0.0,"Ebadot Hossain to S Dhawan, no run  .on a length and into the pads, Bangladesh decide against another review. It started  .outside leg and thudded into the pads",Ebadot Hossain,S Dhawan,0.0,0,0,1,1,0.0,0,,0
"1.2 
1 
Ebadot Hossain to S Dhawan, 1 run 
short and veering down the leg side, Mushfiqur leaps across to his right and gets a 
glove onto the ball to slow it down. Given as runs. Only a harsh man will call it a drop 
bhaskar: ""Hope we will see a little more ""intent"" and fluency from Dhawan. He has been 
almost painful to watch recently.""",1.2,1,1.0,"Ebadot Hossain to S Dhawan, 1 run  .short and veering down the leg side, Mushfiqur leaps across to his right and gets a  .glove onto the ball to slow it down. Given as runs. Only a harsh man will call it a drop",Ebadot Hossain,S Dhawan,1.0,0,0,1,1,1.0,0,,1
"1.3 
• 
Ebadot Hossain to Kohli, no run 
full and probing away outside off, Kohli shoulders arms",1.3,0,0.0,"Ebadot Hossain to Kohli, no run  .full and probing away outside off, Kohli shoulders arms",Ebadot Hossain,Kohli,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Ebadot Hossain to Kohli, no run 
Kohli rides the bounce of this short delivery outside off and steers it to point 
Manish: ""That RKO from Miraz will definitely pin India down today..."" 
Afeef: ""I remember the golden period from 2017 to 2019 when Kohli was scoring ODI 
centuries for fun. It was an absolute honour to be following ODI cricket at that time 
because I got to watch a legend at his peak.""",1.4,0,0.0,"Ebadot Hossain to Kohli, no run  .Kohli rides the bounce of this short delivery outside off and steers it to point",Ebadot Hossain,Kohli,0.0,0,0,1,1,0.0,0,,0
"1.5 
W 
Ebadot Hossain to Kohli, OUT 
Ebadot has Kohli chopping on and sprints away. Catch him if you can. He then brings 
out his signature salute. The Mirpur crowd roars in approval. Skiddy short ball outside 
off from Ebadot, Kohli shapes for the pull, but can only drag it back onto his own 
stumps via a thick bottom edge. Huge breakthrough for Bangladesh. It did not bounce 
as much as Kohli expected it to 
Virat Kohli b Ebadot Hossain 5 (6b 1x4 0x6 9m) SR: 83.33 
See all photos 
Ashish: ""Variable bounce very evident in Ebadot's first over and that has taken Kohli's 
wicket. It bounced just little less than Kohli's expectation and instead of taking the 
middle, the bottom edge went into the stumps."" 
Iyer at No.3",1.5,W,0.0,"Ebadot Hossain to Kohli, OUT  .Ebadot has Kohli chopping on and sprints away. Catch him if you can. He then brings  .out his signature salute. The Mirpur crowd roars in approval. Skiddy short ball outside  .off from Ebadot, Kohli shapes for the pull, but can only drag it back onto his own  .stumps via a thick bottom edge. Huge breakthrough for Bangladesh. It did not bounce  .as much as Kohli expected it to  .Virat Kohli b Ebadot Hossain 5 (6b 1x4 0x6 9m) SR: 83.33",Ebadot Hossain,Kohli,0.0,0,0,1,1,0.0,1,b Ebadot Hossain,0
"1.6 
• 
Ebadot Hossain to Shreyas Iyer, no run 
back of a length and zipping through outside off, ignored 
Shaurya: ""@Manish that was out of nowhere!!"" 
end of over 21 run • 1 wicket 
IND: 7/1CRR: 3.50 • RRR: 5.52 • Need 265 runs from 48 overs 
Shreyas Iyer0 (1b) 
Shikhar Dhawan2 (5b) 
Ebadot Hossain 1-0-1-1 
Mehidy Hasan Miraz 1-0-6-0 
Mustafizur. Left-arm over",1.6,0,0.0,"Ebadot Hossain to Shreyas Iyer, no run  .back of a length and zipping through outside off, ignored",Ebadot Hossain,Shreyas Iyer,0.0,0,0,1,1,0.0,0,,0
"2.1 
4 
Mustafizur to S Dhawan, FOUR runs 
too full and veering down the leg side, helped away fine for four",2.1,4,4.0,"Mustafizur to S Dhawan, FOUR runs  .too full and veering down the leg side, helped away fine for four",Mustafizur,S Dhawan,4.0,1,0,1,1,4.0,0,,1
"2.2 
• 
Mustafizur to S Dhawan, no run 
Dhawan pads up to this. Not given out lbw. Das chats with Mushfiqur and calls for a 
review of the on-field not-out decision. Nice and full, Dhawan offers no shot and is 
smacked on the front pad below the knee-roll. Impact is outside off, but it does not 
matter as Dhawan only padded up to it. Does it threaten the stumps? Ball-tracking 
indicates it would've missed off",2.2,0,0.0,"Mustafizur to S Dhawan, no run  .Dhawan pads up to this. Not given out lbw. Das chats with Mushfiqur and calls for a  .review of the on-field not-out decision. Nice and full, Dhawan offers no shot and is  .smacked on the front pad below the knee-roll. Impact is outside off, but it does not  .matter as Dhawan only padded up to it. Does it threaten the stumps? Ball-tracking  .indicates it would've missed off",Mustafizur,S Dhawan,0.0,0,0,1,1,0.0,0,,0
"2.3 
2 
Mustafizur to S Dhawan, 2 runs 
Dhawan shuffles across off stump, gets inside the line of this full ball angling into 
middle, Flicked between midwicket and mid-on",2.3,2,2.0,"Mustafizur to S Dhawan, 2 runs  .Dhawan shuffles across off stump, gets inside the line of this full ball angling into  .middle, Flicked between midwicket and mid-on",Mustafizur,S Dhawan,2.0,0,0,1,1,2.0,0,,1
"2.4 
• 
Mustafizur to S Dhawan, no run 
full on the stumps, driven to md-on on the front foot",2.4,0,0.0,"Mustafizur to S Dhawan, no run  .full on the stumps, driven to md-on on the front foot",Mustafizur,S Dhawan,0.0,0,0,1,1,0.0,0,,0
"2.5 
W 
Mustafizur to S Dhawan, OUT 
ab absolute rip-snorter from Mustafizur. He has bounced out Dhawan. Variable bounce 
once again. This rears up from a short of a length at the rib cage and leaves Dhawan in 
a tangle. He rocks his head back, looks away, and splices a catch to point. Unplayable 
stuff 
Shikhar Dhawan c Mehidy Hasan Miraz b Mustafizur Rahman 8 (10b 1x4 0x6 17m) SR: 
80 
See all photos 
Washy at No.4",2.5,W,0.0,"Mustafizur to S Dhawan, OUT  .ab absolute rip-snorter from Mustafizur. He has bounced out Dhawan. Variable bounce  .once again. This rears up from a short of a length at the rib cage and leaves Dhawan in  .a tangle. He rocks his head back, looks away, and splices a catch to point. Unplayable  .stuff  .Shikhar Dhawan c Mehidy Hasan Miraz b Mustafizur Rahman 8 (10b 1x4 0x6 17m) SR:",Mustafizur,S Dhawan,0.0,0,0,1,1,0.0,1,c Mehidy Hasan Miraz b Mustafizur Rahman,0
"2.6 
• 
Mustafizur to Sundar, no run 
good length and holds its line outside off, no shot 
end of over 36 runs • 1 wicket 
IND: 13/2CRR: 4.33 • RRR: 5.51 • Need 259 runs from 47 overs 
Washington Sundar0 (1b) 
Shreyas Iyer0 (1b) 
Mustafizur Rahman 1-0-6-1 
Ebadot Hossain 1-0-1-1",2.6,0,0.0,"Mustafizur to Sundar, no run  .good length and holds its line outside off, no shot",Mustafizur,Sundar,0.0,0,0,1,1,0.0,0,,0
"3.1 
1w 
Ebadot Hossain to Shreyas Iyer, 1 wide 
full and sliding down the leg side, wide",3.1,1w,1.0,"Ebadot Hossain to Shreyas Iyer, 1 wide  .full and sliding down the leg side, wide",Ebadot Hossain,Shreyas Iyer,0.0,0,0,0,0,1.0,0,,1
"3.1 
• 
Ebadot Hossain to Shreyas Iyer, no run 
back of a length and wobbles away outside off. Iyer hides his bat inside the line and lets 
it go",3.1,0,0.0,"Ebadot Hossain to Shreyas Iyer, no run  .back of a length and wobbles away outside off. Iyer hides his bat inside the line and lets  .it go",Ebadot Hossain,Shreyas Iyer,0.0,0,0,1,1,0.0,0,,0
"3.2 
• 
Ebadot Hossain to Shreyas Iyer, no run 
shortish and attached with width outside off, cracked off the back foot but can't beat 
Das at point",3.2,0,0.0,"Ebadot Hossain to Shreyas Iyer, no run  .shortish and attached with width outside off, cracked off the back foot but can't beat  .Das at point",Ebadot Hossain,Shreyas Iyer,0.0,0,0,1,1,0.0,0,,0
"3.3 
• 
Ebadot Hossain to Shreyas Iyer, no run 
big indipper from Ebadot, thuds into the pad, but it's missing leg stump by a long way",3.3,0,0.0,"Ebadot Hossain to Shreyas Iyer, no run  .big indipper from Ebadot, thuds into the pad, but it's missing leg stump by a long way",Ebadot Hossain,Shreyas Iyer,0.0,0,0,1,1,0.0,0,,0
"3.4 
• 
Ebadot Hossain to Shreyas Iyer, no run 
bouncer angling onto leg stump, Iyer carefully ducks under it",3.4,0,0.0,"Ebadot Hossain to Shreyas Iyer, no run  .bouncer angling onto leg stump, Iyer carefully ducks under it",Ebadot Hossain,Shreyas Iyer,0.0,0,0,1,1,0.0,0,,0
"3.5 
4 
Ebadot Hossain to Shreyas Iyer, FOUR runs 
short and heading down the leg side, Iyer gets inside the line and simply helps it on its 
way 
Adarsh: ""Good to see Washington promoted up the order. India needs to do more of it, 
even with Axar, Chahar, and Thakur from time to time. That is how Pakistan have turned 
Shadab and Nawaz into genuine all-rounders.""",3.5,4,4.0,"Ebadot Hossain to Shreyas Iyer, FOUR runs  .short and heading down the leg side, Iyer gets inside the line and simply helps it on its  .way",Ebadot Hossain,Shreyas Iyer,4.0,1,0,1,1,4.0,0,,1
"3.6 
• 
Ebadot Hossain to Shreyas Iyer, no run 
Iyer gets on top of this short ball outside off and punches through the line but Afif 
swoops down on the ball from short cover. Sharp work in the infield 
end of over 45 runs  
IND: 18/2CRR: 4.50 • RRR: 5.52 • Need 254 runs from 46 overs 
Shreyas Iyer4 (7b 1x4) 
Washington Sundar0 (1b) 
Ebadot Hossain 2-0-6-1 
Mustafizur Rahman 1-0-6-1",3.6,0,0.0,"Ebadot Hossain to Shreyas Iyer, no run  .Iyer gets on top of this short ball outside off and punches through the line but Afif  .swoops down on the ball from short cover. Sharp work in the infield",Ebadot Hossain,Shreyas Iyer,0.0,0,0,1,1,0.0,0,,0
"4.1 
• 
Mustafizur to Sundar, no run 
full and holds its line outside off, push-driven to mid-off 
Prasanna S: ""Bangladesh bowlers bowling with lot of venom than Indian pacers. They 
are using the hard lengths to good effect at the beginning when the ball is new and 
bowling short stuff. But I still feel if India can see off the opening spell, things will get 
easy for them. Still backing India to win this by 6 wickets or so with dew coming into 
effect too.""",4.1,0,0.0,"Mustafizur to Sundar, no run  .full and holds its line outside off, push-driven to mid-off",Mustafizur,Sundar,0.0,0,0,1,1,0.0,0,,0
"4.2 
4 
Mustafizur to Sundar, FOUR runs 
shot, Washy! Pitched-up delivery outside off, not a long half-volley, he leans into it and 
caresses it away past the right of the bowler and left of mid-off",4.2,4,4.0,"Mustafizur to Sundar, FOUR runs  .shot, Washy! Pitched-up delivery outside off, not a long half-volley, he leans into it and  .caresses it away past the right of the bowler and left of mid-off",Mustafizur,Sundar,4.0,1,0,1,1,4.0,0,,1
"4.3 
• 
Mustafizur to Sundar, no run 
short and outside off, Washington sways his upper body out of the way",4.3,0,0.0,"Mustafizur to Sundar, no run  .short and outside off, Washington sways his upper body out of the way",Mustafizur,Sundar,0.0,0,0,1,1,0.0,0,,0
"4.4 
• 
Mustafizur to Sundar, no run 
Washington meets a short ball outside off on the back foot and pats it to point with an 
open face",4.4,0,0.0,"Mustafizur to Sundar, no run  .Washington meets a short ball outside off on the back foot and pats it to point with an  .open face",Mustafizur,Sundar,0.0,0,0,1,1,0.0,0,,0
"4.5 
• 
Mustafizur to Sundar, no run 
on a length and outside off, Mustafizur drags Washy forward into a push to short cover",4.5,0,0.0,"Mustafizur to Sundar, no run  .on a length and outside off, Mustafizur drags Washy forward into a push to short cover",Mustafizur,Sundar,0.0,0,0,1,1,0.0,0,,0
"4.6 
• 
Mustafizur to Sundar, no run 
back of a length and on off, Washington keeps back and drops the ball defensively into 
the cover region 
end of over 54 runs  
IND: 22/2CRR: 4.40 • RRR: 5.55 • Need 250 runs from 45 overs 
Washington Sundar4 (7b 1x4) 
Shreyas Iyer4 (7b 1x4) 
Mustafizur Rahman 2-0-10-1 
Ebadot Hossain 2-0-6-1 
Nasum comes on",4.6,0,0.0,"Mustafizur to Sundar, no run  .back of a length and on off, Washington keeps back and drops the ball defensively into  .the cover region",Mustafizur,Sundar,0.0,0,0,1,1,0.0,0,,0
"5.1 
• 
Nasum to Shreyas Iyer, no run 
flighted and turns away outside off, eased to extra-cover on the front foot",5.1,0,0.0,"Nasum to Shreyas Iyer, no run  .flighted and turns away outside off, eased to extra-cover on the front foot",Nasum,Shreyas Iyer,0.0,0,0,1,1,0.0,0,,0
"5.2 
• 
Nasum to Shreyas Iyer, no run 
shorter and does not come onto the bat outside off, chopped into the covers off the 
back foot",5.2,0,0.0,"Nasum to Shreyas Iyer, no run  .shorter and does not come onto the bat outside off, chopped into the covers off the  .back foot",Nasum,Shreyas Iyer,0.0,0,0,1,1,0.0,0,,0
"5.3 
• 
Nasum to Shreyas Iyer, no run 
sliding into off stump, defended to cover on the front foot",5.3,0,0.0,"Nasum to Shreyas Iyer, no run  .sliding into off stump, defended to cover on the front foot",Nasum,Shreyas Iyer,0.0,0,0,1,1,0.0,0,,0
"5.4 
1 
Nasum to Shreyas Iyer, 1 run 
tossed up liberally on middle stump, Iyer makes some room and drives a single to long-
off",5.4,1,1.0,"Nasum to Shreyas Iyer, 1 run  .tossed up liberally on middle stump, Iyer makes some room and drives a single to long- .off",Nasum,Shreyas Iyer,1.0,0,0,1,1,1.0,0,,1
"5.5 
1 
Nasum to Sundar, 1 run 
speared into the pads, picked away to deep midwicket",5.5,1,1.0,"Nasum to Sundar, 1 run  .speared into the pads, picked away to deep midwicket",Nasum,Sundar,1.0,0,0,1,1,1.0,0,,1
"5.6 
• 
Nasum to Shreyas Iyer, no run 
wide on the crease. On a length and turns away, holds up in the pitch. Check-driven to 
extra-cover 
end of over 62 runs  
IND: 24/2CRR: 4.00 • RRR: 5.63 • Need 248 runs from 44 overs 
Shreyas Iyer5 (12b 1x4) 
Washington Sundar5 (8b 1x4) 
Nasum Ahmed 1-0-2-0 
Mustafizur Rahman 2-0-10-1 
Raab: ""@Prasanna: white a bold prediction to make before Shakib has even started his 
spell. """,5.6,0,0.0,"Nasum to Shreyas Iyer, no run  .wide on the crease. On a length and turns away, holds up in the pitch. Check-driven to  .extra-cover",Nasum,Shreyas Iyer,0.0,0,0,1,1,0.0,0,,0
"6.1 
• 
Ebadot Hossain to Sundar, no run 
just short of a length and angling across off, punched off the back foot to cover-point",6.1,0,0.0,"Ebadot Hossain to Sundar, no run  .just short of a length and angling across off, punched off the back foot to cover-point",Ebadot Hossain,Sundar,0.0,0,0,1,1,0.0,0,,0
"6.2 
• 
Ebadot Hossain to Sundar, no run 
starts outside leg and veers in to thump the back pad. Another good ball from Ebadot",6.2,0,0.0,"Ebadot Hossain to Sundar, no run  .starts outside leg and veers in to thump the back pad. Another good ball from Ebadot",Ebadot Hossain,Sundar,0.0,0,0,1,1,0.0,0,,0
"6.3 
• 
Ebadot Hossain to Sundar, no run 
full and pushed across off, Ebadot lures Washington into a loose drive and goes past 
his outside edge",6.3,0,0.0,"Ebadot Hossain to Sundar, no run  .full and pushed across off, Ebadot lures Washington into a loose drive and goes past  .his outside edge",Ebadot Hossain,Sundar,0.0,0,0,1,1,0.0,0,,0
"6.4 
1 
Ebadot Hossain to Sundar, 1 run 
short and on the hips, glanced away to long leg on the back foot 
Mustafa Moudi: ""If Bangladesh want to dismiss Washington, they must bring Shakib 
now. There is a different game going on between the 2 as both are picking each other's 
wicket in the 3 innings so far !!"" 
Andiappan: ""As an Indian fan it is very worrying to see India struggling to spin. The 
masters played spin of legends Murali, Warne, Saqlain very well and spin was very rarely 
used as a potential weapon against India. But now the tables seems to have turned.""",6.4,1,1.0,"Ebadot Hossain to Sundar, 1 run  .short and on the hips, glanced away to long leg on the back foot",Ebadot Hossain,Sundar,1.0,0,0,1,1,1.0,0,,1
"6.5 
• 
Ebadot Hossain to Shreyas Iyer, no run 
lifter outside off, Iyer sways his upper body out of the way 
Ashish: ""@Prasanna - Point taken. Ebadot is hitting the deck. But as a matter of fact 
which should not be neglected is that BD won the toss and chose to bat, so they 
expected the pitch to get uneven later on and were also not worried about the dew. If 
they were actually worried about the dew and pitch not changing, they would have 
asked India to bat first.""",6.5,0,0.0,"Ebadot Hossain to Shreyas Iyer, no run  .lifter outside off, Iyer sways his upper body out of the way",Ebadot Hossain,Shreyas Iyer,0.0,0,0,1,1,0.0,0,,0
"6.6 
• 
Ebadot Hossain to Shreyas Iyer, no run 
good length and tailing into off stump, Iyer gets right behind the line and keeps it out 
end of over 71 run  
IND: 25/2CRR: 3.57 • RRR: 5.74 • Need 247 runs from 43 overs 
Shreyas Iyer5 (14b 1x4) 
Washington Sundar6 (12b 1x4) 
Ebadot Hossain 3-0-7-1 
Nasum Ahmed 1-0-2-0",6.6,0,0.0,"Ebadot Hossain to Shreyas Iyer, no run  .good length and tailing into off stump, Iyer gets right behind the line and keeps it out",Ebadot Hossain,Shreyas Iyer,0.0,0,0,1,1,0.0,0,,0
"7.1 
1 
Nasum to Sundar, 1 run 
tucked off the pads to deep midwicket 
Tamim: ""Wish Taskin was fit. Would be great to see him take advantage of the extra 
bounce on this pitch. """,7.1,1,1.0,"Nasum to Sundar, 1 run  .tucked off the pads to deep midwicket",Nasum,Sundar,1.0,0,0,1,1,1.0,0,,1
"7.2 
• 
Nasum to Shreyas Iyer, no run 
dangled up on off, drifts in and turns away past the iffy prod of Iyer. Good purchase for 
Nasum",7.2,0,0.0,"Nasum to Shreyas Iyer, no run  .dangled up on off, drifts in and turns away past the iffy prod of Iyer. Good purchase for  .Nasum",Nasum,Shreyas Iyer,0.0,0,0,1,1,0.0,0,,0
"7.3 
1 
Nasum to Shreyas Iyer, 1 run 
shimmies out and pushes a single down to long-off",7.3,1,1.0,"Nasum to Shreyas Iyer, 1 run  .shimmies out and pushes a single down to long-off",Nasum,Shreyas Iyer,1.0,0,0,1,1,1.0,0,,1
"7.4 
• 
Nasum to Sundar, no run 
whipped off the back foot to square leg",7.4,0,0.0,"Nasum to Sundar, no run  .whipped off the back foot to square leg",Nasum,Sundar,0.0,0,0,1,1,0.0,0,,0
"7.5 
1 
Nasum to Sundar, 1 run 
tossed up and turning into middle and leg, keeps low, chipped down to long-on off the 
toe end",7.5,1,1.0,"Nasum to Sundar, 1 run  .tossed up and turning into middle and leg, keeps low, chipped down to long-on off the  .toe end",Nasum,Sundar,1.0,0,0,1,1,1.0,0,,1
"7.6 
6 
Nasum to Shreyas Iyer, SIX runs 
here comes Iyer: down the track and dumps Nasum over the long-on boundary. Meets 
the pitch of the delivery and extends his arms. Such a clean hit from Iyer 
end of over 89 runs  
IND: 34/2CRR: 4.25 • RRR: 5.66 • Need 238 runs from 42 overs 
Shreyas Iyer12 (17b 1x4 1x6) 
Washington Sundar8 (15b 1x4) 
Nasum Ahmed 2-0-11-0 
Ebadot Hossain 3-0-7-1",7.6,6,6.0,"Nasum to Shreyas Iyer, SIX runs  .here comes Iyer: down the track and dumps Nasum over the long-on boundary. Meets  .the pitch of the delivery and extends his arms. Such a clean hit from Iyer",Nasum,Shreyas Iyer,6.0,0,1,1,1,6.0,0,,1
"8.1 
1 
Ebadot Hossain to Sundar, 1 run 
chest-high short ball on middle, Washington rides the bounce and works a single 
through square leg",8.1,1,1.0,"Ebadot Hossain to Sundar, 1 run  .chest-high short ball on middle, Washington rides the bounce and works a single  .through square leg",Ebadot Hossain,Sundar,1.0,0,0,1,1,1.0,0,,1
