raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
McCarthy to Myburgh, no run 
length ball, just around off and this one kicked off from nowhere. Myburgh pushes at it, 
but beats the bat with the extra bounce",0.1,0,0.0,"McCarthy to Myburgh, no run  .length ball, just around off and this one kicked off from nowhere. Myburgh pushes at it,  .but beats the bat with the extra bounce",McCarthy,Myburgh,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
McCarthy to Myburgh, no run 
full and wide again, driven to mid-off",0.2,0,0.0,"McCarthy to Myburgh, no run  .full and wide again, driven to mid-off",McCarthy,Myburgh,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
McCarthy to Myburgh, no run 
touch short and moving across with the angle, left alone",0.3,0,0.0,"McCarthy to Myburgh, no run  .touch short and moving across with the angle, left alone",McCarthy,Myburgh,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
McCarthy to Myburgh, no run 
Myburgh pushed it back towards the bowler",0.4,0,0.0,"McCarthy to Myburgh, no run  .Myburgh pushed it back towards the bowler",McCarthy,Myburgh,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
McCarthy to Myburgh, no run 
short and outside off, flat-bats it down to mid-off",0.5,0,0.0,"McCarthy to Myburgh, no run  .short and outside off, flat-bats it down to mid-off",McCarthy,Myburgh,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
McCarthy to Myburgh, no run 
on a length at off, pushed from the crease to point 
end of over 1Maiden 
NED: 0/0CRR: 0.00  
Stephan Myburgh0 (6b) 
Max O'Dowd0 (0b) 
Barry McCarthy 1-1-0-0",0.6,0,0.0,"McCarthy to Myburgh, no run  .on a length at off, pushed from the crease to point",McCarthy,Myburgh,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Young to O'Dowd, no run 
short of a length and hint of away movement, left alone",1.1,0,0.0,"Young to O'Dowd, no run  .short of a length and hint of away movement, left alone",Young,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Young to O'Dowd, no run 
once again shaping away from outside off, O'Dowd let it go through",1.2,0,0.0,"Young to O'Dowd, no run  .once again shaping away from outside off, O'Dowd let it go through",Young,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Young to O'Dowd, no run 
this one nips back in from outside off, on a length, defends it at off stump",1.3,0,0.0,"Young to O'Dowd, no run  .this one nips back in from outside off, on a length, defends it at off stump",Young,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Young to O'Dowd, no run 
once again a touch of inward movement, back of a length, goes past the bat",1.4,0,0.0,"Young to O'Dowd, no run  .once again a touch of inward movement, back of a length, goes past the bat",Young,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Young to O'Dowd, no run 
nice shape away from a good length, shoulders arms by O'Dowd",1.5,0,0.0,"Young to O'Dowd, no run  .nice shape away from a good length, shoulders arms by O'Dowd",Young,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"1.6 
1 
Young to O'Dowd, 1 run 
length ball outside off, pushed to backward point for a run 
end of over 21 run  
NED: 1/0CRR: 0.50  
Max O'Dowd1 (6b) 
Stephan Myburgh0 (6b) 
Craig Young 1-0-1-0 
Barry McCarthy 1-1-0-0",1.6,1,1.0,"Young to O'Dowd, 1 run  .length ball outside off, pushed to backward point for a run",Young,O'Dowd,1.0,0,0,1,1,1.0,0,,1
"2.1 
• 
McCarthy to O'Dowd, no run 
back of a length, chops a cut to cover point",2.1,0,0.0,"McCarthy to O'Dowd, no run  .back of a length, chops a cut to cover point",McCarthy,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"2.2 
2 
McCarthy to O'Dowd, 2 runs 
length ball straying on the pads, clips to wide of fine leg",2.2,2,2.0,"McCarthy to O'Dowd, 2 runs  .length ball straying on the pads, clips to wide of fine leg",McCarthy,O'Dowd,2.0,0,0,1,1,2.0,0,,1
"2.3 
• 
McCarthy to O'Dowd, no run 
on a length outside off, left alone",2.3,0,0.0,"McCarthy to O'Dowd, no run  .on a length outside off, left alone",McCarthy,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"2.4 
4 
McCarthy to O'Dowd, FOUR runs 
length ball outside off, stretch forward and driven along the ground for a boundary 
through covers",2.4,4,4.0,"McCarthy to O'Dowd, FOUR runs  .length ball outside off, stretch forward and driven along the ground for a boundary  .through covers",McCarthy,O'Dowd,4.0,1,0,1,1,4.0,0,,1
"2.5 
• 
McCarthy to O'Dowd, no run 
fuller length, O'Dowd defends it from the crease",2.5,0,0.0,"McCarthy to O'Dowd, no run  .fuller length, O'Dowd defends it from the crease",McCarthy,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"2.6 
1 
McCarthy to O'Dowd, 1 run 
this one came back in from a length, runs it down to third man 
end of over 37 runs  
NED: 8/0CRR: 2.66  
Max O'Dowd8 (12b 1x4) 
Stephan Myburgh0 (6b) 
Barry McCarthy 2-1-7-0 
Craig Young 1-0-1-0",2.6,1,1.0,"McCarthy to O'Dowd, 1 run  .this one came back in from a length, runs it down to third man",McCarthy,O'Dowd,1.0,0,0,1,1,1.0,0,,1
"3.1 
4 
Young to O'Dowd, FOUR runs 
overpitched, outside off, driven through covers for a boundary",3.1,4,4.0,"Young to O'Dowd, FOUR runs  .overpitched, outside off, driven through covers for a boundary",Young,O'Dowd,4.0,1,0,1,1,4.0,0,,1
"3.2 
• 
Young to O'Dowd, no run 
short and outside off, cuts it to point off the back foot",3.2,0,0.0,"Young to O'Dowd, no run  .short and outside off, cuts it to point off the back foot",Young,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"3.3 
• 
Young to O'Dowd, no run 
back of a length, middle and leg, defends it off the back foot",3.3,0,0.0,"Young to O'Dowd, no run  .back of a length, middle and leg, defends it off the back foot",Young,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"3.4 
• 
Young to O'Dowd, no run 
on a length, moving away, shoulders arms",3.4,0,0.0,"Young to O'Dowd, no run  .on a length, moving away, shoulders arms",Young,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"3.5 
1 
Young to O'Dowd, 1 run 
full on middle and off, clipped away through midwicket",3.5,1,1.0,"Young to O'Dowd, 1 run  .full on middle and off, clipped away through midwicket",Young,O'Dowd,1.0,0,0,1,1,1.0,0,,1
"3.6 
• 
Young to Myburgh, no run 
back of a length, defends it off the back foot to covers 
end of over 45 runs  
NED: 13/0CRR: 3.25  
Stephan Myburgh0 (7b) 
Max O'Dowd13 (17b 2x4) 
Craig Young 2-0-6-0 
Barry McCarthy 2-1-7-0",3.6,0,0.0,"Young to Myburgh, no run  .back of a length, defends it off the back foot to covers",Young,Myburgh,0.0,0,0,1,1,0.0,0,,0
"4.1 
• 
McCarthy to O'Dowd, no run 
an incoming length ball on off, defends it down the pitch",4.1,0,0.0,"McCarthy to O'Dowd, no run  .an incoming length ball on off, defends it down the pitch",McCarthy,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"4.2 
• 
McCarthy to O'Dowd, no run 
length ball around off, gets forward and pushed to covers",4.2,0,0.0,"McCarthy to O'Dowd, no run  .length ball around off, gets forward and pushed to covers",McCarthy,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"4.3 
1 
McCarthy to O'Dowd, 1 run 
on a length outside off, punched through backward point",4.3,1,1.0,"McCarthy to O'Dowd, 1 run  .on a length outside off, punched through backward point",McCarthy,O'Dowd,1.0,0,0,1,1,1.0,0,,1
"4.4 
• 
McCarthy to Myburgh, no run 
length delivery, on middle, defends it off the front foot",4.4,0,0.0,"McCarthy to Myburgh, no run  .length delivery, on middle, defends it off the front foot",McCarthy,Myburgh,0.0,0,0,1,1,0.0,0,,0
"4.5 
• 
McCarthy to Myburgh, no run 
length ball outside off, driven to covers",4.5,0,0.0,"McCarthy to Myburgh, no run  .length ball outside off, driven to covers",McCarthy,Myburgh,0.0,0,0,1,1,0.0,0,,0
"4.6 
1 
McCarthy to Myburgh, 1 run 
length ball, outside off, works it to third man for a run 
end of over 52 runs  
NED: 15/0CRR: 3.00  
Stephan Myburgh1 (10b) 
Max O'Dowd14 (20b 2x4) 
Barry McCarthy 3-1-9-0 
Craig Young 2-0-6-0",4.6,1,1.0,"McCarthy to Myburgh, 1 run  .length ball, outside off, works it to third man for a run",McCarthy,Myburgh,1.0,0,0,1,1,1.0,0,,1
"5.1 
• 
Young to Myburgh, no run 
back of a length, kept low, beats the bat and through to the keeper",5.1,0,0.0,"Young to Myburgh, no run  .back of a length, kept low, beats the bat and through to the keeper",Young,Myburgh,0.0,0,0,1,1,0.0,0,,0
"5.2 
• 
Young to Myburgh, no run 
once again kept low, short of a length, on the stumps. Myburgh defends it off the back 
foot",5.2,0,0.0,"Young to Myburgh, no run  .once again kept low, short of a length, on the stumps. Myburgh defends it off the back  .foot",Young,Myburgh,0.0,0,0,1,1,0.0,0,,0
"5.3 
• 
Young to Myburgh, no run 
moving away from a length, touch quicker this time, beats the outside edge",5.3,0,0.0,"Young to Myburgh, no run  .moving away from a length, touch quicker this time, beats the outside edge",Young,Myburgh,0.0,0,0,1,1,0.0,0,,0
"5.4 
• 
Young to Myburgh, no run 
length ball, middle and off, drives to mid-on",5.4,0,0.0,"Young to Myburgh, no run  .length ball, middle and off, drives to mid-on",Young,Myburgh,0.0,0,0,1,1,0.0,0,,0
"5.5 
• 
Young to Myburgh, no run 
back of a length around off, under edge towards leg side",5.5,0,0.0,"Young to Myburgh, no run  .back of a length around off, under edge towards leg side",Young,Myburgh,0.0,0,0,1,1,0.0,0,,0
"5.6 
1 
Young to Myburgh, 1 run 
length ball on the pads, clipped away to fine leg 
end of over 61 run  
NED: 16/0CRR: 2.66  
Stephan Myburgh2 (16b) 
Max O'Dowd14 (20b 2x4) 
Craig Young 3-0-7-0 
Barry McCarthy 3-1-9-0",5.6,1,1.0,"Young to Myburgh, 1 run  .length ball on the pads, clipped away to fine leg",Young,Myburgh,1.0,0,0,1,1,1.0,0,,1
"6.1 
• 
McCarthy to Myburgh, no run 
short of a length, mistimes the pull towards midwicket",6.1,0,0.0,"McCarthy to Myburgh, no run  .short of a length, mistimes the pull towards midwicket",McCarthy,Myburgh,0.0,0,0,1,1,0.0,0,,0
"6.2 
1 
McCarthy to Myburgh, 1 run 
on a length outside off, gets an inside edge to the attempted cover drive, went to fine 
leg",6.2,1,1.0,"McCarthy to Myburgh, 1 run  .on a length outside off, gets an inside edge to the attempted cover drive, went to fine  .leg",McCarthy,Myburgh,1.0,0,0,1,1,1.0,0,,1
"6.3 
• 
McCarthy to O'Dowd, no run 
length ball outside off, driven to covers off the front foot, can't beat the fielder",6.3,0,0.0,"McCarthy to O'Dowd, no run  .length ball outside off, driven to covers off the front foot, can't beat the fielder",McCarthy,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"6.4 
1 
McCarthy to O'Dowd, 1 run 
this one came back in sharply, on a good length, leading edge runs to third man",6.4,1,1.0,"McCarthy to O'Dowd, 1 run  .this one came back in sharply, on a good length, leading edge runs to third man",McCarthy,O'Dowd,1.0,0,0,1,1,1.0,0,,1
"6.5 
3 
McCarthy to Myburgh, 3 runs 
length ball, driven through the gap at covers, three runs",6.5,3,3.0,"McCarthy to Myburgh, 3 runs  .length ball, driven through the gap at covers, three runs",McCarthy,Myburgh,3.0,0,0,1,1,3.0,0,,1
"6.6 
1 
McCarthy to O'Dowd, 1 run 
back of a length, works it off the back foot behind square leg 
end of over 76 runs  
NED: 22/0CRR: 3.14  
Max O'Dowd16 (23b 2x4) 
Stephan Myburgh6 (19b) 
Barry McCarthy 4-1-15-0 
Craig Young 3-0-7-0",6.6,1,1.0,"McCarthy to O'Dowd, 1 run  .back of a length, works it off the back foot behind square leg",McCarthy,O'Dowd,1.0,0,0,1,1,1.0,0,,1
"7.1 
• 
Young to O'Dowd, no run 
back of a length, pushed to leg side off the back foot",7.1,0,0.0,"Young to O'Dowd, no run  .back of a length, pushed to leg side off the back foot",Young,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"7.2 
• 
Young to O'Dowd, no run 
length ball outside off, straightens, left alone",7.2,0,0.0,"Young to O'Dowd, no run  .length ball outside off, straightens, left alone",Young,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"7.3 
2 
Young to O'Dowd, 2 runs 
short and outside off, cuts it off the back foot to wide of backward point. The fielder 
from third man ran across to his right and saved couple of runs",7.3,2,2.0,"Young to O'Dowd, 2 runs  .short and outside off, cuts it off the back foot to wide of backward point. The fielder  .from third man ran across to his right and saved couple of runs",Young,O'Dowd,2.0,0,0,1,1,2.0,0,,1
"7.4 
• 
Young to O'Dowd, no run 
length ball around off, driven to covers",7.4,0,0.0,"Young to O'Dowd, no run  .length ball around off, driven to covers",Young,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"7.5 
2 
Young to O'Dowd, 2 runs 
fuller length on the pads, whipped away behind square leg",7.5,2,2.0,"Young to O'Dowd, 2 runs  .fuller length on the pads, whipped away behind square leg",Young,O'Dowd,2.0,0,0,1,1,2.0,0,,1
"7.6 
• 
Young to O'Dowd, no run 
length ball outside off, shaping back in, O'Dowd covers the stumps and let it go through 
end of over 84 runs  
NED: 26/0CRR: 3.25  
Max O'Dowd20 (29b 2x4) 
Stephan Myburgh6 (19b) 
Craig Young 4-0-11-0 
Barry McCarthy 4-1-15-0 
Time for spin, here's Simi Singh",7.6,0,0.0,"Young to O'Dowd, no run  .length ball outside off, shaping back in, O'Dowd covers the stumps and let it go through",Young,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"8.1 
• 
Simi Singh to Myburgh, no run 
full at off stump, gets forward and defends it",8.1,0,0.0,"Simi Singh to Myburgh, no run  .full at off stump, gets forward and defends it",Simi Singh,Myburgh,0.0,0,0,1,1,0.0,0,,0
"8.2 
• 
Simi Singh to Myburgh, no run 
fuller once again, pushed to the left of the bowler",8.2,0,0.0,"Simi Singh to Myburgh, no run  .fuller once again, pushed to the left of the bowler",Simi Singh,Myburgh,0.0,0,0,1,1,0.0,0,,0
"8.3 
1 
Simi Singh to Myburgh, 1 run 
touch short, goes back and cuts it through point",8.3,1,1.0,"Simi Singh to Myburgh, 1 run  .touch short, goes back and cuts it through point",Simi Singh,Myburgh,1.0,0,0,1,1,1.0,0,,1
"8.4 
• 
Simi Singh to O'Dowd, no run 
length ball, tries to defend it, inside edge to leg side",8.4,0,0.0,"Simi Singh to O'Dowd, no run  .length ball, tries to defend it, inside edge to leg side",Simi Singh,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"8.5 
• 
Simi Singh to O'Dowd, no run",8.5,0,0.0,"Simi Singh to O'Dowd, no run",Simi Singh,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"8.6 
• 
Simi Singh to O'Dowd, no run 
stays in the crease and blocks this length ball to leg side 
end of over 91 run  
NED: 27/0CRR: 3.00  
Max O'Dowd20 (32b 2x4) 
Stephan Myburgh7 (22b) 
Simi Singh 1-0-1-0 
Craig Young 4-0-11-0",8.6,0,0.0,"Simi Singh to O'Dowd, no run  .stays in the crease and blocks this length ball to leg side",Simi Singh,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"9.1 
• 
Little to Myburgh, no run 
short of a length, outside off, cuts to point off the back foot",9.1,0,0.0,"Little to Myburgh, no run  .short of a length, outside off, cuts to point off the back foot",Little,Myburgh,0.0,0,0,1,1,0.0,0,,0
"9.2 
3 
Little to Myburgh, 3 runs 
back of a length, outside off, punched past backward of point off the back foot",9.2,3,3.0,"Little to Myburgh, 3 runs  .back of a length, outside off, punched past backward of point off the back foot",Little,Myburgh,3.0,0,0,1,1,3.0,0,,1
