raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Dutt to Marsh, no run 
lengthish ball, blocked off the back foot",0.1,0,0.0,"Dutt to Marsh, no run  .lengthish ball, blocked off the back foot",Dutt,Marsh,0.0,0,0,1,1,0.0,0,,0
"0.2 
4 
Dutt to Marsh, FOUR runs 
full ball just outside off. Square drive through the covers! And Australia are off 
See all photos",0.2,4,4.0,"Dutt to Marsh, FOUR runs  .full ball just outside off. Square drive through the covers! And Australia are off  .See all photos",Dutt,Marsh,4.0,1,0,1,1,4.0,0,,1
"0.3 
• 
Dutt to Marsh, no run 
full ball outside off stump. Shoulders his arms",0.3,0,0.0,"Dutt to Marsh, no run  .full ball outside off stump. Shoulders his arms",Dutt,Marsh,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Dutt to Marsh, no run 
defended",0.4,0,0.0,"Dutt to Marsh, no run  .defended",Dutt,Marsh,0.0,0,0,1,1,0.0,0,,0
"0.5 
4 
Dutt to Marsh, FOUR runs 
full ball outside off. Gently presses forward and fends. Gets a thick edge well past first 
slip, and even beats short third. Dutt getting a bit of drift 
 
Mitchell Marsh in Powerplay overs (in ODIs) 
RUNS 
370 
OUTS 
8 
4s/6s 
59/12 
SR 
92.50 
AVE 
46.25",0.5,4,4.0,"Dutt to Marsh, FOUR runs  .full ball outside off. Gently presses forward and fends. Gets a thick edge well past first  .slip, and even beats short third. Dutt getting a bit of drift  .  .Mitchell Marsh in Powerplay overs (in ODIs)  .RUNS  .370  .OUTS  .8  .4s/6s  .59/12  .SR  .92.50  .AVE  .46.25",Dutt,Marsh,4.0,1,0,1,1,4.0,0,,1
"0.6 
• 
Dutt to Marsh, no run 
good length ball outside off. Turning in. Blocked off the back foot 
end of over 18 runs  
AUS: 8/0CRR: 8.00  
Mitchell Marsh8 (6b 2x4) 
David Warner0 (0b) 
Aryan Dutt 1-0-8-0 
more spin!",0.6,0,0.0,"Dutt to Marsh, no run  .good length ball outside off. Turning in. Blocked off the back foot",Dutt,Marsh,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Ackermann to Warner, 1 run 
around the stumps. Full ball just outside off. Tucked off the back foot to square leg for a 
single",1.1,1,1.0,"Ackermann to Warner, 1 run  .around the stumps. Full ball just outside off. Tucked off the back foot to square leg for a  .single",Ackermann,Warner,1.0,0,0,1,1,1.0,0,,1
"1.2 
1 
Ackermann to Marsh, 1 run 
full ball on middle stump and a gentle push down to long on for a single",1.2,1,1.0,"Ackermann to Marsh, 1 run  .full ball on middle stump and a gentle push down to long on for a single",Ackermann,Marsh,1.0,0,0,1,1,1.0,0,,1
"1.3 
1 
Ackermann to Warner, 1 run 
full ball on middle stump and pushed towards long off again for one",1.3,1,1.0,"Ackermann to Warner, 1 run  .full ball on middle stump and pushed towards long off again for one",Ackermann,Warner,1.0,0,0,1,1,1.0,0,,1
"1.4 
• 
Ackermann to Marsh, no run 
good length ball. Stays on the back foot and blocks",1.4,0,0.0,"Ackermann to Marsh, no run  .good length ball. Stays on the back foot and blocks",Ackermann,Marsh,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Ackermann to Marsh, no run 
full ball, wider outside off. Bit of turn in. And defended",1.5,0,0.0,"Ackermann to Marsh, no run  .full ball, wider outside off. Bit of turn in. And defended",Ackermann,Marsh,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Ackermann to Marsh, no run 
full ball just outside off stump. Strides forward and defends 
Jai: ""Very rare, starting with spin from both end!!!"" 
end of over 23 runs  
AUS: 11/0CRR: 5.50  
Mitchell Marsh9 (10b 2x4) 
David Warner2 (2b) 
Colin Ackermann 1-0-3-0 
Aryan Dutt 1-0-8-0 
The Australians are wearing a black armband to keep Fawad Ahmed in his thoughts. 
Fawad has lost his young son. Our thoughts are with him and his family too",1.6,0,0.0,"Ackermann to Marsh, no run  .full ball just outside off stump. Strides forward and defends",Ackermann,Marsh,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Dutt to Warner, no run 
around the stumps, full outside off. Tries to drive away from his body and gets an inside 
edge that very nearly goes onto his stumps",2.1,0,0.0,"Dutt to Warner, no run  .around the stumps, full outside off. Tries to drive away from his body and gets an inside  .edge that very nearly goes onto his stumps",Dutt,Warner,0.0,0,0,1,1,0.0,0,,0
"2.2 
4 
Dutt to Warner, FOUR runs 
length ball outside off. Rocks back, getting deep in the crease, and then cuts behind 
point for four 
slip moves to pack the off-side region more",2.2,4,4.0,"Dutt to Warner, FOUR runs  .length ball outside off. Rocks back, getting deep in the crease, and then cuts behind  .point for four  .slip moves to pack the off-side region more",Dutt,Warner,4.0,1,0,1,1,4.0,0,,1
"2.3 
4 
Dutt to Warner, FOUR runs 
doesn't matter Another length ball outside off and this time Warner's slap is further 
behind square through the off side",2.3,4,4.0,"Dutt to Warner, FOUR runs  .doesn't matter Another length ball outside off and this time Warner's slap is further  .behind square through the off side",Dutt,Warner,4.0,1,0,1,1,4.0,0,,1
"2.4 
4 
Dutt to Warner, FOUR runs 
a batting hat-trick! Fuller ball, but similar width. Warner stays back, cuts and gets it past 
the diving point fielder!",2.4,4,4.0,"Dutt to Warner, FOUR runs  .a batting hat-trick! Fuller ball, but similar width. Warner stays back, cuts and gets it past  .the diving point fielder!",Dutt,Warner,4.0,1,0,1,1,4.0,0,,1
"2.5 
4 
Dutt to Warner, FOUR runs 
quad-trick! We're just making things up now. David Warner is bullying Aryan Dutt. Much 
of the same, full ball outside off. Warner bends his knees to get low, cuts very fine, and 
this time threads the small gap between short third and backward point",2.5,4,4.0,"Dutt to Warner, FOUR runs  .quad-trick! We're just making things up now. David Warner is bullying Aryan Dutt. Much  .of the same, full ball outside off. Warner bends his knees to get low, cuts very fine, and  .this time threads the small gap between short third and backward point",Dutt,Warner,4.0,1,0,1,1,4.0,0,,1
"2.6 
• 
Dutt to Warner, no run 
full ball. More loop this time. On a middle stump line. Warner blocks off the back foot 
robert: ""@Jai: Doesn't seem to be working though. Change of plan required 
immediately."" 
end of over 316 runs  
AUS: 27/0CRR: 9.00  
David Warner18 (8b 4x4) 
Mitchell Marsh9 (10b 2x4) 
Aryan Dutt 2-0-24-0 
Colin Ackermann 1-0-3-0 
Earlier today, there was a minute's silence observed at the ground for the passing of 
legendary India spinner Bishan Bedi. There's a stand at this ground named for him, in 
fact. Netherlands are going to pace now 
 
Logan van Beek in Powerplay overs (in ODIs) 
BALLS 
601 
WKTS 
15 
4s/6s 
70/2 
ECON 
4.65 
AVE 
31.06",2.6,0,0.0,"Dutt to Warner, no run  .full ball. More loop this time. On a middle stump line. Warner blocks off the back foot",Dutt,Warner,0.0,0,0,1,1,0.0,0,,0
"3.1 
• 
van Beek to Marsh, no run 
full ball just outside off stump. Presses forward and defended",3.1,0,0.0,"van Beek to Marsh, no run  .full ball just outside off stump. Presses forward and defended",van Beek,Marsh,0.0,0,0,1,1,0.0,0,,0
"3.2 
• 
van Beek to Marsh, no run 
good length ball just outside off stump. Goes back, blocks towards cover",3.2,0,0.0,"van Beek to Marsh, no run  .good length ball just outside off stump. Goes back, blocks towards cover",van Beek,Marsh,0.0,0,0,1,1,0.0,0,,0
"3.3 
1w 
van Beek to Marsh, 1 wide 
short ball angling into his body. Tries the leg-side swipe across the line. Misses",3.3,1w,1.0,"van Beek to Marsh, 1 wide  .short ball angling into his body. Tries the leg-side swipe across the line. Misses",van Beek,Marsh,0.0,0,0,0,0,1.0,0,,1
"3.3 
• 
van Beek to Marsh, no run 
full ball outside off stump. Bit of swing away. Left alone",3.3,0,0.0,"van Beek to Marsh, no run  .full ball outside off stump. Bit of swing away. Left alone",van Beek,Marsh,0.0,0,0,1,1,0.0,0,,0
"3.4 
• 
van Beek to Marsh, no run 
full ball outside off stump. Shoulders his arms again with the ball moving away",3.4,0,0.0,"van Beek to Marsh, no run  .full ball outside off stump. Shoulders his arms again with the ball moving away",van Beek,Marsh,0.0,0,0,1,1,0.0,0,,0
"3.5 
W 
van Beek to Marsh, OUT 
sliced high up and both O'Dowd (mid on) and Ackermann (cover) are running for it. 
Bowler too, in fact, but eventually Ackermann keeps his cool and collects this catch. 
Short ball outside off. Marsh tried to drag a pull, but miscued the shot high up. The ball 
was closest to the bowler for a catch but he had a lot of turning around to do. 
Ackermann was the better choice, and he got under it before the others could 
Mitchell Marsh c Ackermann b van Beek 9 (15b 2x4 0x6 15m) SR: 60 
See all photos 
SPD Smith. Singh goes to first slip.",3.5,W,0.0,"van Beek to Marsh, OUT  .sliced high up and both O'Dowd (mid on) and Ackermann (cover) are running for it.  .Bowler too, in fact, but eventually Ackermann keeps his cool and collects this catch.  .Short ball outside off. Marsh tried to drag a pull, but miscued the shot high up. The ball  .was closest to the bowler for a catch but he had a lot of turning around to do.  .Ackermann was the better choice, and he got under it before the others could  .Mitchell Marsh c Ackermann b van Beek 9 (15b 2x4 0x6 15m) SR: 60",van Beek,Marsh,0.0,0,0,1,1,0.0,1,c Ackermann b van Beek,0
"3.6 
1 
van Beek to Smith, 1 run 
full ball around off stump. Gets forward to defend but the ball takes the inside half of 
the bat. Rolls away to deep square leg 
end of over 42 runs • 1 wicket 
AUS: 29/1CRR: 7.25  
Steven Smith1 (1b) 
David Warner18 (8b 4x4) 
Logan van Beek 1-0-2-1 
Aryan Dutt 2-0-24-0 
more pace, Aryan Dutt replaced",3.6,1,1.0,"van Beek to Smith, 1 run  .full ball around off stump. Gets forward to defend but the ball takes the inside half of  .the bat. Rolls away to deep square leg",van Beek,Smith,1.0,0,0,1,1,1.0,0,,1
"4.1 
• 
van Meekeren to Smith, no run 
short of length ball around a furth-stump line. Fended after moving to the off side",4.1,0,0.0,"van Meekeren to Smith, no run  .short of length ball around a furth-stump line. Fended after moving to the off side",van Meekeren,Smith,0.0,0,0,1,1,0.0,0,,0
"4.2 
• 
van Meekeren to Smith, no run 
good length ball angling into fourth stump. Smith moves off side and fends",4.2,0,0.0,"van Meekeren to Smith, no run  .good length ball angling into fourth stump. Smith moves off side and fends",van Meekeren,Smith,0.0,0,0,1,1,0.0,0,,0
"4.3 
• 
van Meekeren to Smith, no run 
length ball just outside off. Smith gets half-forward to defend and the ball jams into his 
pads after taking an edge off the bat",4.3,0,0.0,"van Meekeren to Smith, no run  .length ball just outside off. Smith gets half-forward to defend and the ball jams into his  .pads after taking an edge off the bat",van Meekeren,Smith,0.0,0,0,1,1,0.0,0,,0
"4.4 
• 
van Meekeren to Smith, no run 
full ball just outside off and defended to the off side",4.4,0,0.0,"van Meekeren to Smith, no run  .full ball just outside off and defended to the off side",van Meekeren,Smith,0.0,0,0,1,1,0.0,0,,0
"4.5 
1 
van Meekeren to Smith, 1 run 
full ball outside off. Smith drives away from his body, slices it, but gets it just past point 
diving to his left 
Raja: ""Is it a bit too much to expect some sort of consistency from Marsh. That shot 
was bit too rash from him. Trying to pull a ball that was on 6th stump. He plays these 
shot every other innings. "" -- The line was definitely not the best for a pull, I agree.",4.5,1,1.0,"van Meekeren to Smith, 1 run  .full ball outside off. Smith drives away from his body, slices it, but gets it just past point  .diving to his left",van Meekeren,Smith,1.0,0,0,1,1,1.0,0,,1
"4.6 
• 
van Meekeren to Warner, no run 
tidy first over from PA van Meekeren. Good length ball on middle and tucking Warner on 
the backfoot with some late inward movement. Blocked 
end of over 51 run  
AUS: 30/1CRR: 6.00  
David Warner18 (9b 4x4) 
Steven Smith2 (6b) 
Paul van Meekeren 1-0-1-0 
Logan van Beek 1-0-2-1",4.6,0,0.0,"van Meekeren to Warner, no run  .tidy first over from PA van Meekeren. Good length ball on middle and tucking Warner on  .the backfoot with some late inward movement. Blocked",van Meekeren,Warner,0.0,0,0,1,1,0.0,0,,0
"5.1 
2 
van Beek to Smith, 2 runs 
back of length ball on middle. Checks a pull shot and sends it towards deep backward 
square leg for a couple. Uses his wrists to finish it in a whippy manner",5.1,2,2.0,"van Beek to Smith, 2 runs  .back of length ball on middle. Checks a pull shot and sends it towards deep backward  .square leg for a couple. Uses his wrists to finish it in a whippy manner",van Beek,Smith,2.0,0,0,1,1,2.0,0,,1
"5.2 
• 
van Beek to Smith, no run 
full ball, fifth-stump line. Smith pumps a straight drive but van Beek gets his foot in the 
way. Bit of swing",5.2,0,0.0,"van Beek to Smith, no run  .full ball, fifth-stump line. Smith pumps a straight drive but van Beek gets his foot in the  .way. Bit of swing",van Beek,Smith,0.0,0,0,1,1,0.0,0,,0
"5.3 
• 
van Beek to Smith, no run 
short of length ball just outside off. Smith fends to the off side",5.3,0,0.0,"van Beek to Smith, no run  .short of length ball just outside off. Smith fends to the off side",van Beek,Smith,0.0,0,0,1,1,0.0,0,,0
"5.4 
2 
van Beek to Smith, 2 runs 
good length ball, fourth-stump line. Smith clips it off his waist to deep square leg",5.4,2,2.0,"van Beek to Smith, 2 runs  .good length ball, fourth-stump line. Smith clips it off his waist to deep square leg",van Beek,Smith,2.0,0,0,1,1,2.0,0,,1
"5.5 
• 
van Beek to Smith, no run 
full ball just outside off. Presses forward to drive. Mistimed to mid off",5.5,0,0.0,"van Beek to Smith, no run  .full ball just outside off. Presses forward to drive. Mistimed to mid off",van Beek,Smith,0.0,0,0,1,1,0.0,0,,0
"5.6 
4 
van Beek to Smith, FOUR runs 
smartly played off his pads, and gets it to backward square leg for four. Length ball on 
off and he moved to the off side before playing the clip 
end of over 68 runs  
AUS: 38/1CRR: 6.33  
Steven Smith10 (12b 1x4) 
David Warner18 (9b 4x4) 
Logan van Beek 2-0-10-1 
Paul van Meekeren 1-0-1-0 
around the stumps",5.6,4,4.0,"van Beek to Smith, FOUR runs  .smartly played off his pads, and gets it to backward square leg for four. Length ball on  .off and he moved to the off side before playing the clip",van Beek,Smith,4.0,1,0,1,1,4.0,0,,1
"6.1 
1w 
van Meekeren to Warner, 1 wide 
full ball angling into his heel, and he moves out of the way. Angling further down leg",6.1,1w,1.0,"van Meekeren to Warner, 1 wide  .full ball angling into his heel, and he moves out of the way. Angling further down leg",van Meekeren,Warner,0.0,0,0,0,0,1.0,0,,1
"6.1 
• 
van Meekeren to Warner, no run 
back of a length ball just outside off. Warner tiptoes and blocks 
Mahesh : ""Can Netherlands chase anything above 300 against Australian bowling?. 
That's the big question. "" -- in this current Delhi avatar, 300 is possible. Even against 
Australia. Or that's what Netherlands will be thinking.",6.1,0,0.0,"van Meekeren to Warner, no run  .back of a length ball just outside off. Warner tiptoes and blocks",van Meekeren,Warner,0.0,0,0,1,1,0.0,0,,0
"6.2 
1 
van Meekeren to Warner, 1 run 
full ball on off. Defends with the bat's open face. Runs in down to deep third",6.2,1,1.0,"van Meekeren to Warner, 1 run  .full ball on off. Defends with the bat's open face. Runs in down to deep third",van Meekeren,Warner,1.0,0,0,1,1,1.0,0,,1
"6.3 
2 
van Meekeren to Smith, 2 runs 
full ball just outside off. Tries the drive with the bat's face closed. Gets it past mid on's 
right for a couple",6.3,2,2.0,"van Meekeren to Smith, 2 runs  .full ball just outside off. Tries the drive with the bat's face closed. Gets it past mid on's  .right for a couple",van Meekeren,Smith,2.0,0,0,1,1,2.0,0,,1
"6.4 
4 
van Meekeren to Smith, FOUR runs 
back of length ball. Smith hooks from low to high, and gets it comfortably over square 
leg.",6.4,4,4.0,"van Meekeren to Smith, FOUR runs  .back of length ball. Smith hooks from low to high, and gets it comfortably over square  .leg.",van Meekeren,Smith,4.0,1,0,1,1,4.0,0,,1
"6.5 
• 
van Meekeren to Smith, no run 
good length ball on fourth-stump. Blocked off the back foot",6.5,0,0.0,"van Meekeren to Smith, no run  .good length ball on fourth-stump. Blocked off the back foot",van Meekeren,Smith,0.0,0,0,1,1,0.0,0,,0
"6.6 
4 
van Meekeren to Smith, FOUR runs 
pings it gloriously! Full ball swinging away. Smith leans into it like poetry in motion, and 
crunches a high-elbow drive through the covers 
end of over 712 runs  
AUS: 50/1CRR: 7.14  
Steven Smith20 (16b 3x4) 
David Warner19 (11b 4x4) 
Paul van Meekeren 2-0-13-0 
Logan van Beek 2-0-10-1",6.6,4,4.0,"van Meekeren to Smith, FOUR runs  .pings it gloriously! Full ball swinging away. Smith leans into it like poetry in motion, and  .crunches a high-elbow drive through the covers",van Meekeren,Smith,4.0,1,0,1,1,4.0,0,,1
"7.1 
• 
van Beek to Warner, no run 
good length ball. Fourth-stump line. Tucked towards point",7.1,0,0.0,"van Beek to Warner, no run  .good length ball. Fourth-stump line. Tucked towards point",van Beek,Warner,0.0,0,0,1,1,0.0,0,,0
"7.2 
• 
van Beek to Warner, no run 
full ball outside off. A punchy square drive, stopped by point",7.2,0,0.0,"van Beek to Warner, no run  .full ball outside off. A punchy square drive, stopped by point",van Beek,Warner,0.0,0,0,1,1,0.0,0,,0
"7.3 
• 
van Beek to Warner, no run 
full ball around off stump. Guided to cover point",7.3,0,0.0,"van Beek to Warner, no run  .full ball around off stump. Guided to cover point",van Beek,Warner,0.0,0,0,1,1,0.0,0,,0
"7.4 
1 
van Beek to Warner, 1 run 
full ball drifting into his pads. Flicked to fine leg for one",7.4,1,1.0,"van Beek to Warner, 1 run  .full ball drifting into his pads. Flicked to fine leg for one",van Beek,Warner,1.0,0,0,1,1,1.0,0,,1
"7.5 
• 
van Beek to Smith, no run 
full ball on off. Smith walks into an on-drive, but can't beat mid on",7.5,0,0.0,"van Beek to Smith, no run  .full ball on off. Smith walks into an on-drive, but can't beat mid on",van Beek,Smith,0.0,0,0,1,1,0.0,0,,0
"7.6 
• 
van Beek to Smith, no run 
good length ball on off. Worked off his pads to the leg side 
end of over 81 run  
AUS: 51/1CRR: 6.37  
Steven Smith20 (18b 3x4) 
David Warner20 (15b 4x4) 
Logan van Beek 3-0-11-1 
Paul van Meekeren 2-0-13-0",7.6,0,0.0,"van Beek to Smith, no run  .good length ball on off. Worked off his pads to the leg side",van Beek,Smith,0.0,0,0,1,1,0.0,0,,0
"8.1 
1 
van Meekeren to Warner, 1 run 
good length ball just outside off. Guided to deep third",8.1,1,1.0,"van Meekeren to Warner, 1 run  .good length ball just outside off. Guided to deep third",van Meekeren,Warner,1.0,0,0,1,1,1.0,0,,1
"8.2 
• 
van Meekeren to Smith, no run 
defended",8.2,0,0.0,"van Meekeren to Smith, no run  .defended",van Meekeren,Smith,0.0,0,0,1,1,0.0,0,,0
"8.3 
1 
van Meekeren to Smith, 1 run 
fullish ball around off. Tapped past the non-striker for a single",8.3,1,1.0,"van Meekeren to Smith, 1 run  .fullish ball around off. Tapped past the non-striker for a single",van Meekeren,Smith,1.0,0,0,1,1,1.0,0,,1
"8.4 
• 
van Meekeren to Warner, no run 
full on middle, and driven to mid on",8.4,0,0.0,"van Meekeren to Warner, no run  .full on middle, and driven to mid on",van Meekeren,Warner,0.0,0,0,1,1,0.0,0,,0
