raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Boult to de Kock, no run 
Length on fifth, let go",0.1,0,0.0,"Boult to de Kock, no run  .Length on fifth, let go",Boult,de Kock,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Boult to de Kock, no run 
Full on fourth, defended to cover 
Ramesh: ""How many more games before Williamson is fit?"" Simon Doull says he doesn't 
expect Williamson to play in the next game either.",0.2,0,0.0,"Boult to de Kock, no run  .Full on fourth, defended to cover",Boult,de Kock,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Boult to de Kock, no run 
Full around off, defended to cover off the front foot.",0.3,0,0.0,"Boult to de Kock, no run  .Full around off, defended to cover off the front foot.",Boult,de Kock,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Boult to de Kock, no run 
Boult brings it in this time. It's coming in off a length, more seam movement than swing. 
QDK tried to block it straight but got it off the thick inside edge towards midwicket",0.4,0,0.0,"Boult to de Kock, no run  .Boult brings it in this time. It's coming in off a length, more seam movement than swing.  .QDK tried to block it straight but got it off the thick inside edge towards midwicket",Boult,de Kock,0.0,0,0,1,1,0.0,0,,0
"0.5 
2 
Boult to de Kock, 2 runs 
Lovely push down the ground, almost defensive but closes in on the ropes. Conway 
chases and pulls it in to a back-up fielder, and the batters take just two. Was a fuller ball 
just outside off that shaped away gently",0.5,2,2.0,"Boult to de Kock, 2 runs  .Lovely push down the ground, almost defensive but closes in on the ropes. Conway  .chases and pulls it in to a back-up fielder, and the batters take just two. Was a fuller ball  .just outside off that shaped away gently",Boult,de Kock,2.0,0,0,1,1,2.0,0,,1
"0.6 
• 
Boult to de Kock, no run 
Great stop by Phillips at point. Dives to the right and stops it with his right hand. Back of 
length outside off, was caressed off the back foot 
end of over 12 runs  
SA: 2/0CRR: 2.00  
Quinton de Kock2 (6b) 
Temba Bavuma0 (0b) 
Trent Boult 1-0-2-0 
Bilaluddin - A : ""All Eyes On Bavuma "" Here he is facing Henry, not Southee 
Henry misses his delivery stride and will reload",0.6,0,0.0,"Boult to de Kock, no run  .Great stop by Phillips at point. Dives to the right and stops it with his right hand. Back of  .length outside off, was caressed off the back foot",Boult,de Kock,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Henry to Bavuma, no run 
Back of length on fifth. Let go.",1.1,0,0.0,"Henry to Bavuma, no run  .Back of length on fifth. Let go.",Henry,Bavuma,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Henry to Bavuma, no run 
Perfect line and length, Bavuma tries to block it towards cover and gets beaten. It's on 
the edge of a back of length but hard for a batter to decide whether to go back or 
forward. Bavuma didn't move his feet much and tried to play relatively close to the body 
but still ended up pushing out a bit before having to retract the bat.",1.2,0,0.0,"Henry to Bavuma, no run  .Perfect line and length, Bavuma tries to block it towards cover and gets beaten. It's on  .the edge of a back of length but hard for a batter to decide whether to go back or  .forward. Bavuma didn't move his feet much and tried to play relatively close to the body  .but still ended up pushing out a bit before having to retract the bat.",Henry,Bavuma,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Henry to Bavuma, no run 
Pitched right up, gentle push takes it to the right of mid-off. Stopped with a dive",1.3,0,0.0,"Henry to Bavuma, no run  .Pitched right up, gentle push takes it to the right of mid-off. Stopped with a dive",Henry,Bavuma,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Henry to Bavuma, no run 
Length at the stumps, straightish batted push takes it to midwicket 
Graham : ""How many games until stokes is ready?.. "" lol",1.4,0,0.0,"Henry to Bavuma, no run  .Length at the stumps, straightish batted push takes it to midwicket",Henry,Bavuma,0.0,0,0,1,1,0.0,0,,0
"1.5 
1 
Henry to Bavuma, 1 run 
Full outside off, guided to deep third",1.5,1,1.0,"Henry to Bavuma, 1 run  .Full outside off, guided to deep third",Henry,Bavuma,1.0,0,0,1,1,1.0,0,,1
"1.6 
1 
Henry to de Kock, 1 run 
Young, at midwicket, runs around the umpire to stop the ball. Was a length ball around 
off that was worked around 
Dilipkumar: ""Fascinating how NZ allowed SA to bat first inspite of toss win. Playing 
mind games "" I can still beat you in your comfort zone"" I bet SA little surprised by that 
decision by NZ"" 
end of over 22 runs  
SA: 4/0CRR: 2.00  
Quinton de Kock3 (7b) 
Temba Bavuma1 (5b) 
Matt Henry 1-0-2-0 
Trent Boult 1-0-2-0",1.6,1,1.0,"Henry to de Kock, 1 run  .Young, at midwicket, runs around the umpire to stop the ball. Was a length ball around  .off that was worked around",Henry,de Kock,1.0,0,0,1,1,1.0,0,,1
"2.1 
• 
Boult to de Kock, no run 
Full on off, pushed to mid-off 
 
Trent Boult in Powerplay overs (in ODIs) 
BALLS 
2935 
WKTS 
89 
4s/6s 
261/21 
ECON 
4.19 
AVE 
23.05",2.1,0,0.0,"Boult to de Kock, no run  .Full on off, pushed to mid-off  .  .Trent Boult in Powerplay overs (in ODIs)  .BALLS  .2935  .WKTS  .89  .4s/6s  .261/21  .ECON  .4.19  .AVE  .23.05",Boult,de Kock,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Boult to de Kock, no run 
Fullish ball around off, 139ks, defended to point",2.2,0,0.0,"Boult to de Kock, no run  .Fullish ball around off, 139ks, defended to point",Boult,de Kock,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Boult to de Kock, no run 
There's a sound as ball passes bat. Caught-behind appeal turned down. Was a length 
ball that came in, QDK had a small gap between pad and bat, the ball snuck in and 
tickled the back thigh before going to the keeper. Jaffa nonetheless",2.3,0,0.0,"Boult to de Kock, no run  .There's a sound as ball passes bat. Caught-behind appeal turned down. Was a length  .ball that came in, QDK had a small gap between pad and bat, the ball snuck in and  .tickled the back thigh before going to the keeper. Jaffa nonetheless",Boult,de Kock,0.0,0,0,1,1,0.0,0,,0
"2.4 
1 
Boult to de Kock, 1 run 
Fullish ball outside off, pushed to the right of mid-off 
Ben: ""How many games until Klusener is ready? lollol """,2.4,1,1.0,"Boult to de Kock, 1 run  .Fullish ball outside off, pushed to the right of mid-off",Boult,de Kock,1.0,0,0,1,1,1.0,0,,1
"2.5 
• 
Boult to Bavuma, no run 
Fullish ball lands around fourth and angles away sharply. Let go",2.5,0,0.0,"Boult to Bavuma, no run  .Fullish ball lands around fourth and angles away sharply. Let go",Boult,Bavuma,0.0,0,0,1,1,0.0,0,,0
"2.6 
1 
Boult to Bavuma, 1 run 
Full around off, defended with an open face just in front of point 
end of over 32 runs  
SA: 6/0CRR: 2.00  
Temba Bavuma2 (7b) 
Quinton de Kock4 (11b) 
Trent Boult 2-0-4-0 
Matt Henry 1-0-2-0",2.6,1,1.0,"Boult to Bavuma, 1 run  .Full around off, defended with an open face just in front of point",Boult,Bavuma,1.0,0,0,1,1,1.0,0,,1
"3.1 
• 
Henry to Bavuma, no run 
Gorgeous ball in the channel. Hit a length around fifth stump and came back in ever so 
slightly, Bavuma tried to defend within the line and kept the bat out of harm's way. Ball 
swung in before reaching Latham's gloves",3.1,0,0.0,"Henry to Bavuma, no run  .Gorgeous ball in the channel. Hit a length around fifth stump and came back in ever so  .slightly, Bavuma tried to defend within the line and kept the bat out of harm's way. Ball  .swung in before reaching Latham's gloves",Henry,Bavuma,0.0,0,0,1,1,0.0,0,,0
"3.2 
4 
Henry to Bavuma, FOUR runs 
Too full and wide, Bavuma doesn't miss out on the cover drive. Creams it along the 
ground",3.2,4,4.0,"Henry to Bavuma, FOUR runs  .Too full and wide, Bavuma doesn't miss out on the cover drive. Creams it along the  .ground",Henry,Bavuma,4.0,1,0,1,1,4.0,0,,1
