raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
2 
Henry to Bairstow, 2 runs 
pitched full, Bairstow launches into it straight away, sliced over the head of backward 
point! Almost another first-baller, as he aimed a whip through midwicket",0.1,2,2.0,"Henry to Bairstow, 2 runs  .pitched full, Bairstow launches into it straight away, sliced over the head of backward  .point! Almost another first-baller, as he aimed a whip through midwicket",Henry,Bairstow,2.0,0,0,1,1,2.0,0,,1
"0.2 
4 
Henry to Bairstow, FOUR runs 
pitched up and driven! Not quite out of the middle but it trundles to the rope at wide 
long-off as Southee gives chase towards the Warner Stand",0.2,4,4.0,"Henry to Bairstow, FOUR runs  .pitched up and driven! Not quite out of the middle but it trundles to the rope at wide  .long-off as Southee gives chase towards the Warner Stand",Henry,Bairstow,4.0,1,0,1,1,4.0,0,,1
"0.3 
• 
Henry to Bairstow, no run 
short ball, 82mph/133kph and YJB pulls... misses. Think it flicked the trouser pocket 
before dying in front of Latham",0.3,0,0.0,"Henry to Bairstow, no run  .short ball, 82mph/133kph and YJB pulls... misses. Think it flicked the trouser pocket  .before dying in front of Latham",Henry,Bairstow,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Henry to Bairstow, no run 
nipping down the slope, just misses off stump! Excellent length, Henry lets out a yelp as 
it zips through with Bairstow playing no shot",0.4,0,0.0,"Henry to Bairstow, no run  .nipping down the slope, just misses off stump! Excellent length, Henry lets out a yelp as  .it zips through with Bairstow playing no shot",Henry,Bairstow,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Henry to Bairstow, no run 
full on the stumps, dug out back to the bowler",0.5,0,0.0,"Henry to Bairstow, no run  .full on the stumps, dug out back to the bowler",Henry,Bairstow,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Henry to Bairstow, no run 
touch shorter, 86mph/138kph in the channel, punched towards cover but doesn't get it 
through this time 
end of over 16 runs  
ENG: 6/0CRR: 6.00  
Jonny Bairstow6 (6b 1x4) 
Dawid Malan0 (0b) 
Matt Henry 1-0-6-0 
Tim Southee from the Nursery End",0.6,0,0.0,"Henry to Bairstow, no run  .touch shorter, 86mph/138kph in the channel, punched towards cover but doesn't get it  .through this time",Henry,Bairstow,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Southee to Malan, no run 
length ball from over the wicket, Malan tucks it softly to leg 
Andy C: ""If he survives this over, my money's on YJB for a double century today."" Place 
your bets, folks (but remember, when the fun stops, stop)",1.1,0,0.0,"Southee to Malan, no run  .length ball from over the wicket, Malan tucks it softly to leg",Southee,Malan,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Southee to Malan, no run 
hint of inswing on off stump, defended",1.2,0,0.0,"Southee to Malan, no run  .hint of inswing on off stump, defended",Southee,Malan,0.0,0,0,1,1,0.0,0,,0
"1.3 
4 
Southee to Malan, FOUR runs 
drilled through the covers! Malan is on the move and hits the ball on the up, stroked 
through the infield for his first runs",1.3,4,4.0,"Southee to Malan, FOUR runs  .drilled through the covers! Malan is on the move and hits the ball on the up, stroked  .through the infield for his first runs",Southee,Malan,4.0,1,0,1,1,4.0,0,,1
"1.4 
• 
Southee to Malan, no run 
length in the channel, 81mph/130kph and shaping away from the southpaw. Left alone",1.4,0,0.0,"Southee to Malan, no run  .length in the channel, 81mph/130kph and shaping away from the southpaw. Left alone",Southee,Malan,0.0,0,0,1,1,0.0,0,,0
"1.5 
4 
Southee to Malan, FOUR runs 
pitched up and clipped unfussily through point, another pristine boundary for Malan as 
he steers this away on the front foot",1.5,4,4.0,"Southee to Malan, FOUR runs  .pitched up and clipped unfussily through point, another pristine boundary for Malan as  .he steers this away on the front foot",Southee,Malan,4.0,1,0,1,1,4.0,0,,1
