raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
5w 
Woakes to Gurbaz, 5 wide 
swings down the leg side, and through Buttler's grasp! Oh dear! Swung late, and 
nutmegged the skipper!",0.1,5w,5.0,"Woakes to Gurbaz, 5 wide  .swings down the leg side, and through Buttler's grasp! Oh dear! Swung late, and  .nutmegged the skipper!",Woakes,Gurbaz,0.0,0,0,0,0,5.0,0,,1
"0.1 
• 
Woakes to Gurbaz, no run 
better line outside off, lifting off the deck into Buttler's gloves with more surety this time",0.1,0,0.0,"Woakes to Gurbaz, no run  .better line outside off, lifting off the deck into Buttler's gloves with more surety this time",Woakes,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"0.2 
1 
Woakes to Gurbaz, 1 run 
slashed in the air, through the vacant third slip, Topley at deep third throws himself 
forward to intercept a fast-travelling ball. Wide line to Gurbaz, on a full length",0.2,1,1.0,"Woakes to Gurbaz, 1 run  .slashed in the air, through the vacant third slip, Topley at deep third throws himself  .forward to intercept a fast-travelling ball. Wide line to Gurbaz, on a full length",Woakes,Gurbaz,1.0,0,0,1,1,1.0,0,,1
"0.3 
• 
Woakes to Ibrahim Zadran, no run 
better line and length that time, snapping at the bat as Zadran blocks his first ball",0.3,0,0.0,"Woakes to Ibrahim Zadran, no run  .better line and length that time, snapping at the bat as Zadran blocks his first ball",Woakes,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Woakes to Ibrahim Zadran, no run 
tight to middle and off, tucked off the toes to midwicket",0.4,0,0.0,"Woakes to Ibrahim Zadran, no run  .tight to middle and off, tucked off the toes to midwicket",Woakes,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Woakes to Ibrahim Zadran, 1 run 
stepping onto the front foot, open-faced push down to deep third",0.5,1,1.0,"Woakes to Ibrahim Zadran, 1 run  .stepping onto the front foot, open-faced push down to deep third",Woakes,Ibrahim Zadran,1.0,0,0,1,1,1.0,0,,1
"0.6 
• 
Woakes to Gurbaz, no run 
attacking line on a full length, Woakes dragged that back reasonably well after that 
ropey loosener 
end of over 17 runs  
AFG: 7/0CRR: 7.00  
Rahmanullah Gurbaz1 (3b) 
Ibrahim Zadran1 (3b) 
Chris Woakes 1-0-7-0 
Reece Topley to share the honours. He was lethal against Bangladesh, especially in the 
powerplay",0.6,0,0.0,"Woakes to Gurbaz, no run  .attacking line on a full length, Woakes dragged that back reasonably well after that  .ropey loosener",Woakes,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Topley to Ibrahim Zadran, no run 
full length from over the wicket, shaping back into a front-foot block",1.1,0,0.0,"Topley to Ibrahim Zadran, no run  .full length from over the wicket, shaping back into a front-foot block",Topley,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Topley to Ibrahim Zadran, no run 
on the back foot, rising into the hip and tapped to the on-side",1.2,0,0.0,"Topley to Ibrahim Zadran, no run  .on the back foot, rising into the hip and tapped to the on-side",Topley,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Topley to Ibrahim Zadran, no run 
tidy line from Topley, just rising awkwardly from that gangly release point, punched on 
the up into the covers 
Mark: ""Everyone is saying that the pitch is a belter. That always seems to be the prelude 
to one of the two teams collapsing horribly!""",1.3,0,0.0,"Topley to Ibrahim Zadran, no run  .tidy line from Topley, just rising awkwardly from that gangly release point, punched on  .the up into the covers",Topley,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Topley to Ibrahim Zadran, no run 
hitting the pitch hard outside off, angled across the right-hander, hard-handed push to 
point, feet anchored in the crease",1.4,0,0.0,"Topley to Ibrahim Zadran, no run  .hitting the pitch hard outside off, angled across the right-hander, hard-handed push to  .point, feet anchored in the crease",Topley,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Topley to Ibrahim Zadran, no run 
attempts something more forceful on the back foot, but can't time the punch through 
the line to mid-off",1.5,0,0.0,"Topley to Ibrahim Zadran, no run  .attempts something more forceful on the back foot, but can't time the punch through  .the line to mid-off",Topley,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Topley to Ibrahim Zadran, no run 
right up to the toes, thumps the pads outside the line of leg. A maiden over to open 
Topley's account 
Badar: ""If both these openers get going in full throttle, they can give their team a solid 
start which later batters can cash in. Afghanistan is capable of posting a daunting total 
for England to chase under lights."" 
end of over 2Maiden 
AFG: 7/0CRR: 3.50  
Ibrahim Zadran1 (9b) 
Rahmanullah Gurbaz1 (3b) 
Reece Topley 1-1-0-0 
Chris Woakes 1-0-7-0",1.6,0,0.0,"Topley to Ibrahim Zadran, no run  .right up to the toes, thumps the pads outside the line of leg. A maiden over to open  .Topley's account",Topley,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
