raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Siraj to Anamul, no run 
full and nipping away outside off, left alone",0.1,0,0.0,"Siraj to Anamul, no run  .full and nipping away outside off, left alone",Siraj,Anamul,0.0,0,0,1,1,0.0,0,,0
"0.2 
1 
Siraj to Anamul, 1 run 
full on the pads, clipped away to fine leg for one 
Ravi: ""I Hope Ishan doesn't become another Karun Nair (almost gone missing after 300) 
once India starts playing full strength squad. """,0.2,1,1.0,"Siraj to Anamul, 1 run  .full on the pads, clipped away to fine leg for one",Siraj,Anamul,1.0,0,0,1,1,1.0,0,,1
"0.3 
• 
Siraj to Litton Das, no run 
shorter and angling into middle and leg, nudged away to the left of short midwicket",0.3,0,0.0,"Siraj to Litton Das, no run  .shorter and angling into middle and leg, nudged away to the left of short midwicket",Siraj,Litton Das,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Siraj to Litton Das, no run 
nice and full, swings away a touch from off stump, Litton dabs it to the covers 
Muntasir: ""I know its hard to find anything positive abt a bowling performance when a 
team scores 400 in ODI but i really admire how the BD bowlers kept their head up and 
kept running in. I have a feeling we might have a exciting 2nd innings as well""",0.4,0,0.0,"Siraj to Litton Das, no run  .nice and full, swings away a touch from off stump, Litton dabs it to the covers",Siraj,Litton Das,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Siraj to Litton Das, 1 run 
just short of a good length and outside off, solidly punched into the gap at covers 
Pratik: ""Who's keeping? KL or Ishan?"" --- Rahul",0.5,1,1.0,"Siraj to Litton Das, 1 run  .just short of a good length and outside off, solidly punched into the gap at covers",Siraj,Litton Das,1.0,0,0,1,1,1.0,0,,1
"0.6 
• 
Siraj to Anamul, no run 
full and veering in to have Anamul falling over on middle and stump and strike the pad, 
but this seems to be heading down the leg side 
end of over 12 runs  
BAN: 2/0CRR: 2.00 • RRR: 8.32 • Need 408 runs from 49 overs 
Anamul Haque1 (3b) 
Litton Das1 (3b) 
Mohammed Siraj 1-0-2-0 
Thakur. Over the wicket",0.6,0,0.0,"Siraj to Anamul, no run  .full and veering in to have Anamul falling over on middle and stump and strike the pad,  .but this seems to be heading down the leg side",Siraj,Anamul,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Thakur to Litton Das, no run 
on a length and outside off, Thakur draws a weak push to midwicket off the inside half",1.1,0,0.0,"Thakur to Litton Das, no run  .on a length and outside off, Thakur draws a weak push to midwicket off the inside half",Thakur,Litton Das,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Thakur to Litton Das, no run 
Litton uses his feet and yorks himself on middle. Squirted out into the covers",1.2,0,0.0,"Thakur to Litton Das, no run  .Litton uses his feet and yorks himself on middle. Squirted out into the covers",Thakur,Litton Das,0.0,0,0,1,1,0.0,0,,0
"1.3 
4 
Thakur to Litton Das, FOUR runs 
pitched-up delivery that holds its line outside off, Litton plants his front foot and lifts it 
over mid-off with a high elbow",1.3,4,4.0,"Thakur to Litton Das, FOUR runs  .pitched-up delivery that holds its line outside off, Litton plants his front foot and lifts it  .over mid-off with a high elbow",Thakur,Litton Das,4.0,1,0,1,1,4.0,0,,1
"1.4 
• 
Thakur to Litton Das, no run 
back of a length and skidding in to thump the thigh pad. Keeps low and foils Litton's 
attempt to pull it away",1.4,0,0.0,"Thakur to Litton Das, no run  .back of a length and skidding in to thump the thigh pad. Keeps low and foils Litton's  .attempt to pull it away",Thakur,Litton Das,0.0,0,0,1,1,0.0,0,,0
