raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Willey to Rohit Sharma, no run 
outside off, ghosts past the outside edge on the angle, threatening to swing back in but 
goes across instead",0.1,0,0.0,"Willey to Rohit Sharma, no run  .outside off, ghosts past the outside edge on the angle, threatening to swing back in but  .goes across instead",Willey,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Willey to Rohit Sharma, no run 
on the back foot, tucked to the leg side, Willey hitting a decent length from the outset",0.2,0,0.0,"Willey to Rohit Sharma, no run  .on the back foot, tucked to the leg side, Willey hitting a decent length from the outset",Willey,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Willey to Rohit Sharma, no run 
dangled outside off again, Rohit waiting for the inswinger and nearly gets lured by 
another that just holds its line 
The word is that this is a red-soil track, which ought to be quicker than the black-soil 
alternative",0.3,0,0.0,"Willey to Rohit Sharma, no run  .dangled outside off again, Rohit waiting for the inswinger and nearly gets lured by  .another that just holds its line  .The word is that this is a red-soil track, which ought to be quicker than the black-soil  .alternative",Willey,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Willey to Rohit Sharma, no run 
on the back foot, jabbed to gully, Rohit looks for the single but can't get through some 
sharp fielding",0.4,0,0.0,"Willey to Rohit Sharma, no run  .on the back foot, jabbed to gully, Rohit looks for the single but can't get through some  .sharp fielding",Willey,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Willey to Rohit Sharma, no run 
solid line and length, giving no width to work with whatsoever, as Rohit steps into the 
length to defend",0.5,0,0.0,"Willey to Rohit Sharma, no run  .solid line and length, giving no width to work with whatsoever, as Rohit steps into the  .length to defend",Willey,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Willey to Rohit Sharma, no run 
lovely bowling! Extra pop from a good length on off stump, climbs past the outside 
edge. No nick but it is a maiden. That's a rare and welcome sight for England 
It's a 49-over game then... here's Woakes, who has been eyecatchingly short of form. 
Important spell coming up 
end of over 1Maiden 
IND: 0/0CRR: 0.00  
Rohit Sharma0 (6b) 
Shubman Gill0 (0b) 
David Willey 1-1-0-0 
 
Shubman Gill Batting 1st in ODIs 
INNS 
21 
RUNS 
1265 
SR 
107.11 
AVE 
70.27",0.6,0,0.0,"Willey to Rohit Sharma, no run  .lovely bowling! Extra pop from a good length on off stump, climbs past the outside  .edge. No nick but it is a maiden. That's a rare and welcome sight for England  .It's a 49-over game then... here's Woakes, who has been eyecatchingly short of form.  .Important spell coming up",Willey,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Woakes to Gill, no run 
back of a length, hint of swing outside off, but no pace at all off the track. Bobbles 
through to Buttler on the second bounce",1.1,0,0.0,"Woakes to Gill, no run  .back of a length, hint of swing outside off, but no pace at all off the track. Bobbles  .through to Buttler on the second bounce",Woakes,Gill,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Woakes to Gill, no run 
cutter, back into the pads, Gill looks for a clip to leg but can't connect. The ball deflects 
off the thigh out to cover",1.2,0,0.0,"Woakes to Gill, no run  .cutter, back into the pads, Gill looks for a clip to leg but can't connect. The ball deflects  .off the thigh out to cover",Woakes,Gill,0.0,0,0,1,1,0.0,0,,0
"1.3 
4 
Woakes to Gill, FOUR runs 
up on the toes, and punched away through point! Gill gives himself a fraction of room to 
leg, and stands up into the stroke as Woakes lines up another outswinger on a tight off-
stump line. Wonderful strike",1.3,4,4.0,"Woakes to Gill, FOUR runs  .up on the toes, and punched away through point! Gill gives himself a fraction of room to  .leg, and stands up into the stroke as Woakes lines up another outswinger on a tight off- .stump line. Wonderful strike",Woakes,Gill,4.0,1,0,1,1,4.0,0,,1
"1.4 
• 
Woakes to Gill, no run 
loose drive, and nearly drags onto the stumps! Much fuller length, Gill unleashed his 
arms, and that thudded into his back foot",1.4,0,0.0,"Woakes to Gill, no run  .loose drive, and nearly drags onto the stumps! Much fuller length, Gill unleashed his  .arms, and that thudded into his back foot",Woakes,Gill,0.0,0,0,1,1,0.0,0,,0
