raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1 
Boult to B Sai Sudharsan, 1 run 
On a length outside off, he stands tall and splits the gap between point and backward 
point. 
Stays over the wicket with a slip in place 
 
Shubman Gill vs Trent Boult 
BALLS 
69 
RUNS 
74 
OUTS 
1 
SR 
107.24 
4s/6s 
10/1",0.1,1,1.0,"Boult to B Sai Sudharsan, 1 run  .On a length outside off, he stands tall and splits the gap between point and backward  .point.  .Stays over the wicket with a slip in place  .  .Shubman Gill vs Trent Boult  .BALLS  .69  .RUNS  .74  .OUTS  .1  .SR  .107.24  .4s/6s  .10/1",Boult,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"0.2 
1 
Boult to Gill, 1 run 
Too straight on middle and leg as Gill picks this to deep backward square leg",0.2,1,1.0,"Boult to Gill, 1 run  .Too straight on middle and leg as Gill picks this to deep backward square leg",Boult,Gill,1.0,0,0,1,1,1.0,0,,1
"0.3 
1 
Boult to B Sai Sudharsan, 1 run 
Splendid fielding by Tilak at mid-off. Wow, that's stunning. He's saved three. Too full 
outside off, he laces the drive and Tilak dives full-length to his right",0.3,1,1.0,"Boult to B Sai Sudharsan, 1 run  .Splendid fielding by Tilak at mid-off. Wow, that's stunning. He's saved three. Too full  .outside off, he laces the drive and Tilak dives full-length to his right",Boult,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"0.4 
W 
Boult to Gill, OUT 
First-over Boult doing what he does best. This looks plumb but Gill has reviewed. He 
has to, doesn't he? Lands the ball on a length on off and middle and shapes this back in 
late. Gill goes for a whip across the line, misses and is trapped in front. No bat, on we 
go. And, yep, replays confirm the ball would have smashed into middle stump. 
Shubman Gill lbw b Boult 1 (2b 0x4 0x6 4m) SR: 50 
See all photos 
No Buttler at No. 3. Here's Kusal Mendis. Dropped two catches. Can he make amends 
with the bat?",0.4,W,0.0,"Boult to Gill, OUT  .First-over Boult doing what he does best. This looks plumb but Gill has reviewed. He  .has to, doesn't he? Lands the ball on a length on off and middle and shapes this back in  .late. Gill goes for a whip across the line, misses and is trapped in front. No bat, on we  .go. And, yep, replays confirm the ball would have smashed into middle stump.  .Shubman Gill lbw b Boult 1 (2b 0x4 0x6 4m) SR: 50",Boult,Gill,0.0,0,0,1,1,0.0,1,lbw b Boult,0
"0.5 
• 
Boult to Kusal Mendis, no run 
Yorker just outside off, he digs this out",0.5,0,0.0,"Boult to Kusal Mendis, no run  .Yorker just outside off, he digs this out",Boult,Kusal Mendis,0.0,0,0,1,1,0.0,0,,0
"0.6 
2 
Boult to Kusal Mendis, 2 runs 
Sliced over point for a couple of runs. Full and angling across Mendis outside off, gets 
off the mark 
Hari: ""Jeez, playoffs pressure is true it seems!"" 
end of over 15 runs • 1 wicket 
GT: 5/1CRR: 5.00 • RRR: 11.78 • Need 224 runs from 114b 
Kusal Mendis2 (2b) 
Sai Sudharsan2 (2b) 
Trent Boult 1-0-5-1 
Jasprit Bumrah with the new ball. He is over the wicket. A slip in place",0.6,2,2.0,"Boult to Kusal Mendis, 2 runs  .Sliced over point for a couple of runs. Full and angling across Mendis outside off, gets  .off the mark",Boult,Kusal Mendis,2.0,0,0,1,1,2.0,0,,1
"1.1 
• 
Bumrah to B Sai Sudharsan, no run 
Angles the length ball across the batter outside off. Sai Sudharsan flirts with it and gets 
beaten 
Jai: ""I will give Tilak credit for that wicket.""",1.1,0,0.0,"Bumrah to B Sai Sudharsan, no run  .Angles the length ball across the batter outside off. Sai Sudharsan flirts with it and gets  .beaten",Bumrah,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
"1.2 
2 
Bumrah to B Sai Sudharsan, 2 runs 
On a good length on his hips that Sai Sudharsan works this to deep backward square's 
right for a couple of runs",1.2,2,2.0,"Bumrah to B Sai Sudharsan, 2 runs  .On a good length on his hips that Sai Sudharsan works this to deep backward square's  .right for a couple of runs",Bumrah,B Sai Sudharsan,2.0,0,0,1,1,2.0,0,,1
"1.3 
1w 
Bumrah to B Sai Sudharsan, 1 wide 
That's a great stop from Bairstow. Full and well down leg. Bairstow dives to his right 
and saves a few extra runs",1.3,1w,1.0,"Bumrah to B Sai Sudharsan, 1 wide  .That's a great stop from Bairstow. Full and well down leg. Bairstow dives to his right  .and saves a few extra runs",Bumrah,B Sai Sudharsan,0.0,0,0,0,0,1.0,0,,1
"1.3 
• 
Bumrah to B Sai Sudharsan, no run 
Good length ball outside off, he cuts this to Tilak at point",1.3,0,0.0,"Bumrah to B Sai Sudharsan, no run  .Good length ball outside off, he cuts this to Tilak at point",Bumrah,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
"1.4 
1 
Bumrah to B Sai Sudharsan, 1 run 
Fullish just around off stump, he squeezes this back towards the bowler, who parries to 
mid-on 
Stays over the wicket",1.4,1,1.0,"Bumrah to B Sai Sudharsan, 1 run  .Fullish just around off stump, he squeezes this back towards the bowler, who parries to  .mid-on  .Stays over the wicket",Bumrah,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"1.5 
• 
Bumrah to Kusal Mendis, no run 
Full in length shaping into Mendis just around off stump. He drives this back to the 
bowler",1.5,0,0.0,"Bumrah to Kusal Mendis, no run  .Full in length shaping into Mendis just around off stump. He drives this back to the  .bowler",Bumrah,Kusal Mendis,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Bumrah to Kusal Mendis, no run 
Full and shaping away from Mendis outside off, he pushes this towards cover-point 
Hamza: ""No Buttler surely means the game is MI's to lose from here."" 
end of over 24 runs  
GT: 9/1CRR: 4.50 • RRR: 12.22 • Need 220 runs from 108b 
Kusal Mendis2 (4b) 
Sai Sudharsan5 (6b) 
Jasprit Bumrah 1-0-4-0 
Trent Boult 1-0-5-1 
Amey: ""Is Raj Bawa in for Chahar? What happened to him?"" Hamstring niggle",1.6,0,0.0,"Bumrah to Kusal Mendis, no run  .Full and shaping away from Mendis outside off, he pushes this towards cover-point",Bumrah,Kusal Mendis,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Boult to B Sai Sudharsan, no run 
On a length on off, he presents the full face of the bat to the right of Boult who stretches 
out his right hand and parries the ball to mid-off",2.1,0,0.0,"Boult to B Sai Sudharsan, no run  .On a length on off, he presents the full face of the bat to the right of Boult who stretches  .out his right hand and parries the ball to mid-off",Boult,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
"2.2 
6 
Boult to B Sai Sudharsan, SIX runs 
First six of the GT innings. On a length down leg, no swing there. Sai Sudharsan whips 
this over deep backward square leg. Bumrah was interested for a second but this was 
well over him",2.2,6,6.0,"Boult to B Sai Sudharsan, SIX runs  .First six of the GT innings. On a length down leg, no swing there. Sai Sudharsan whips  .this over deep backward square leg. Bumrah was interested for a second but this was  .well over him",Boult,B Sai Sudharsan,6.0,0,1,1,1,6.0,0,,1
"2.3 
2 
Boult to B Sai Sudharsan, 2 runs 
Short and wide, he crashes this away to Dhir at cover-point who misfields and concedes 
two runs",2.3,2,2.0,"Boult to B Sai Sudharsan, 2 runs  .Short and wide, he crashes this away to Dhir at cover-point who misfields and concedes  .two runs",Boult,B Sai Sudharsan,2.0,0,0,1,1,2.0,0,,1
"2.4 
1 
Boult to B Sai Sudharsan, 1 run 
On a length shaping back into Sai Sudharsan just outside off, he opens the face of the 
blade and runs this down to deep third",2.4,1,1.0,"Boult to B Sai Sudharsan, 1 run  .On a length shaping back into Sai Sudharsan just outside off, he opens the face of the  .blade and runs this down to deep third",Boult,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"2.5 
6 
Boult to Kusal Mendis, SIX runs 
Six more! Back of a length ball just outside off, he pulls this away right off the middle of 
the bat over deep midwicket",2.5,6,6.0,"Boult to Kusal Mendis, SIX runs  .Six more! Back of a length ball just outside off, he pulls this away right off the middle of  .the bat over deep midwicket",Boult,Kusal Mendis,6.0,0,1,1,1,6.0,0,,1
"2.6 
6 
Boult to Kusal Mendis, SIX runs 
That's gone into orbit! Two in two for Mendis. Length ball on Mendi's pad who picks 
this up cleanly for a 99m six over deep backward square leg. Twenty one off that Boult 
over. 
end of over 321 runs  
GT: 30/1CRR: 10.00 • RRR: 11.70 • Need 199 runs from 102b 
Kusal Mendis14 (6b 2x6) 
Sai Sudharsan14 (10b 1x6) 
Trent Boult 2-0-26-1 
Jasprit Bumrah 1-0-4-0 
Bumrah out after one over. Here's Gleeson from over the wicket. He runs in... and 
aborts.",2.6,6,6.0,"Boult to Kusal Mendis, SIX runs  .That's gone into orbit! Two in two for Mendis. Length ball on Mendi's pad who picks  .this up cleanly for a 99m six over deep backward square leg. Twenty one off that Boult  .over.",Boult,Kusal Mendis,6.0,0,1,1,1,6.0,0,,1
"3.1 
• 
Gleeson to B Sai Sudharsan, no run 
Ooh, boy that's some pace. Starts off with the short of a length ball on middle. Sai 
Sudharsan has to arch back and YBJ leaps to collect this well over his head",3.1,0,0.0,"Gleeson to B Sai Sudharsan, no run  .Ooh, boy that's some pace. Starts off with the short of a length ball on middle. Sai  .Sudharsan has to arch back and YBJ leaps to collect this well over his head",Gleeson,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
"3.2 
4 
Gleeson to B Sai Sudharsan, FOUR runs 
Beats Boult in the deep. Banged in short around rib-high on middle. He pulls this and 
gets it to the right of deep backward square leg",3.2,4,4.0,"Gleeson to B Sai Sudharsan, FOUR runs  .Beats Boult in the deep. Banged in short around rib-high on middle. He pulls this and  .gets it to the right of deep backward square leg",Gleeson,B Sai Sudharsan,4.0,1,0,1,1,4.0,0,,1
"3.3 
1 
Gleeson to B Sai Sudharsan, 1 run 
Good length ball angling across Sai Sudharsan who runs this fine to deep third 
Kishore Bhartol: ""Where is Jos Butler? "" In England",3.3,1,1.0,"Gleeson to B Sai Sudharsan, 1 run  .Good length ball angling across Sai Sudharsan who runs this fine to deep third",Gleeson,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"3.4 
1w 
Gleeson to Kusal Mendis, 1 wide 
Back of a length ball down leg, he steps across and looks to scoop this fine. Can't 
connect but called a wide 
Rish: ""MI had a 35 and 38 year old opening for them, and a 35 yr old and 37 year old 
bowling in the powerplay. Banking on experience!""",3.4,1w,1.0,"Gleeson to Kusal Mendis, 1 wide  .Back of a length ball down leg, he steps across and looks to scoop this fine. Can't  .connect but called a wide",Gleeson,Kusal Mendis,0.0,0,0,0,0,1.0,0,,1
"3.4 
1 
Gleeson to Kusal Mendis, 1 run 
Back of a length ball outside off, he opens the face of the bat and guides this fine to 
deep third",3.4,1,1.0,"Gleeson to Kusal Mendis, 1 run  .Back of a length ball outside off, he opens the face of the bat and guides this fine to  .deep third",Gleeson,Kusal Mendis,1.0,0,0,1,1,1.0,0,,1
"3.5 
• 
Gleeson to B Sai Sudharsan, no run 
Huge appeal for caught behind. The umpire stays unmoved but Bairstow is confident. 
Was almost a spontaneous appeal. And after all that, they don't take the review. Banged 
in short on middle, he arches back and looks to ramp this fine. Don't think he got 
anywhere close to that",3.5,0,0.0,"Gleeson to B Sai Sudharsan, no run  .Huge appeal for caught behind. The umpire stays unmoved but Bairstow is confident.  .Was almost a spontaneous appeal. And after all that, they don't take the review. Banged  .in short on middle, he arches back and looks to ramp this fine. Don't think he got  .anywhere close to that",Gleeson,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
"3.6 
4 
Gleeson to B Sai Sudharsan, FOUR runs 
700 runs for Sai Sudharsan in IPL 2025 and he gets there in style. In the slot outside 
off, he prods forward, one knee bent, and creams a drive to the right of mid-off 
end of over 411 runs  
GT: 41/1CRR: 10.25 • RRR: 11.75 • Need 188 runs from 96b 
Sai Sudharsan23 (15b 2x4 1x6) 
Kusal Mendis15 (7b 2x6) 
Richard Gleeson 1-0-11-0 
Trent Boult 2-0-26-1 
Hardik to bowl in the powerplay. He is over the wicket.",3.6,4,4.0,"Gleeson to B Sai Sudharsan, FOUR runs  .700 runs for Sai Sudharsan in IPL 2025 and he gets there in style. In the slot outside  .off, he prods forward, one knee bent, and creams a drive to the right of mid-off",Gleeson,B Sai Sudharsan,4.0,1,0,1,1,4.0,0,,1
"4.1 
1 
Hardik to Kusal Mendis, 1 run 
Slower length ball on middle, he works this to the right of midwicket 
 
Sai Sudharsan in IPL, 2025 
INNS 
15 
RUNS 
702 
SR 
155.30 
AVE 
54.00 
HS 
108*",4.1,1,1.0,"Hardik to Kusal Mendis, 1 run  .Slower length ball on middle, he works this to the right of midwicket  .  .Sai Sudharsan in IPL, 2025  .INNS  .15  .RUNS  .702  .SR  .155.30  .AVE  .54.00  .HS  .108*",Hardik,Kusal Mendis,1.0,0,0,1,1,1.0,0,,1
"4.2 
• 
Hardik to B Sai Sudharsan, no run 
Slower offcutter that lands on a length outside off, he gets beaten looking to guide this 
fine",4.2,0,0.0,"Hardik to B Sai Sudharsan, no run  .Slower offcutter that lands on a length outside off, he gets beaten looking to guide this  .fine",Hardik,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
"4.3 
4 
Hardik to B Sai Sudharsan, FOUR runs 
CRASHED! Short and just outside off, he gets on top of the square cut and thumps this 
past point",4.3,4,4.0,"Hardik to B Sai Sudharsan, FOUR runs  .CRASHED! Short and just outside off, he gets on top of the square cut and thumps this  .past point",Hardik,B Sai Sudharsan,4.0,1,0,1,1,4.0,0,,1
"4.4 
4 
Hardik to B Sai Sudharsan, FOUR runs 
Two in two! Short of a good length ball outside off, he stands tall and punches this 
through covers for another four. GT's fifty is up in",4.4,4,4.0,"Hardik to B Sai Sudharsan, FOUR runs  .Two in two! Short of a good length ball outside off, he stands tall and punches this  .through covers for another four. GT's fifty is up in",Hardik,B Sai Sudharsan,4.0,1,0,1,1,4.0,0,,1
"4.5 
1 
Hardik to B Sai Sudharsan, 1 run 
Back of a length ball angling across the batter, he pushes off the toe-end of the bat to 
mid-off",4.5,1,1.0,"Hardik to B Sai Sudharsan, 1 run  .Back of a length ball angling across the batter, he pushes off the toe-end of the bat to  .mid-off",Hardik,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
