raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Fazalhaq Farooqi to Mohammad Naim, no run 
Full ball beats the flick and hits the pad. LBW is turned down, the angle was sharp and it 
looked to be sliding down leg",0.1,0,0.0,"Fazalhaq Farooqi to Mohammad Naim, no run  .Full ball beats the flick and hits the pad. LBW is turned down, the angle was sharp and it  .looked to be sliding down leg",Fazalhaq Farooqi,Mohammad Naim,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Fazalhaq Farooqi to Mohammad Naim, no run 
Back of length just outside off at 136kph, chopped firmly without a follow-through. Goes 
to point 
The umpire has the ball. Not sure why. Farooqi has something blue on his hand, maybe 
it's paint from the advertising. All good now.",0.2,0,0.0,"Fazalhaq Farooqi to Mohammad Naim, no run  .Back of length just outside off at 136kph, chopped firmly without a follow-through. Goes  .to point  .The umpire has the ball. Not sure why. Farooqi has something blue on his hand, maybe  .it's paint from the advertising. All good now.",Fazalhaq Farooqi,Mohammad Naim,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Fazalhaq Farooqi to Mohammad Naim, no run 
Full just outside off, blocked towards cover point",0.3,0,0.0,"Fazalhaq Farooqi to Mohammad Naim, no run  .Full just outside off, blocked towards cover point",Fazalhaq Farooqi,Mohammad Naim,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Fazalhaq Farooqi to Mohammad Naim, no run 
Overpitched outside off, crunches a front-foot cover drive. Nabi moves to the left and 
dives across to stop it.",0.4,0,0.0,"Fazalhaq Farooqi to Mohammad Naim, no run  .Overpitched outside off, crunches a front-foot cover drive. Nabi moves to the left and  .dives across to stop it.",Fazalhaq Farooqi,Mohammad Naim,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Fazalhaq Farooqi to Mohammad Naim, no run 
Naim takes a couple of steps down and tries to cut the ball. Misses. Ball landed on a 
back of length but was closer to the height off a length as Naim tried to cut it. The ball 
moved away a bit which didn't help the batter. Farooqi has a stare and maybe a word",0.5,0,0.0,"Fazalhaq Farooqi to Mohammad Naim, no run  .Naim takes a couple of steps down and tries to cut the ball. Misses. Ball landed on a  .back of length but was closer to the height off a length as Naim tried to cut it. The ball  .moved away a bit which didn't help the batter. Farooqi has a stare and maybe a word",Fazalhaq Farooqi,Mohammad Naim,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Fazalhaq Farooqi to Mohammad Naim, no run 
Naim is dragged across by the length ball on a wide line. He chases with the cover drive. 
The ball angles away to beat him again. Farooqi has a word. Maiden to start 
end of over 1Maiden 
BAN: 0/0CRR: 0.00 • RRR: 6.77 • Need 332 runs from 49 overs 
Mohammad Naim0 (6b) 
Litton Das0 (0b) 
Fazalhaq Farooqi 1-1-0-0 
Mujeeb in with a slip. Over the wicket",0.6,0,0.0,"Fazalhaq Farooqi to Mohammad Naim, no run  .Naim is dragged across by the length ball on a wide line. He chases with the cover drive.  .The ball angles away to beat him again. Farooqi has a word. Maiden to start",Fazalhaq Farooqi,Mohammad Naim,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Mujeeb to Litton Das, no run 
Length on middle despite Litton making room. Punched to cover",1.1,0,0.0,"Mujeeb to Litton Das, no run  .Length on middle despite Litton making room. Punched to cover",Mujeeb,Litton Das,0.0,0,0,1,1,0.0,0,,0
"1.2 
4 
Mujeeb to Litton Das, FOUR runs 
Litton pulls the shortish ball down leg over fine leg, he had to reach in to slap it along 
the way. Clear intent against the spinner",1.2,4,4.0,"Mujeeb to Litton Das, FOUR runs  .Litton pulls the shortish ball down leg over fine leg, he had to reach in to slap it along  .the way. Clear intent against the spinner",Mujeeb,Litton Das,4.0,1,0,1,1,4.0,0,,1
"1.3 
4 
Mujeeb to Litton Das, FOUR runs 
Litton stands well outside leg. Lets it on a length at the stumps, waits a bit and directs a 
square drive in front of point",1.3,4,4.0,"Mujeeb to Litton Das, FOUR runs  .Litton stands well outside leg. Lets it on a length at the stumps, waits a bit and directs a  .square drive in front of point",Mujeeb,Litton Das,4.0,1,0,1,1,4.0,0,,1
"1.4 
• 
Mujeeb to Litton Das, no run 
Keeps a bit low and Litton is hit on the pad. LBW given, Litton reviews. Length ball 
turned in big after landing outside off. Litton was in the crease, went on the back foot 
and tried to block it with a slightly closed bat-face. There is a spike as the ball is next to 
the bat, says the third umpire. The crowd cheer. The skipper has a word with the 
umpire. Litton has a smile as he has a word with the keeper. Was a toughie that - the bat 
and ball weren't nudging each other. The spike came a little late, when the ball had 
almost passed bat but the third umpire was convinced that it was an edge.",1.4,0,0.0,"Mujeeb to Litton Das, no run  .Keeps a bit low and Litton is hit on the pad. LBW given, Litton reviews. Length ball  .turned in big after landing outside off. Litton was in the crease, went on the back foot  .and tried to block it with a slightly closed bat-face. There is a spike as the ball is next to  .the bat, says the third umpire. The crowd cheer. The skipper has a word with the  .umpire. Litton has a smile as he has a word with the keeper. Was a toughie that - the bat  .and ball weren't nudging each other. The spike came a little late, when the ball had  .almost passed bat but the third umpire was convinced that it was an edge.",Mujeeb,Litton Das,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Mujeeb to Litton Das, no run 
Makes room and slaps the length ball to point",1.5,0,0.0,"Mujeeb to Litton Das, no run  .Makes room and slaps the length ball to point",Mujeeb,Litton Das,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Mujeeb to Litton Das, no run 
Works it back to the bowler from the stumps 
Zaland: ""That was a bad decision from the third umpire. There was daylight between the 
bat and the bowl when the bowl was near the bat. "" I wasn't fully sure but yeah, Adrian 
Holdstock clearly looked at it differently 
end of over 28 runs  
BAN: 8/0CRR: 4.00 • RRR: 6.75 • Need 324 runs from 48 overs 
Litton Das8 (6b 2x4) 
Mohammad Naim0 (6b) 
Mujeeb Ur Rahman 1-0-8-0 
Fazalhaq Farooqi 1-1-0-0",1.6,0,0.0,"Mujeeb to Litton Das, no run  .Works it back to the bowler from the stumps",Mujeeb,Litton Das,0.0,0,0,1,1,0.0,0,,0
"2.1 
1 
Fazalhaq Farooqi to Mohammad Naim, 1 run 
Shortish ball outside off is steered to deep third",2.1,1,1.0,"Fazalhaq Farooqi to Mohammad Naim, 1 run  .Shortish ball outside off is steered to deep third",Fazalhaq Farooqi,Mohammad Naim,1.0,0,0,1,1,1.0,0,,1
"2.2 
• 
Fazalhaq Farooqi to Litton Das, no run 
Length around off at 132kph, clipped to midwicket",2.2,0,0.0,"Fazalhaq Farooqi to Litton Das, no run  .Length around off at 132kph, clipped to midwicket",Fazalhaq Farooqi,Litton Das,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Fazalhaq Farooqi to Litton Das, no run 
Full and wide outside off, let go",2.3,0,0.0,"Fazalhaq Farooqi to Litton Das, no run  .Full and wide outside off, let go",Fazalhaq Farooqi,Litton Das,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Fazalhaq Farooqi to Litton Das, no run 
Big call for lbw. Not given. Farooqi charged from around the wicket and the length ball 
at 134kph shot in with the angle. Litton was squared up and tried to block it straight. 
Missed it and got hit on the pad in front of leg. Prolly going down leg",2.4,0,0.0,"Fazalhaq Farooqi to Litton Das, no run  .Big call for lbw. Not given. Farooqi charged from around the wicket and the length ball  .at 134kph shot in with the angle. Litton was squared up and tried to block it straight.  .Missed it and got hit on the pad in front of leg. Prolly going down leg",Fazalhaq Farooqi,Litton Das,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Fazalhaq Farooqi to Litton Das, no run 
Shortish ball outside off doesn't rise much, Litton tries to caress is with the horizontal 
bat but it stays down a bit and he is pinned. Ball goes under bat",2.5,0,0.0,"Fazalhaq Farooqi to Litton Das, no run  .Shortish ball outside off doesn't rise much, Litton tries to caress is with the horizontal  .bat but it stays down a bit and he is pinned. Ball goes under bat",Fazalhaq Farooqi,Litton Das,0.0,0,0,1,1,0.0,0,,0
"2.6 
• 
Fazalhaq Farooqi to Litton Das, no run 
Blocks the length ball outside off to point 
Tareq: ""In close calls like those, you see what you want to see."" 
end of over 31 run  
BAN: 9/0CRR: 3.00 • RRR: 6.87 • Need 323 runs from 47 overs 
Litton Das8 (11b 2x4) 
Mohammad Naim1 (7b) 
Fazalhaq Farooqi 2-1-1-0 
Mujeeb Ur Rahman 1-0-8-0 
Around",2.6,0,0.0,"Fazalhaq Farooqi to Litton Das, no run  .Blocks the length ball outside off to point",Fazalhaq Farooqi,Litton Das,0.0,0,0,1,1,0.0,0,,0
"3.1 
1 
Mujeeb to Mohammad Naim, 1 run 
Length outside off, bunted to long-on 
Back over. Will Litton continue to go big?",3.1,1,1.0,"Mujeeb to Mohammad Naim, 1 run  .Length outside off, bunted to long-on  .Back over. Will Litton continue to go big?",Mujeeb,Mohammad Naim,1.0,0,0,1,1,1.0,0,,1
"3.2 
• 
Mujeeb to Litton Das, no run 
No. Stands in front of middle, lunges across and blocks the full ball at 81kph to cover",3.2,0,0.0,"Mujeeb to Litton Das, no run  .No. Stands in front of middle, lunges across and blocks the full ball at 81kph to cover",Mujeeb,Litton Das,0.0,0,0,1,1,0.0,0,,0
