raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Junaid Siddique to Prajapati, no run 
On a length outside off, it pitches and straightens and goes towards backward point off 
the outside half of the bat",0.1,0,0.0,"Junaid Siddique to Prajapati, no run  .On a length outside off, it pitches and straightens and goes towards backward point off  .the outside half of the bat",Junaid Siddique,Prajapati,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Junaid Siddique to Prajapati, no run 
On a length and going down leg, good take by the keeper. Came off the batter's hip. No 
wide given",0.2,0,0.0,"Junaid Siddique to Prajapati, no run  .On a length and going down leg, good take by the keeper. Came off the batter's hip. No  .wide given",Junaid Siddique,Prajapati,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Junaid Siddique to Prajapati, no run 
Length ball on off, it straightens after pitching again and Prajapati gets in line to block",0.3,0,0.0,"Junaid Siddique to Prajapati, no run  .Length ball on off, it straightens after pitching again and Prajapati gets in line to block",Junaid Siddique,Prajapati,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Junaid Siddique to Prajapati, no run 
Full outside off and he eases it to cover",0.4,0,0.0,"Junaid Siddique to Prajapati, no run  .Full outside off and he eases it to cover",Junaid Siddique,Prajapati,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Junaid Siddique to Prajapati, no run 
Full on middle and driven back to the bowler",0.5,0,0.0,"Junaid Siddique to Prajapati, no run  .Full on middle and driven back to the bowler",Junaid Siddique,Prajapati,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Junaid Siddique to Prajapati, no run 
And Siddique starts off with a maiden. On a length on middle and it's defended back to 
the bowler 
end of over 1Maiden 
OMA: 0/0CRR: 0.00 • RRR: 4.65 • Need 228 runs from 49 overs 
Kashyap Prajapati0 (6b) 
Jatinder Singh0 (0b) 
Junaid Siddique 1-1-0-0 
Ali Naseer from the other end",0.6,0,0.0,"Junaid Siddique to Prajapati, no run  .And Siddique starts off with a maiden. On a length on middle and it's defended back to  .the bowler",Junaid Siddique,Prajapati,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Ali Naseer to Jatinder, no run 
Full and wide and Jatinder Singh shoulders arms 
praveen: ""I bet its UAE match .""",1.1,0,0.0,"Ali Naseer to Jatinder, no run  .Full and wide and Jatinder Singh shoulders arms",Ali Naseer,Jatinder,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Ali Naseer to Jatinder, no run 
On a length on off, blocked back to the bowler",1.2,0,0.0,"Ali Naseer to Jatinder, no run  .On a length on off, blocked back to the bowler",Ali Naseer,Jatinder,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Ali Naseer to Jatinder, no run 
Length ball around off again and he defends on the back foot",1.3,0,0.0,"Ali Naseer to Jatinder, no run  .Length ball around off again and he defends on the back foot",Ali Naseer,Jatinder,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Ali Naseer to Jatinder, no run 
Full and wide, Jatinder look to drive but can't make contact",1.4,0,0.0,"Ali Naseer to Jatinder, no run  .Full and wide, Jatinder look to drive but can't make contact",Ali Naseer,Jatinder,0.0,0,0,1,1,0.0,0,,0
