raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Lee to Ouma, no run 
outswing at brisk pace, Ouma fishes and misses, that angled in towards the stumps 
before curving away past the bat",0.1,0,0.0,"Lee to Ouma, no run  .outswing at brisk pace, Ouma fishes and misses, that angled in towards the stumps  .before curving away past the bat",Lee,Ouma,0.0,0,0,1,1,0.0,0,,0
"0.2 
2 
Lee to Ouma, 2 runs 
Kenya are away, Lee gets a bit too straight but this time the ball doesn't swing as much, 
played off the pads through square leg",0.2,2,2.0,"Lee to Ouma, 2 runs  .Kenya are away, Lee gets a bit too straight but this time the ball doesn't swing as much,  .played off the pads through square leg",Lee,Ouma,2.0,0,0,1,1,2.0,0,,1
"0.3 
• 
Lee to Ouma, no run 
banged in short outside off stump, Ouma begins to play it and then lets the ball pass",0.3,0,0.0,"Lee to Ouma, no run  .banged in short outside off stump, Ouma begins to play it and then lets the ball pass",Lee,Ouma,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Lee to Ouma, no run 
another fast outswinger at 146kph, the line was outside off and it veered away sharply, 
Haddin has to move quickly to collect",0.4,0,0.0,"Lee to Ouma, no run  .another fast outswinger at 146kph, the line was outside off and it veered away sharply,  .Haddin has to move quickly to collect",Lee,Ouma,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Lee to Ouma, no run 
full and straight from Lee on off stump, pushed towards cover point from the crease",0.5,0,0.0,"Lee to Ouma, no run  .full and straight from Lee on off stump, pushed towards cover point from the crease",Lee,Ouma,0.0,0,0,1,1,0.0,0,,0
"0.6 
1 
Lee to Ouma, 1 run 
Ouma pushes forward and gets a thick outside edge towards third man 
end of over 13 runs  
KENYA: 3/0CRR: 3.00 • RRR: 6.57 
Morris Ouma3 (6b) 
Alex Obanda0 (0b) 
Brett Lee 1-0-3-0 
Shaun Tait will share the new ball ...",0.6,1,1.0,"Lee to Ouma, 1 run  .Ouma pushes forward and gets a thick outside edge towards third man",Lee,Ouma,1.0,0,0,1,1,1.0,0,,1
"1.1 
• 
Tait to Ouma, no run 
short of a length, pushing the batsman on the back foot, played towards cover",1.1,0,0.0,"Tait to Ouma, no run  .short of a length, pushing the batsman on the back foot, played towards cover",Tait,Ouma,0.0,0,0,1,1,0.0,0,,0
"1.2 
1 
Tait to Ouma, 1 run 
Clarke missed at the non-striker's end or else the batsman was a goner, he pushed 
towards point and set off for a risky single",1.2,1,1.0,"Tait to Ouma, 1 run  .Clarke missed at the non-striker's end or else the batsman was a goner, he pushed  .towards point and set off for a risky single",Tait,Ouma,1.0,0,0,1,1,1.0,0,,1
"1.3 
• 
Tait to Obanda, no run 
Tait's pace is not giving the batsman any time to do anything but stay in the crease and 
block. That was 144 kph",1.3,0,0.0,"Tait to Obanda, no run  .Tait's pace is not giving the batsman any time to do anything but stay in the crease and  .block. That was 144 kph",Tait,Obanda,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Tait to Obanda, no run 
played off the back foot towards mid-off, the length was full but the batsman stayed in 
his crease, 147 kph ...",1.4,0,0.0,"Tait to Obanda, no run  .played off the back foot towards mid-off, the length was full but the batsman stayed in  .his crease, 147 kph ...",Tait,Obanda,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Tait to Obanda, no run 
a forceful shot off the back foot but it is to the fielder at cover",1.5,0,0.0,"Tait to Obanda, no run  .a forceful shot off the back foot but it is to the fielder at cover",Tait,Obanda,0.0,0,0,1,1,0.0,0,,0
"1.6 
1w 
Tait to Obanda, 1 wide 
the short ball banged down leg side",1.6,1w,1.0,"Tait to Obanda, 1 wide  .the short ball banged down leg side",Tait,Obanda,0.0,0,0,0,0,1.0,0,,1
"1.6 
1w 
Tait to Obanda, 1 wide 
Tait pitches short of a length but strays down leg side once again",1.6,1w,1.0,"Tait to Obanda, 1 wide  .Tait pitches short of a length but strays down leg side once again",Tait,Obanda,0.0,0,0,0,0,1.0,0,,1
"1.6 
6 
Tait to Obanda, SIX runs 
short and wide outside off stump, Obanda flashes and flashes hard, slashing the ball 
hard and flat over the third-man boundary. 
Ah he's also deprived me of the chance to say ""The double O's have scored 7."" 
end of over 29 runs  
KENYA: 12/0CRR: 6.00 • RRR: 6.52 
Alex Obanda6 (4b 1x6) 
Morris Ouma4 (8b) 
Shaun Tait 1-0-9-0 
Brett Lee 1-0-3-0",1.6,6,6.0,"Tait to Obanda, SIX runs  .short and wide outside off stump, Obanda flashes and flashes hard, slashing the ball  .hard and flat over the third-man boundary.",Tait,Obanda,6.0,0,1,1,1,6.0,0,,1
"2.1 
• 
Lee to Ouma, no run 
Lee bowls the yorker at 145 kph, it's on target but Ouma digs it out",2.1,0,0.0,"Lee to Ouma, no run  .Lee bowls the yorker at 145 kph, it's on target but Ouma digs it out",Lee,Ouma,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Lee to Ouma, no run 
full and straight again from Lee at searing pace, played towards square leg",2.2,0,0.0,"Lee to Ouma, no run  .full and straight again from Lee at searing pace, played towards square leg",Lee,Ouma,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Lee to Ouma, no run 
good length just outside off, defended from the crease on the leg side",2.3,0,0.0,"Lee to Ouma, no run  .good length just outside off, defended from the crease on the leg side",Lee,Ouma,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Lee to Ouma, no run 
Lee sends down a bouncer at 138 kph, forcing the batsman to duck",2.4,0,0.0,"Lee to Ouma, no run  .Lee sends down a bouncer at 138 kph, forcing the batsman to duck",Lee,Ouma,0.0,0,0,1,1,0.0,0,,0
"2.5 
W 
Lee to Ouma, OUT 
edged ... and taken! Lee follows the bouncer with a full ball that begins to swing away 
from the batsman from around off stump. Ouma chases after it with the drive and 
edges to Haddin who takes a simple catch. Excellent ball after that bouncer. Full and 
swinging at pace. 
Morris Ouma c †Haddin b Lee 4 (13b 0x4 0x6 14m) SR: 30.76 
Collins Obuya is the new batsman.",2.5,W,0.0,"Lee to Ouma, OUT  .edged ... and taken! Lee follows the bouncer with a full ball that begins to swing away  .from the batsman from around off stump. Ouma chases after it with the drive and  .edges to Haddin who takes a simple catch. Excellent ball after that bouncer. Full and  .swinging at pace.  .Morris Ouma c †Haddin b Lee 4 (13b 0x4 0x6 14m) SR: 30.76",Lee,Ouma,0.0,0,0,1,1,0.0,1,c †Haddin b Lee,0
"2.6 
• 
Lee to C Obuya, no run 
defends a good length delivery towards the bowler 
end of over 3Wicket maiden 
KENYA: 12/1CRR: 4.00 • RRR: 6.65 
Collins Obuya0 (1b) 
Alex Obanda6 (4b 1x6) 
Brett Lee 2-1-3-1 
Shaun Tait 1-0-9-0",2.6,0,0.0,"Lee to C Obuya, no run  .defends a good length delivery towards the bowler",Lee,C Obuya,0.0,0,0,1,1,0.0,0,,0
"3.1 
1w 
Tait to Obanda, 1 wide 
a full and fast ball down leg side again. Tait's radar is wonky today.",3.1,1w,1.0,"Tait to Obanda, 1 wide  .a full and fast ball down leg side again. Tait's radar is wonky today.",Tait,Obanda,0.0,0,0,0,0,1.0,0,,1
"3.1 
• 
Tait to Obanda, no run 
a short of a length ball angles into the batsman and hits him high on the pad and thigh 
at 148 kph",3.1,0,0.0,"Tait to Obanda, no run  .a short of a length ball angles into the batsman and hits him high on the pad and thigh  .at 148 kph",Tait,Obanda,0.0,0,0,1,1,0.0,0,,0
"3.2 
2 
Tait to Obanda, 2 runs 
that pull is pre-meditated but he's made good contact with the length ball and placed it 
through midwicket",3.2,2,2.0,"Tait to Obanda, 2 runs  .that pull is pre-meditated but he's made good contact with the length ball and placed it  .through midwicket",Tait,Obanda,2.0,0,0,1,1,2.0,0,,1
"3.3 
6 
Tait to Obanda, SIX runs 
that is a monstrous hit! Obanda take a bow, you've hit it on the roof! Well not really but it 
went miles. Tait bowled a length ball and Obanda launched it off the front foot several 
rows back over the long-on boundary. That was a slower ball.",3.3,6,6.0,"Tait to Obanda, SIX runs  .that is a monstrous hit! Obanda take a bow, you've hit it on the roof! Well not really but it  .went miles. Tait bowled a length ball and Obanda launched it off the front foot several  .rows back over the long-on boundary. That was a slower ball.",Tait,Obanda,6.0,0,1,1,1,6.0,0,,1
"3.4 
• 
Tait to Obanda, no run 
short ball outside off, looks to cut but gets beaten",3.4,0,0.0,"Tait to Obanda, no run  .short ball outside off, looks to cut but gets beaten",Tait,Obanda,0.0,0,0,1,1,0.0,0,,0
"3.5 
• 
Tait to Obanda, no run 
Tait responds with the bouncer and Obanda avoids it",3.5,0,0.0,"Tait to Obanda, no run  .Tait responds with the bouncer and Obanda avoids it",Tait,Obanda,0.0,0,0,1,1,0.0,0,,0
"3.6 
W 
Tait to Obanda, OUT 
bowled him! Tait bowls a fast full toss. That was there to be hit and Obanda wanted to 
send it over the leg-side boundary. He missed it though and the ball crashed into middle 
stump 
Alex Obanda b Tait 14 (10b 0x4 2x6 20m) SR: 140 
end of over 49 runs • 1 wicket 
KENYA: 21/2CRR: 5.25 • RRR: 6.60 
Collins Obuya0 (1b) 
Shaun Tait 2-0-18-1 
Brett Lee 2-1-3-1",3.6,W,0.0,"Tait to Obanda, OUT  .bowled him! Tait bowls a fast full toss. That was there to be hit and Obanda wanted to  .send it over the leg-side boundary. He missed it though and the ball crashed into middle  .stump  .Alex Obanda b Tait 14 (10b 0x4 2x6 20m) SR: 140",Tait,Obanda,0.0,0,0,1,1,0.0,1,b Tait,0
