raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Bhuvneshwar to B Sai Sudharsan, no run 
length ball that starts just outside off and shapes back in. Sudharsan, having taken a 
step down the track, pokes it towards the bowler",0.1,0,0.0,"Bhuvneshwar to B Sai Sudharsan, no run  .length ball that starts just outside off and shapes back in. Sudharsan, having taken a  .step down the track, pokes it towards the bowler",Bhuvneshwar,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
"0.2 
1lb 
Bhuvneshwar to B Sai Sudharsan, 1 leg bye 
shorter on leg stump. Sudharsan gets up on his toes and helps it down to fine leg. Given 
as leg byes, though",0.2,1lb,1.0,"Bhuvneshwar to B Sai Sudharsan, 1 leg bye  .shorter on leg stump. Sudharsan gets up on his toes and helps it down to fine leg. Given  .as leg byes, though",Bhuvneshwar,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
"0.3 
1 
Bhuvneshwar to Gill, 1 run 
back of a length just outside off. Gill accounts for the outward swing and drops it into 
the off side with soft hands 
Two slips now",0.3,1,1.0,"Bhuvneshwar to Gill, 1 run  .back of a length just outside off. Gill accounts for the outward swing and drops it into  .the off side with soft hands  .Two slips now",Bhuvneshwar,Gill,1.0,0,0,1,1,1.0,0,,1
"0.4 
• 
Bhuvneshwar to B Sai Sudharsan, no run 
what a ball! Length in the channel and this swerves back in devilishly. Sudharsan, 
looking to defend, is cut in half",0.4,0,0.0,"Bhuvneshwar to B Sai Sudharsan, no run  .what a ball! Length in the channel and this swerves back in devilishly. Sudharsan,  .looking to defend, is cut in half",Bhuvneshwar,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
"0.5 
2 
Bhuvneshwar to B Sai Sudharsan, 2 runs 
back of a length on the hips. Sudharsan tucks it away towards deep backward square 
leg and dashes back for two",0.5,2,2.0,"Bhuvneshwar to B Sai Sudharsan, 2 runs  .back of a length on the hips. Sudharsan tucks it away towards deep backward square  .leg and dashes back for two",Bhuvneshwar,B Sai Sudharsan,2.0,0,0,1,1,2.0,0,,1
"0.6 
1lb 
Bhuvneshwar to B Sai Sudharsan, 1 leg bye 
back of a length on leg stump. Sudharsan is a touch late on the flick and the ball trickles 
off the thigh pad behind square 
end of over 15 runs  
GT: 5/0CRR: 5.00 • RRR: 8.68 • Need 165 runs from 114b 
Sai Sudharsan2 (5b) 
Shubman Gill1 (1b) 
Bhuvneshwar Kumar 1-0-3-0 
Hazlewood from the other end. He will want to hit the lengths Prasidh and Siraj did 
during the first innings",0.6,1lb,1.0,"Bhuvneshwar to B Sai Sudharsan, 1 leg bye  .back of a length on leg stump. Sudharsan is a touch late on the flick and the ball trickles  .off the thigh pad behind square",Bhuvneshwar,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Hazlewood to B Sai Sudharsan, no run 
short outside off and this climbs through after pitching. Sudharsan has a huge swish at 
it and only grabs a handful of fresh air. David felt the ball grazed the bat but no real 
support from elsewhere",1.1,0,0.0,"Hazlewood to B Sai Sudharsan, no run  .short outside off and this climbs through after pitching. Sudharsan has a huge swish at  .it and only grabs a handful of fresh air. David felt the ball grazed the bat but no real  .support from elsewhere",Hazlewood,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Hazlewood to B Sai Sudharsan, no run 
hard length just outside off. Sudharsan gets up on his toes and stabs it towards mid 
wicket",1.2,0,0.0,"Hazlewood to B Sai Sudharsan, no run  .hard length just outside off. Sudharsan gets up on his toes and stabs it towards mid  .wicket",Hazlewood,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
"1.3 
1w 
Hazlewood to B Sai Sudharsan, 1 wide 
short and wide outside off again. Keeps a little low and squirms under Sudharsan's 
flailing blade. Called a wide, though",1.3,1w,1.0,"Hazlewood to B Sai Sudharsan, 1 wide  .short and wide outside off again. Keeps a little low and squirms under Sudharsan's  .flailing blade. Called a wide, though",Hazlewood,B Sai Sudharsan,0.0,0,0,0,0,1.0,0,,1
"1.3 
1 
Hazlewood to B Sai Sudharsan, 1 run 
shortish just outside off. Sudharsan tips it to mid on and hares across to the other end",1.3,1,1.0,"Hazlewood to B Sai Sudharsan, 1 run  .shortish just outside off. Sudharsan tips it to mid on and hares across to the other end",Hazlewood,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"1.4 
• 
Hazlewood to Gill, no run 
back of a length on middle and leg. Gill gets behind the line and taps it towards mid 
wicket",1.4,0,0.0,"Hazlewood to Gill, no run  .back of a length on middle and leg. Gill gets behind the line and taps it towards mid  .wicket",Hazlewood,Gill,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Hazlewood to Gill, no run 
back of a length outside off. Gill hangs back and stabs it towards mid off 
Both batters still coming to grips with the pace of this surface",1.5,0,0.0,"Hazlewood to Gill, no run  .back of a length outside off. Gill hangs back and stabs it towards mid off  .Both batters still coming to grips with the pace of this surface",Hazlewood,Gill,0.0,0,0,1,1,0.0,0,,0
"1.6 
4 
Hazlewood to Gill, FOUR runs 
up and over, and Gill lands his first blow! Goes searching a little and hangs it up full 
outside off. Gill goes after it and crashes it over point! 
end of over 26 runs  
GT: 11/0CRR: 5.50 • RRR: 8.83 • Need 159 runs from 108b 
Shubman Gill5 (4b 1x4) 
Sai Sudharsan3 (8b) 
Josh Hazlewood 1-0-6-0 
Bhuvneshwar Kumar 1-0-3-0 
Martin: ""Josh, may not be in limelight, but the player to watch. he indeed wins matches 
with his spell..."" 
Bhuvneshwar back for his second",1.6,4,4.0,"Hazlewood to Gill, FOUR runs  .up and over, and Gill lands his first blow! Goes searching a little and hangs it up full  .outside off. Gill goes after it and crashes it over point!",Hazlewood,Gill,4.0,1,0,1,1,4.0,0,,1
"2.1 
1 
Bhuvneshwar to B Sai Sudharsan, 1 run 
back of a length just outside off. Sudharsan plays it late and with an open bat face, 
dabbing it towards deep third",2.1,1,1.0,"Bhuvneshwar to B Sai Sudharsan, 1 run  .back of a length just outside off. Sudharsan plays it late and with an open bat face,  .dabbing it towards deep third",Bhuvneshwar,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"2.2 
1 
Bhuvneshwar to Gill, 1 run 
back of a length on middle and leg. Gill bunts it to mid on and hurtles across to the 
other end. Sharp running",2.2,1,1.0,"Bhuvneshwar to Gill, 1 run  .back of a length on middle and leg. Gill bunts it to mid on and hurtles across to the  .other end. Sharp running",Bhuvneshwar,Gill,1.0,0,0,1,1,1.0,0,,1
"2.3 
1 
Bhuvneshwar to B Sai Sudharsan, 1 run 
back of a length on middle and leg. Kicks up on Sudharsan and he glances it slightly 
uppishly towards fine leg",2.3,1,1.0,"Bhuvneshwar to B Sai Sudharsan, 1 run  .back of a length on middle and leg. Kicks up on Sudharsan and he glances it slightly  .uppishly towards fine leg",Bhuvneshwar,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
