raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1w 
Woakes to Barresi, 1 wide 
Wide on a length, 130ks, swings away sharply but started too wide. Easy leave for an 
extra",0.1,1w,1.0,"Woakes to Barresi, 1 wide  .Wide on a length, 130ks, swings away sharply but started too wide. Easy leave for an  .extra",Woakes,Barresi,0.0,0,0,0,0,1.0,0,,1
"0.1 
• 
Woakes to Barresi, no run 
Woakes fixes his line, starts more around fifth stump. Swing takes it away a bit too far 
to make Barresi play 
 
Chris Woakes in World Cup 2023 
INNS 
7 
WKTS 
8 
ECON 
5.92 
AVE 
31.62 
BEST 
4/54",0.1,0,0.0,"Woakes to Barresi, no run  .Woakes fixes his line, starts more around fifth stump. Swing takes it away a bit too far  .to make Barresi play  .  .Chris Woakes in World Cup 2023  .INNS  .7  .WKTS  .8  .ECON  .5.92  .AVE  .31.62  .BEST  .4/54",Woakes,Barresi,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Woakes to Barresi, no run 
Induces a poke this time. 136ks outswinger lands around fourth and shapes away, 
Barresi was tentative on the back foot, tried to push it towards cover before pulling the 
stick back",0.2,0,0.0,"Woakes to Barresi, no run  .Induces a poke this time. 136ks outswinger lands around fourth and shapes away,  .Barresi was tentative on the back foot, tried to push it towards cover before pulling the  .stick back",Woakes,Barresi,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Woakes to Barresi, no run 
Barresi considers playing but leaves the length ball outside off",0.3,0,0.0,"Woakes to Barresi, no run  .Barresi considers playing but leaves the length ball outside off",Woakes,Barresi,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Woakes to Barresi, no run 
Woakes interested in the caught-behind appeal, Buttler not as much. They have a chat, 
slip fielders join in. They go for the review in the last seconds. Was a wide ball around a 
good length, shaped away and Barresi went for a slashy square drive. Clear gap 
between bat and ball, England lose a review. Root was the fielder interested.",0.4,0,0.0,"Woakes to Barresi, no run  .Woakes interested in the caught-behind appeal, Buttler not as much. They have a chat,  .slip fielders join in. They go for the review in the last seconds. Was a wide ball around a  .good length, shaped away and Barresi went for a slashy square drive. Clear gap  .between bat and ball, England lose a review. Root was the fielder interested.",Woakes,Barresi,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Woakes to Barresi, 1 run 
Root goes with one hand and drops it! He went to the left and tried to pluck it, got it on 
the fleshy part of his hands and it popped off. Nasser Hussain reckons it might've been 
Buttler's catch but he left it for Root. Was an 136ks outswinger on that good length, 
shaped away and Barresi, who got squared up a bit and hung his bat for a defensive pat 
and got a thin-ish edge.",0.5,1,1.0,"Woakes to Barresi, 1 run  .Root goes with one hand and drops it! He went to the left and tried to pluck it, got it on  .the fleshy part of his hands and it popped off. Nasser Hussain reckons it might've been  .Buttler's catch but he left it for Root. Was an 136ks outswinger on that good length,  .shaped away and Barresi, who got squared up a bit and hung his bat for a defensive pat  .and got a thin-ish edge.",Woakes,Barresi,1.0,0,0,1,1,1.0,0,,1
"0.6 
• 
Woakes to O'Dowd, no run 
Length on middle, blocked in front 
Roushad Ellango: """,0.6,0,0.0,"Woakes to O'Dowd, no run  .Length on middle, blocked in front",Woakes,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Willey to Barresi, no run 
Back of length outside off, let go",1.1,0,0.0,"Willey to Barresi, no run  .Back of length outside off, let go",Willey,Barresi,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Willey to Barresi, no run 
Swing for Willey too. Comes back in from a good length, blocked right in front",1.2,0,0.0,"Willey to Barresi, no run  .Swing for Willey too. Comes back in from a good length, blocked right in front",Willey,Barresi,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Willey to Barresi, no run 
Length at the stumps, Barresi tries defending very close to the body, ends up having the 
ball slip along his pads off the edge and fall in front 
 
ENG in Powerplay overs (in World Cup 2023) 
INNS 
8 
WKTS 
12 
ECON 
5.81 
AVE 
34.66",1.3,0,0.0,"Willey to Barresi, no run  .Length at the stumps, Barresi tries defending very close to the body, ends up having the  .ball slip along his pads off the edge and fall in front  .  .ENG in Powerplay overs (in World Cup 2023)  .INNS  .8  .WKTS  .12  .ECON  .5.81  .AVE  .34.66",Willey,Barresi,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Willey to Barresi, no run 
Length outside off, let go",1.4,0,0.0,"Willey to Barresi, no run  .Length outside off, let go",Willey,Barresi,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Willey to Barresi, no run 
Overpitched on the pads clipped to midwicket",1.5,0,0.0,"Willey to Barresi, no run  .Overpitched on the pads clipped to midwicket",Willey,Barresi,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Willey to Barresi, no run 
Length outside off, let go 
end of over 2Maiden 
NED: 2/0CRR: 1.00 • RRR: 7.04 • Need 338 runs from 48 overs 
Wesley Barresi1 (11b) 
Max O'Dowd0 (1b) 
David Willey 1-1-0-0 
Chris Woakes 1-0-2-0",1.6,0,0.0,"Willey to Barresi, no run  .Length outside off, let go",Willey,Barresi,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Woakes to O'Dowd, no run 
Shapes away but that allows room. O'Dowd slaps it off a length to the right of backward 
point, who moves across and dives it",2.1,0,0.0,"Woakes to O'Dowd, no run  .Shapes away but that allows room. O'Dowd slaps it off a length to the right of backward  .point, who moves across and dives it",Woakes,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Woakes to O'Dowd, no run 
Punched off the top of the bounce to cover point. On a length just outside off,no swing 
there.",2.2,0,0.0,"Woakes to O'Dowd, no run  .Punched off the top of the bounce to cover point. On a length just outside off,no swing  .there.",Woakes,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Woakes to O'Dowd, no run 
Jaffa goes perilously close to the outside edge and top of off. Length ball snaked in to 
land towards middle and off before zagging away past O'Dowd full-faced defence. 
Looked like he tried to play the line there.",2.3,0,0.0,"Woakes to O'Dowd, no run  .Jaffa goes perilously close to the outside edge and top of off. Length ball snaked in to  .land towards middle and off before zagging away past O'Dowd full-faced defence.  .Looked like he tried to play the line there.",Woakes,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Woakes to O'Dowd, no run 
Cut in half this time. Wobble ball on a length cuts back sharply, O'Dowd wasn't ready for 
seam movement after all the swing, tried to play the line but it left a big gap between bat 
and pad, which the ball breached.",2.4,0,0.0,"Woakes to O'Dowd, no run  .Cut in half this time. Wobble ball on a length cuts back sharply, O'Dowd wasn't ready for  .seam movement after all the swing, tried to play the line but it left a big gap between bat  .and pad, which the ball breached.",Woakes,O'Dowd,0.0,0,0,1,1,0.0,0,,0
