raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Siraj to Gurbaz, no run 
Some swing first up for Siraj. Back of a length ball that pitches around the sixth stump 
and shapes away from Gurbaz who shoulders arms",0.1,0,0.0,"Siraj to Gurbaz, no run  .Some swing first up for Siraj. Back of a length ball that pitches around the sixth stump  .and shapes away from Gurbaz who shoulders arms",Siraj,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Siraj to Gurbaz, no run 
Nearly a wicket second ball. Short of a length ball outside off, he charges down the 
track looking to pull that away. Can only manage a thick inside-edge that goes perilously 
close to off stump",0.2,0,0.0,"Siraj to Gurbaz, no run  .Nearly a wicket second ball. Short of a length ball outside off, he charges down the  .track looking to pull that away. Can only manage a thick inside-edge that goes perilously  .close to off stump",Siraj,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"0.3 
1 
Siraj to Gurbaz, 1 run 
Good length ball just outside off and Gurbaz is off with a quick single to point 
Siraj stays over the wicket to Narine with a slip in place 
 
Sunil Narine vs Mohammed Siraj 
BALLS 
22 
RUNS 
22 
OUTS 
2 
SR 
100.00 
4s/6s 
2/1",0.3,1,1.0,"Siraj to Gurbaz, 1 run  .Good length ball just outside off and Gurbaz is off with a quick single to point  .Siraj stays over the wicket to Narine with a slip in place  .  .Sunil Narine vs Mohammed Siraj  .BALLS  .22  .RUNS  .22  .OUTS  .2  .SR  .100.00  .4s/6s  .2/1",Siraj,Gurbaz,1.0,0,0,1,1,1.0,0,,1
"0.4 
1lb 
Siraj to Narine, 1 leg bye 
Follows Narine who is camped outside leg stump and backs away as well. He wears it 
on the pad with the ball going towards square leg",0.4,1lb,1.0,"Siraj to Narine, 1 leg bye  .Follows Narine who is camped outside leg stump and backs away as well. He wears it  .on the pad with the ball going towards square leg",Siraj,Narine,0.0,0,0,1,1,0.0,0,,0
"0.5 
W 
Siraj to Gurbaz, OUT 
Oh, that's plumb, isn't it? Siraj is convinced and the umpire's finger is up in an instant. 
Will Gurbaz review? Yes, he does after a quick chat with Narine. Was a length ball that 
pitched on off and shaped back into Gurbaz catching him in front of middle. Gurbaz 
looks to pick this to the on-side, misses and is trapped in front. No bat says the third 
umpire, and the tracker confirms the ball would crash into leg stump. Gurbaz goes and 
takes a review with him 
Rahmanullah Gurbaz lbw b Mohammed Siraj 1 (4b 0x4 0x6 4m) SR: 25 
See all photos 
Rahane in at No. 3. Siraj on a high after that early wicket. He is over the wicket with a 
slip",0.5,W,0.0,"Siraj to Gurbaz, OUT  .Oh, that's plumb, isn't it? Siraj is convinced and the umpire's finger is up in an instant.  .Will Gurbaz review? Yes, he does after a quick chat with Narine. Was a length ball that  .pitched on off and shaped back into Gurbaz catching him in front of middle. Gurbaz  .looks to pick this to the on-side, misses and is trapped in front. No bat says the third  .umpire, and the tracker confirms the ball would crash into leg stump. Gurbaz goes and  .takes a review with him  .Rahmanullah Gurbaz lbw b Mohammed Siraj 1 (4b 0x4 0x6 4m) SR: 25",Siraj,Gurbaz,0.0,0,0,1,1,0.0,1,lbw b Mohammed Siraj,0
"0.6 
• 
Siraj to Rahane, no run 
Good length ball outside off with a hint of nibble away from Rahane outside off. He 
shoulders arms 
end of over 12 runs • 1 wicket 
KKR: 2/1CRR: 2.00 • RRR: 10.36 • Need 197 runs from 114b 
Ajinkya Rahane0 (1b) 
Sunil Narine0 (1b) 
Mohammed Siraj 1-0-1-1 
Ishant Sharma will share the new ball. Around the wicket with a slip in place 
 
Sunil Narine vs Ishant Sharma 
BALLS 
17 
RUNS 
33 
OUTS 
1 
SR 
194.11 
4s/6s 
3/3",0.6,0,0.0,"Siraj to Rahane, no run  .Good length ball outside off with a hint of nibble away from Rahane outside off. He  .shoulders arms",Siraj,Rahane,0.0,0,0,1,1,0.0,0,,0
"1.1 
4 
Ishant Sharma to Narine, FOUR runs 
In the arc for Narine and away the ball goes. Ambling in on a length on middle stump, 
Narine clears his front leg and lifts him over mid-on",1.1,4,4.0,"Ishant Sharma to Narine, FOUR runs  .In the arc for Narine and away the ball goes. Ambling in on a length on middle stump,  .Narine clears his front leg and lifts him over mid-on",Ishant Sharma,Narine,4.0,1,0,1,1,4.0,0,,1
"1.2 
1 
Ishant Sharma to Narine, 1 run 
Back of a length ball on leg stump, he backs away again and pulls to deep backward 
square leg 
Over the wicket , a slip is around",1.2,1,1.0,"Ishant Sharma to Narine, 1 run  .Back of a length ball on leg stump, he backs away again and pulls to deep backward  .square leg  .Over the wicket , a slip is around",Ishant Sharma,Narine,1.0,0,0,1,1,1.0,0,,1
"1.3 
1 
Ishant Sharma to Rahane, 1 run 
Hint of movement for Ishant back into Rahane who defends towards slip",1.3,1,1.0,"Ishant Sharma to Rahane, 1 run  .Hint of movement for Ishant back into Rahane who defends towards slip",Ishant Sharma,Rahane,1.0,0,0,1,1,1.0,0,,1
"1.4 
1lb 
Ishant Sharma to Narine, 1 leg bye 
Angles the length ball into Narine following him and cramping him for room. That 
seems to be the plan from both bowlers. Narine looks to swing this away, misses and is 
hit on the pad 
 
Ajinkya Rahane vs Ishant Sharma 
BALLS 
58 
RUNS 
65 
OUTS 
2 
SR 
112.06 
4s/6s 
8/1",1.4,1lb,1.0,"Ishant Sharma to Narine, 1 leg bye  .Angles the length ball into Narine following him and cramping him for room. That  .seems to be the plan from both bowlers. Narine looks to swing this away, misses and is  .hit on the pad  .  .Ajinkya Rahane vs Ishant Sharma  .BALLS  .58  .RUNS  .65  .OUTS  .2  .SR  .112.06  .4s/6s  .8/1",Ishant Sharma,Narine,0.0,0,0,1,1,0.0,0,,0
