raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Wood to MW Short, no run 
full and fast, shaping in at 147.6kph, and nipping away. Pushed uncertainly out to point",0.1,0,0.0,"Wood to MW Short, no run  .full and fast, shaping in at 147.6kph, and nipping away. Pushed uncertainly out to point",Wood,MW Short,0.0,0,0,1,1,0.0,0,,0
"0.2 
4 
Wood to MW Short, FOUR runs 
off-line from Wood, too full into the pads, up to 152kph already, but it will travel if you 
get anything on it! Through fine leg",0.2,4,4.0,"Wood to MW Short, FOUR runs  .off-line from Wood, too full into the pads, up to 152kph already, but it will travel if you  .get anything on it! Through fine leg",Wood,MW Short,4.0,1,0,1,1,4.0,0,,1
"0.3 
• 
Wood to MW Short, no run 
that's his spot, shaping in at 151.7kph, line and length, and thumping the middle of a 
rock-solid defensive push",0.3,0,0.0,"Wood to MW Short, no run  .that's his spot, shaping in at 151.7kph, line and length, and thumping the middle of a  .rock-solid defensive push",Wood,MW Short,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Wood to MW Short, no run 
fires in the yorker, 151.5kph, dug out on off stump. This is enthralling already",0.4,0,0.0,"Wood to MW Short, no run  .fires in the yorker, 151.5kph, dug out on off stump. This is enthralling already",Wood,MW Short,0.0,0,0,1,1,0.0,0,,0
"0.5 
4 
Wood to MW Short, FOUR runs 
picked up off the toes! Wood strays too straight once more, in Short's arc, and it's the 
merest of pick-ups off the toes. Timed to perfection through backward square! 152kph 
all the same",0.5,4,4.0,"Wood to MW Short, FOUR runs  .picked up off the toes! Wood strays too straight once more, in Short's arc, and it's the  .merest of pick-ups off the toes. Timed to perfection through backward square! 152kph  .all the same",Wood,MW Short,4.0,1,0,1,1,4.0,0,,1
"0.6 
• 
Wood to MW Short, no run 
back in the channel outside off, a swing and a miss as the ball rises from fractionally 
back of a length, at 152.5kph. Wheels 
Good cut and thrust in that over, but Australia are ahead of their rate so far... 
end of over 18 runs  
AUS: 8/0CRR: 8.00 • RRR: 7.02 • Need 344 runs from 49 overs 
Matthew Short8 (6b 2x4) 
Travis Head0 (0b) 
Mark Wood 1-0-8-0 
Jofra Archer, for more raucous pace from the outset...",0.6,0,0.0,"Wood to MW Short, no run  .back in the channel outside off, a swing and a miss as the ball rises from fractionally  .back of a length, at 152.5kph. Wheels  .Good cut and thrust in that over, but Australia are ahead of their rate so far...",Wood,MW Short,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Archer to Head, 1 run 
round the wicket, a not-insignificant 147kph to open Archer's evening, very full and 
fenced away through backward point with a fat edge on the defensive push 
Arunabh : ""love watching Mark Wood. he is a proper Akhtar, Lee territory speed demon. "" 
The slip goes, leg-side field",1.1,1,1.0,"Archer to Head, 1 run  .round the wicket, a not-insignificant 147kph to open Archer's evening, very full and  .fenced away through backward point with a fat edge on the defensive push",Archer,Head,1.0,0,0,1,1,1.0,0,,1
"1.2 
1lb 
Archer to MW Short, 1 leg bye 
aiming straight, thuds the pad, deflects out to square leg for the extra",1.2,1lb,1.0,"Archer to MW Short, 1 leg bye  .aiming straight, thuds the pad, deflects out to square leg for the extra",Archer,MW Short,0.0,0,0,1,1,0.0,0,,0
"1.3 
4 
Archer to Head, FOUR runs 
short and wide, that's a really poor ball to the dangerous Head, who climbs up on his 
toes and helps himself to a thumped cut in front of square",1.3,4,4.0,"Archer to Head, FOUR runs  .short and wide, that's a really poor ball to the dangerous Head, who climbs up on his  .toes and helps himself to a thumped cut in front of square",Archer,Head,4.0,1,0,1,1,4.0,0,,1
"1.4 
1 
Archer to Head, 1 run 
better line and length from round the wicket, 130kph, deflected wide of the slips, and 
down to deep third",1.4,1,1.0,"Archer to Head, 1 run  .better line and length from round the wicket, 130kph, deflected wide of the slips, and  .down to deep third",Archer,Head,1.0,0,0,1,1,1.0,0,,1
