raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
4 
Rankin to Sehwag, FOUR runs 
Sehwag has got a boundary off the first time for the third match in a row, it was a back 
of a length ball outside off, not much wrong with that, tell Sehwag that, he just stands 
tall and punches it through cover",0.1,4,4.0,"Rankin to Sehwag, FOUR runs  .Sehwag has got a boundary off the first time for the third match in a row, it was a back  .of a length ball outside off, not much wrong with that, tell Sehwag that, he just stands  .tall and punches it through cover",Rankin,Sehwag,4.0,1,0,1,1,4.0,0,,1
"0.2 
1 
Rankin to Sehwag, 1 run 
on the pads this time, whipped down to fine leg for a single which brings the crowd 
favourite on strike",0.2,1,1.0,"Rankin to Sehwag, 1 run  .on the pads this time, whipped down to fine leg for a single which brings the crowd  .favourite on strike",Rankin,Sehwag,1.0,0,0,1,1,1.0,0,,1
"0.3 
4 
Rankin to Tendulkar, FOUR runs 
Sachin too gets away with a boundary, it was overpitched on the pads, minimal effort 
from Sachin as he tucks it to the square leg boundary",0.3,4,4.0,"Rankin to Tendulkar, FOUR runs  .Sachin too gets away with a boundary, it was overpitched on the pads, minimal effort  .from Sachin as he tucks it to the square leg boundary",Rankin,Tendulkar,4.0,1,0,1,1,4.0,0,,1
"0.4 
• 
Rankin to Tendulkar, no run 
slightly shorter, and on the same line, Tendulkar looks to nudge this to square leg as 
well, he doesn't connect, that was going down leg",0.4,0,0.0,"Rankin to Tendulkar, no run  .slightly shorter, and on the same line, Tendulkar looks to nudge this to square leg as  .well, he doesn't connect, that was going down leg",Rankin,Tendulkar,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Rankin to Tendulkar, no run 
crowd expecting a boundary every ball, hard to hit this one though, short of length and 
on offstump, blocked by Tendulkar",0.5,0,0.0,"Rankin to Tendulkar, no run  .crowd expecting a boundary every ball, hard to hit this one though, short of length and  .on offstump, blocked by Tendulkar",Rankin,Tendulkar,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Rankin to Tendulkar, no run 
another good delivery to end the over, on offstump, slightly shorter than the previous 
one, defended off the back foot 
end of over 19 runs  
IND: 9/0CRR: 9.00 • RRR: 4.06 
Sachin Tendulkar4 (4b 1x4) 
Virender Sehwag5 (2b 1x4) 
Boyd Rankin 1-0-9-0 
Trent Johnston to share the new ball",0.6,0,0.0,"Rankin to Tendulkar, no run  .another good delivery to end the over, on offstump, slightly shorter than the previous  .one, defended off the back foot",Rankin,Tendulkar,0.0,0,0,1,1,0.0,0,,0
"1.1 
W 
Johnston to Sehwag, OUT 
the famous chicken dance come out as Virender Sehwag gets a leading edge back to 
the bowler, he was looking to play it to the leg side, it pops back to Johnston who 
collects and sets off on a celebratory dance 
Virender Sehwag c & b Johnston 5 (3b 1x4 0x6 5m) SR: 166.66",1.1,W,0.0,"Johnston to Sehwag, OUT  .the famous chicken dance come out as Virender Sehwag gets a leading edge back to  .the bowler, he was looking to play it to the leg side, it pops back to Johnston who  .collects and sets off on a celebratory dance  .Virender Sehwag c & b Johnston 5 (3b 1x4 0x6 5m) SR: 166.66",Johnston,Sehwag,0.0,0,0,1,1,0.0,1,c & b Johnston,0
"1.2 
• 
Johnston to Gambhir, no run 
good first delivery to Gambhir, just short of length and outside off, blocked to the off 
side",1.2,0,0.0,"Johnston to Gambhir, no run  .good first delivery to Gambhir, just short of length and outside off, blocked to the off  .side",Johnston,Gambhir,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Johnston to Gambhir, no run 
just outside off, angling across the batsman who shoulders arms",1.3,0,0.0,"Johnston to Gambhir, no run  .just outside off, angling across the batsman who shoulders arms",Johnston,Gambhir,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Johnston to Gambhir, no run 
well outside off. left alone by Gambhir again",1.4,0,0.0,"Johnston to Gambhir, no run  .well outside off. left alone by Gambhir again",Johnston,Gambhir,0.0,0,0,1,1,0.0,0,,0
