raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
4 
Akash Singh to B Sai Sudharsan, FOUR runs 
it swings, Sai Su drives away from the body and he gets four first ball! Swings away 
from length outside off and he takes the aerial route as well, but pings it over the covers 
to start things off in style",0.1,4,4.0,"Akash Singh to B Sai Sudharsan, FOUR runs  .it swings, Sai Su drives away from the body and he gets four first ball! Swings away  .from length outside off and he takes the aerial route as well, but pings it over the covers  .to start things off in style",Akash Singh,B Sai Sudharsan,4.0,1,0,1,1,4.0,0,,1
"0.2 
1 
Akash Singh to B Sai Sudharsan, 1 run 
another drive off the meat of the bat, this time in the covers for one",0.2,1,1.0,"Akash Singh to B Sai Sudharsan, 1 run  .another drive off the meat of the bat, this time in the covers for one",Akash Singh,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"0.3 
1 
Akash Singh to Gill, 1 run 
much tighter with the length ball for Gill, he uses soft hands to push it down to mid off 
for a quick one. Off the mark as well",0.3,1,1.0,"Akash Singh to Gill, 1 run  .much tighter with the length ball for Gill, he uses soft hands to push it down to mid off  .for a quick one. Off the mark as well",Akash Singh,Gill,1.0,0,0,1,1,1.0,0,,1
"0.4 
• 
Akash Singh to B Sai Sudharsan, no run 
swing again to Sai Sudharsan as Akash pitches it shorter this time, the batter looks to 
cut and only gets an inside edge into the pitch",0.4,0,0.0,"Akash Singh to B Sai Sudharsan, no run  .swing again to Sai Sudharsan as Akash pitches it shorter this time, the batter looks to  .cut and only gets an inside edge into the pitch",Akash Singh,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
"0.5 
4 
Akash Singh to B Sai Sudharsan, FOUR runs 
not a poor delivery, except the length perhaps, but this is towards off stump and Sai 
Sudharsan clips it off the pads with a tiny shuffle, behind square on the leg side for four",0.5,4,4.0,"Akash Singh to B Sai Sudharsan, FOUR runs  .not a poor delivery, except the length perhaps, but this is towards off stump and Sai  .Sudharsan clips it off the pads with a tiny shuffle, behind square on the leg side for four",Akash Singh,B Sai Sudharsan,4.0,1,0,1,1,4.0,0,,1
"0.6 
1 
Akash Singh to B Sai Sudharsan, 1 run 
straight again, similar length, and flicks it to leg again 
end of over 111 runs  
GT: 11/0CRR: 11.00 • RRR: 11.84 • Need 225 runs from 114b 
Sai Sudharsan10 (5b 2x4) 
Shubman Gill1 (1b) 
Akash Singh 1-0-11-0 
Akash from the other end too. This one's Deep",0.6,1,1.0,"Akash Singh to B Sai Sudharsan, 1 run  .straight again, similar length, and flicks it to leg again",Akash Singh,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"1.1 
• 
Akash Deep to B Sai Sudharsan, no run 
loud appeal first ball from him for lbw! It goes on and on but that surely pitched outside 
leg, and the replay confirms that. Pant knew that too and didn't review. It also hit him 
outside leg",1.1,0,0.0,"Akash Deep to B Sai Sudharsan, no run  .loud appeal first ball from him for lbw! It goes on and on but that surely pitched outside  .leg, and the replay confirms that. Pant knew that too and didn't review. It also hit him  .outside leg",Akash Deep,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
"1.2 
4 
Akash Deep to B Sai Sudharsan, FOUR runs 
lovely use of the straight bat, four down the ground! Some swing from Akash into the 
batter, but he has adjusted just in time and so well, the he manages to drive it straight 
back despite the swing and hits it absolutely straight",1.2,4,4.0,"Akash Deep to B Sai Sudharsan, FOUR runs  .lovely use of the straight bat, four down the ground! Some swing from Akash into the  .batter, but he has adjusted just in time and so well, the he manages to drive it straight  .back despite the swing and hits it absolutely straight",Akash Deep,B Sai Sudharsan,4.0,1,0,1,1,4.0,0,,1
"1.3 
1 
Akash Deep to B Sai Sudharsan, 1 run 
shorter and into the pads again, clipped to leg for one more",1.3,1,1.0,"Akash Deep to B Sai Sudharsan, 1 run  .shorter and into the pads again, clipped to leg for one more",Akash Deep,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"1.4 
1w 
Akash Deep to Gill, 1 wide 
his first ball to Gill and it goes down leg, past his pads for a wide",1.4,1w,1.0,"Akash Deep to Gill, 1 wide  .his first ball to Gill and it goes down leg, past his pads for a wide",Akash Deep,Gill,0.0,0,0,0,0,1.0,0,,1
"1.4 
1 
Akash Deep to Gill, 1 run 
nice and tight outside off, maybe hint of room and Gill pushes it late and wide of 
backward point for one",1.4,1,1.0,"Akash Deep to Gill, 1 run  .nice and tight outside off, maybe hint of room and Gill pushes it late and wide of  .backward point for one",Akash Deep,Gill,1.0,0,0,1,1,1.0,0,,1
