raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1 
Goudie to Kruger, 1 run 
single to third man",0.1,1,1.0,"Goudie to Kruger, 1 run  .single to third man",Goudie,Kruger,1.0,0,0,1,1,1.0,0,,1
"0.2 
• 
Goudie to Barresi, no run 
defends back to the bowler",0.2,0,0.0,"Goudie to Barresi, no run  .defends back to the bowler",Goudie,Barresi,0.0,0,0,1,1,0.0,0,,0
"0.3 
4 
Goudie to Barresi, FOUR runs 
a touch short, lovely flowing cut shot between cover and point races away across the 
outfield",0.3,4,4.0,"Goudie to Barresi, FOUR runs  .a touch short, lovely flowing cut shot between cover and point races away across the  .outfield",Goudie,Barresi,4.0,1,0,1,1,4.0,0,,1
"0.4 
1 
Goudie to Barresi, 1 run 
inside edge runs away to fine leg",0.4,1,1.0,"Goudie to Barresi, 1 run  .inside edge runs away to fine leg",Goudie,Barresi,1.0,0,0,1,1,1.0,0,,1
"0.5 
1w 
Goudie to Kruger, 1 wide 
down the leg-side",0.5,1w,1.0,"Goudie to Kruger, 1 wide  .down the leg-side",Goudie,Kruger,0.0,0,0,0,0,1.0,0,,1
"0.5 
1lb 
Goudie to Kruger, 1 leg bye",0.5,1lb,1.0,"Goudie to Kruger, 1 leg bye",Goudie,Kruger,0.0,0,0,1,1,0.0,0,,0
"0.6 
2 
Goudie to Barresi, 2 runs 
end of over 110 runs  
NED: 10/0CRR: 10.00 • RRR: 5.02 
Wesley Barresi7 (4b 1x4) 
Neil Kruger1 (2b) 
Gordon Goudie 1-0-9-0",0.6,2,2.0,"Goudie to Barresi, 2 runs",Goudie,Barresi,2.0,0,0,1,1,2.0,0,,1
"1.1 
• 
Drummond to Kruger, no run",1.1,0,0.0,"Drummond to Kruger, no run",Drummond,Kruger,0.0,0,0,1,1,0.0,0,,0
"1.2 
2 
Drummond to Kruger, 2 runs",1.2,2,2.0,"Drummond to Kruger, 2 runs",Drummond,Kruger,2.0,0,0,1,1,2.0,0,,1
"1.3 
• 
Drummond to Kruger, no run",1.3,0,0.0,"Drummond to Kruger, no run",Drummond,Kruger,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Drummond to Kruger, no run",1.4,0,0.0,"Drummond to Kruger, no run",Drummond,Kruger,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Drummond to Kruger, no run",1.5,0,0.0,"Drummond to Kruger, no run",Drummond,Kruger,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Drummond to Kruger, no run 
end of over 22 runs  
NED: 12/0CRR: 6.00 • RRR: 5.08 
Neil Kruger3 (8b) 
Wesley Barresi7 (4b 1x4) 
Gordon Drummond 1-0-2-0 
Gordon Goudie 1-0-9-0",1.6,0,0.0,"Drummond to Kruger, no run",Drummond,Kruger,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Goudie to Barresi, no run",2.1,0,0.0,"Goudie to Barresi, no run",Goudie,Barresi,0.0,0,0,1,1,0.0,0,,0
"2.2 
1nb 
Goudie to Barresi, (no ball) 
the bowler slips and bowls one at head height, Barresi does well to get out the way",2.2,1nb,1.0,"Goudie to Barresi, (no ball)  .the bowler slips and bowls one at head height, Barresi does well to get out the way",Goudie,Barresi,0.0,0,0,1,0,1.0,0,,1
"2.2 
• 
Goudie to Barresi, no run",2.2,0,0.0,"Goudie to Barresi, no run",Goudie,Barresi,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Goudie to Barresi, no run",2.3,0,0.0,"Goudie to Barresi, no run",Goudie,Barresi,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Goudie to Barresi, no run",2.4,0,0.0,"Goudie to Barresi, no run",Goudie,Barresi,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Goudie to Barresi, no run",2.5,0,0.0,"Goudie to Barresi, no run",Goudie,Barresi,0.0,0,0,1,1,0.0,0,,0
"2.6 
1 
Goudie to Barresi, 1 run 
flicked through square leg 
end of over 32 runs  
NED: 14/0CRR: 4.66 • RRR: 5.14 
Wesley Barresi8 (11b 1x4) 
Neil Kruger3 (8b) 
Gordon Goudie 2-0-11-0 
Gordon Drummond 1-0-2-0",2.6,1,1.0,"Goudie to Barresi, 1 run  .flicked through square leg",Goudie,Barresi,1.0,0,0,1,1,1.0,0,,1
"3.1 
• 
Drummond to Barresi, no run 
blocked to cover",3.1,0,0.0,"Drummond to Barresi, no run  .blocked to cover",Drummond,Barresi,0.0,0,0,1,1,0.0,0,,0
"3.2 
1w 
Drummond to Barresi, 1 wide 
down the leg-side",3.2,1w,1.0,"Drummond to Barresi, 1 wide  .down the leg-side",Drummond,Barresi,0.0,0,0,0,0,1.0,0,,1
"3.2 
4 
Drummond to Barresi, FOUR runs 
inside edge runs away for four to fine leg",3.2,4,4.0,"Drummond to Barresi, FOUR runs  .inside edge runs away for four to fine leg",Drummond,Barresi,4.0,1,0,1,1,4.0,0,,1
"3.3 
• 
Drummond to Barresi, no run 
blocked to cover",3.3,0,0.0,"Drummond to Barresi, no run  .blocked to cover",Drummond,Barresi,0.0,0,0,1,1,0.0,0,,0
"3.4 
W 
Drummond to Barresi, OUT 
gone this time, a thin outside edge and Maiden gathers the ball behind the stumps 
Wesley Barresi c †Maiden b Drummond 7 (15b 1x4 0x6 16m) SR: 46.66",3.4,W,0.0,"Drummond to Barresi, OUT  .gone this time, a thin outside edge and Maiden gathers the ball behind the stumps  .Wesley Barresi c †Maiden b Drummond 7 (15b 1x4 0x6 16m) SR: 46.66",Drummond,Barresi,0.0,0,0,1,1,0.0,1,c †Maiden b Drummond,0
"3.5 
• 
Drummond to Kervezee, no run 
defends back to the bowler",3.5,0,0.0,"Drummond to Kervezee, no run  .defends back to the bowler",Drummond,Kervezee,0.0,0,0,1,1,0.0,0,,0
"3.6 
• 
Drummond to Kervezee, no run 
blocked back to the bowler 
end of over 45 runs • 1 wicket 
NED: 19/1CRR: 4.75 • RRR: 5.15 
Alexei Kervezee0 (2b) 
Neil Kruger3 (8b) 
Gordon Drummond 2-0-7-1 
Gordon Goudie 2-0-11-0",3.6,0,0.0,"Drummond to Kervezee, no run  .blocked back to the bowler",Drummond,Kervezee,0.0,0,0,1,1,0.0,0,,0
"4.1 
4 
Goudie to Kruger, FOUR runs 
straight drive back past the bowler, splits the fielders for four",4.1,4,4.0,"Goudie to Kruger, FOUR runs  .straight drive back past the bowler, splits the fielders for four",Goudie,Kruger,4.0,1,0,1,1,4.0,0,,1
"4.2 
• 
Goudie to Kruger, no run 
blocked to midwicket",4.2,0,0.0,"Goudie to Kruger, no run  .blocked to midwicket",Goudie,Kruger,0.0,0,0,1,1,0.0,0,,0
"4.3 
• 
Goudie to Kruger, no run 
blocked to cover on the back foot",4.3,0,0.0,"Goudie to Kruger, no run  .blocked to cover on the back foot",Goudie,Kruger,0.0,0,0,1,1,0.0,0,,0
