raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Arshdeep to Salt, no run 
Late inswing. Full ball in at middle and leg, whipped to mid-on",0.1,0,0.0,"Arshdeep to Salt, no run  .Late inswing. Full ball in at middle and leg, whipped to mid-on",Arshdeep,Salt,0.0,0,0,1,1,0.0,0,,0
"0.2 
1 
Arshdeep to Salt, 1 run 
Fullish on fifth, angling away, square driven to deep point. 132ks",0.2,1,1.0,"Arshdeep to Salt, 1 run  .Fullish on fifth, angling away, square driven to deep point. 132ks",Arshdeep,Salt,1.0,0,0,1,1,1.0,0,,1
"0.3 
4 
Arshdeep to Kohli, FOUR runs 
Pulled from in front of the face. 125ks bumper, landed short, direction was good but the 
pace not so. Kohli had ample time to swivel and pump it through midwicket",0.3,4,4.0,"Arshdeep to Kohli, FOUR runs  .Pulled from in front of the face. 125ks bumper, landed short, direction was good but the  .pace not so. Kohli had ample time to swivel and pump it through midwicket",Arshdeep,Kohli,4.0,1,0,1,1,4.0,0,,1
"0.4 
• 
Arshdeep to Kohli, no run 
Fullish on off, 135ks, pushed softly towards cover 
 
Virat Kohli vs Arshdeep Singh 
BALLS 
46 
RUNS 
84 
OUTS 
2 
SR 
182.60 
4s/6s 
14/1",0.4,0,0.0,"Arshdeep to Kohli, no run  .Fullish on off, 135ks, pushed softly towards cover  .  .Virat Kohli vs Arshdeep Singh  .BALLS  .46  .RUNS  .84  .OUTS  .2  .SR  .182.60  .4s/6s  .14/1",Arshdeep,Kohli,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Arshdeep to Kohli, 1 run 
Quick single to mid-on's right, Arshdeep reached out with his left hand in follow-through, 
when he didn't touch the ball Kohli charged. Was a length ball on fifth, attempted cut 
was spliced into the pitch",0.5,1,1.0,"Arshdeep to Kohli, 1 run  .Quick single to mid-on's right, Arshdeep reached out with his left hand in follow-through,  .when he didn't touch the ball Kohli charged. Was a length ball on fifth, attempted cut  .was spliced into the pitch",Arshdeep,Kohli,1.0,0,0,1,1,1.0,0,,1
"0.6 
W 
Arshdeep to Salt, OUT 
Arshdeep celebrappeals, Salt doesn't move but will walk after the ump raises his 
finger. Ball similar to the one Kohli pulled for four earlier. This was 123ks, landed very 
short and angled away through off, Salt was beside the line and looked to pull it square, 
his eyes were pointed towards midwicket as he swung - very much off the ball. The ball 
grazed the edge and skimmed above his shoulder. 
Phil Salt c †Inglis b Arshdeep Singh 1 (3b 0x4 0x6 4m) SR: 33.33 
See all photos 
Padikkal, at the No. 3, is the Impact player 
end of over 16 runs • 1 wicket 
RCB: 6/1CRR: 6.00 • RRR: 8.00 • Need 152 runs from 114b 
Virat Kohli5 (3b 1x4) 
Arshdeep Singh 1-0-6-1 
Slip in for Bartlett",0.6,W,0.0,"Arshdeep to Salt, OUT  .Arshdeep celebrappeals, Salt doesn't move but will walk after the ump raises his  .finger. Ball similar to the one Kohli pulled for four earlier. This was 123ks, landed very  .short and angled away through off, Salt was beside the line and looked to pull it square,  .his eyes were pointed towards midwicket as he swung - very much off the ball. The ball  .grazed the edge and skimmed above his shoulder.  .Phil Salt c †Inglis b Arshdeep Singh 1 (3b 0x4 0x6 4m) SR: 33.33",Arshdeep,Salt,0.0,0,0,1,1,0.0,1,c †Inglis b Arshdeep Singh,0
"1.1 
4 
Bartlett to Kohli, FOUR runs 
Overpitched and that's punched straight of mid-off. Perfect timing. Off-stump line, Kohli 
was a touch across the line but right behind it and showed the full face",1.1,4,4.0,"Bartlett to Kohli, FOUR runs  .Overpitched and that's punched straight of mid-off. Perfect timing. Off-stump line, Kohli  .was a touch across the line but right behind it and showed the full face",Bartlett,Kohli,4.0,1,0,1,1,4.0,0,,1
"1.2 
• 
Bartlett to Kohli, no run 
Length at the pads, beaten on the flick",1.2,0,0.0,"Bartlett to Kohli, no run  .Length at the pads, beaten on the flick",Bartlett,Kohli,0.0,0,0,1,1,0.0,0,,0
"1.3 
2 
Bartlett to Kohli, 2 runs 
Fullish on leg, flicked to deep square leg's left. 137ks",1.3,2,2.0,"Bartlett to Kohli, 2 runs  .Fullish on leg, flicked to deep square leg's left. 137ks",Bartlett,Kohli,2.0,0,0,1,1,2.0,0,,1
"1.4 
• 
Bartlett to Kohli, no run 
Length just outside off, defensive push towards point",1.4,0,0.0,"Bartlett to Kohli, no run  .Length just outside off, defensive push towards point",Bartlett,Kohli,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Bartlett to Kohli, no run 
Shortish just outside off, ball's slow off the pitch, Kohli waits and punches it off the back 
foot to cover",1.5,0,0.0,"Bartlett to Kohli, no run  .Shortish just outside off, ball's slow off the pitch, Kohli waits and punches it off the back  .foot to cover",Bartlett,Kohli,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Bartlett to Kohli, no run 
Big lbw appeal, is that going down? Not given, Bartlett is confident. PBKS go for it. 
Wonder if Bartlett thought Kohli went across, the first replay shows that middle and off 
stump were visible as the fullish ball beat the flick and hit the front pad. Bartlett collects 
his cap and sighs before hawk-eye shows that it'd go down leg 
end of over 26 runs  
RCB: 12/1CRR: 6.00 • RRR: 8.11 • Need 146 runs from 108b 
Virat Kohli11 (9b 2x4) 
Devdutt Padikkal0 (0b) 
Xavier Bartlett 1-0-6-0 
Arshdeep Singh 1-0-6-1",1.6,0,0.0,"Bartlett to Kohli, no run  .Big lbw appeal, is that going down? Not given, Bartlett is confident. PBKS go for it.  .Wonder if Bartlett thought Kohli went across, the first replay shows that middle and off  .stump were visible as the fullish ball beat the flick and hit the front pad. Bartlett collects  .his cap and sighs before hawk-eye shows that it'd go down leg",Bartlett,Kohli,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Arshdeep to Padikkal, no run 
Beaten on the upper cut. Short ball just outside off, Padikkal's bat was mostly vertical 
from the spin-on vision",2.1,0,0.0,"Arshdeep to Padikkal, no run  .Beaten on the upper cut. Short ball just outside off, Padikkal's bat was mostly vertical  .from the spin-on vision",Arshdeep,Padikkal,0.0,0,0,1,1,0.0,0,,0
"2.2 
4 
Arshdeep to Padikkal, FOUR runs 
Padikkal connects with the upper cut this time. He didn't just steer it, had to flick his 
wrist and raise the bumper over the keeper. Was a short ball around off that was slow 
off the pitch 
See all photos",2.2,4,4.0,"Arshdeep to Padikkal, FOUR runs  .Padikkal connects with the upper cut this time. He didn't just steer it, had to flick his  .wrist and raise the bumper over the keeper. Was a short ball around off that was slow  .off the pitch  .See all photos",Arshdeep,Padikkal,4.0,1,0,1,1,4.0,0,,1
"2.3 
• 
Arshdeep to Padikkal, no run 
Yorker on off, jammed to cover",2.3,0,0.0,"Arshdeep to Padikkal, no run  .Yorker on off, jammed to cover",Arshdeep,Padikkal,0.0,0,0,1,1,0.0,0,,0
"2.4 
1 
Arshdeep to Padikkal, 1 run 
Length around middle, goes across and flicks towards midwicket",2.4,1,1.0,"Arshdeep to Padikkal, 1 run  .Length around middle, goes across and flicks towards midwicket",Arshdeep,Padikkal,1.0,0,0,1,1,1.0,0,,1
"2.5 
1 
Arshdeep to Kohli, 1 run 
Pitched up on fourth, punched with a straight bat to mid-off's right",2.5,1,1.0,"Arshdeep to Kohli, 1 run  .Pitched up on fourth, punched with a straight bat to mid-off's right",Arshdeep,Kohli,1.0,0,0,1,1,1.0,0,,1
"2.6 
4 
Arshdeep to Padikkal, 4 runs 
Deep square leg was sent out and Padikkal exploits the newly created gap at midwicket. 
Runs four! Was a length ball on middle to which he went back and flicked. Fielder used 
his foot to cut the ball close to the ropes, but he ran past the boundary and had to track 
back. Replays show just how quick the batters were, Padikkal - in an attempt to avoid 
collision - was two pitches beside the main one 
end of over 310 runs  
RCB: 22/1CRR: 7.33 • RRR: 8.00 • Need 136 runs from 102b 
Devdutt Padikkal9 (5b 1x4) 
Virat Kohli12 (10b 2x4) 
Arshdeep Singh 2-0-16-1 
Xavier Bartlett 1-0-6-0",2.6,4,4.0,"Arshdeep to Padikkal, 4 runs  .Deep square leg was sent out and Padikkal exploits the newly created gap at midwicket.  .Runs four! Was a length ball on middle to which he went back and flicked. Fielder used  .his foot to cut the ball close to the ropes, but he ran past the boundary and had to track  .back. Replays show just how quick the batters were, Padikkal - in an attempt to avoid  .collision - was two pitches beside the main one",Arshdeep,Padikkal,4.0,1,0,1,1,4.0,0,,1
"3.1 
1 
Bartlett to Kohli, 1 run 
Dances down and flogs it off a length to midwicket",3.1,1,1.0,"Bartlett to Kohli, 1 run  .Dances down and flogs it off a length to midwicket",Bartlett,Kohli,1.0,0,0,1,1,1.0,0,,1
"3.2 
• 
Bartlett to Padikkal, no run 
Full around fourth, pushed to cover",3.2,0,0.0,"Bartlett to Padikkal, no run  .Full around fourth, pushed to cover",Bartlett,Padikkal,0.0,0,0,1,1,0.0,0,,0
"3.3 
6 
Bartlett to Padikkal, SIX runs 
Thumped through the line, like a leaner Matt Hayden. Padikkal walks down the pitch to a 
fullish ball, was either the scrambled seam or cutter, and drove it flat",3.3,6,6.0,"Bartlett to Padikkal, SIX runs  .Thumped through the line, like a leaner Matt Hayden. Padikkal walks down the pitch to a  .fullish ball, was either the scrambled seam or cutter, and drove it flat",Bartlett,Padikkal,6.0,0,1,1,1,6.0,0,,1
"3.4 
2 
Bartlett to Padikkal, 2 runs 
Misfield by Arshdeep at short, he went low to the left but could only half-stop it. 
Backward point runs to the deep to stop it. Was a length ball on fourth, Padikkal went 
back in the crease and dabbed it late",3.4,2,2.0,"Bartlett to Padikkal, 2 runs  .Misfield by Arshdeep at short, he went low to the left but could only half-stop it.  .Backward point runs to the deep to stop it. Was a length ball on fourth, Padikkal went  .back in the crease and dabbed it late",Bartlett,Padikkal,2.0,0,0,1,1,2.0,0,,1
"3.5 
• 
Bartlett to Padikkal, no run 
Full on off from around the wicket, 135ks, defended to point",3.5,0,0.0,"Bartlett to Padikkal, no run  .Full on off from around the wicket, 135ks, defended to point",Bartlett,Padikkal,0.0,0,0,1,1,0.0,0,,0
