raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Arshdeep to Markram, no run 
back of a length, starting just outside off and shaping back in. Markram is tucked up for 
room on the cut and scuffs it back to the bowler",0.1,0,0.0,"Arshdeep to Markram, no run  .back of a length, starting just outside off and shaping back in. Markram is tucked up for  .room on the cut and scuffs it back to the bowler",Arshdeep,Markram,0.0,0,0,1,1,0.0,0,,0
"0.2 
2 
Arshdeep to Markram, 2 runs 
in-swinging yorker on the pads. Markram tucks it off his toes towards deep square leg 
and gets off the mark with a brace",0.2,2,2.0,"Arshdeep to Markram, 2 runs  .in-swinging yorker on the pads. Markram tucks it off his toes towards deep square leg  .and gets off the mark with a brace",Arshdeep,Markram,2.0,0,0,1,1,2.0,0,,1
"0.3 
1 
Arshdeep to Markram, 1 run 
fullish on off and this swerves away late. Markram opens his bat face and runs it down 
to deep backward point",0.3,1,1.0,"Arshdeep to Markram, 1 run  .fullish on off and this swerves away late. Markram opens his bat face and runs it down  .to deep backward point",Arshdeep,Markram,1.0,0,0,1,1,1.0,0,,1
"0.4 
• 
Arshdeep to Marsh, no run 
back of a length outside off. Leaves the batter and Marsh is happy to let it go through to 
the keeper",0.4,0,0.0,"Arshdeep to Marsh, no run  .back of a length outside off. Leaves the batter and Marsh is happy to let it go through to  .the keeper",Arshdeep,Marsh,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Arshdeep to Marsh, no run 
full and swinging into middle and leg. Marsh comes onto the front foot and pokes it 
towards mid on",0.5,0,0.0,"Arshdeep to Marsh, no run  .full and swinging into middle and leg. Marsh comes onto the front foot and pokes it  .towards mid on",Arshdeep,Marsh,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Arshdeep to Marsh, no run 
ripper! Back of a length in the channel and this decks away sharply. Marsh gets opened 
up like a deck chair and is lucky to not nick it 
end of over 13 runs  
LSG: 3/0CRR: 3.00 • RRR: 12.31 • Need 234 runs from 114b 
Mitchell Marsh0 (3b) 
Aiden Markram3 (3b) 
Arshdeep Singh 1-0-3-0 
Jansen to share the new ball. Up against his countryman Markram",0.6,0,0.0,"Arshdeep to Marsh, no run  .ripper! Back of a length in the channel and this decks away sharply. Marsh gets opened  .up like a deck chair and is lucky to not nick it",Arshdeep,Marsh,0.0,0,0,1,1,0.0,0,,0
"1.1 
4 
Jansen to Markram, FOUR runs 
shortish ball down leg and that is easy pickings for Markram! He uses the pace on offer 
and glances it away fine. Fine leg was too square to hunt it down!",1.1,4,4.0,"Jansen to Markram, FOUR runs  .shortish ball down leg and that is easy pickings for Markram! He uses the pace on offer  .and glances it away fine. Fine leg was too square to hunt it down!",Jansen,Markram,4.0,1,0,1,1,4.0,0,,1
"1.2 
• 
Jansen to Markram, no run 
peach! Back of a length on off and this does not shape in, instead going on with the 
angle. Markram plays for the inward swing and gets squared up. Beaten on the outside",1.2,0,0.0,"Jansen to Markram, no run  .peach! Back of a length on off and this does not shape in, instead going on with the  .angle. Markram plays for the inward swing and gets squared up. Beaten on the outside",Jansen,Markram,0.0,0,0,1,1,0.0,0,,0
"1.3 
2lb 
Jansen to Markram, 2 leg byes 
back of a length on the hips, shaping back. Markram plays all around it and the ball 
dribbles off the thigh pad into the on side. Markram calls for the second and hurtles 
back to complete it",1.3,2lb,2.0,"Jansen to Markram, 2 leg byes  .back of a length on the hips, shaping back. Markram plays all around it and the ball  .dribbles off the thigh pad into the on side. Markram calls for the second and hurtles  .back to complete it",Jansen,Markram,0.0,0,0,1,1,0.0,0,,0
"1.4 
6 
Jansen to Markram, SIX runs 
up, up and away! Length ball pushed across the batter outside off. Markram marches 
down the track and throws the plumbing at it. A bit of a skew off the outside edge but it 
carries all the way over deep backward point!",1.4,6,6.0,"Jansen to Markram, SIX runs  .up, up and away! Length ball pushed across the batter outside off. Markram marches  .down the track and throws the plumbing at it. A bit of a skew off the outside edge but it  .carries all the way over deep backward point!",Jansen,Markram,6.0,0,1,1,1,6.0,0,,1
