raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Shoriful Islam to Rohit Sharma, no run 
starts off with a length delivery that angles away, Rohit defends back with the full face 
of the bat 
See all photos",0.1,0,0.0,"Shoriful Islam to Rohit Sharma, no run  .starts off with a length delivery that angles away, Rohit defends back with the full face  .of the bat  .See all photos",Shoriful Islam,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.2 
4 
Shoriful Islam to Rohit Sharma, FOUR runs 
creamed through cover point! Overpitched and Rohit simply leant into that to lace it 
away. No one moved. The timing was so sublime, placement even better.",0.2,4,4.0,"Shoriful Islam to Rohit Sharma, FOUR runs  .creamed through cover point! Overpitched and Rohit simply leant into that to lace it  .away. No one moved. The timing was so sublime, placement even better.",Shoriful Islam,Rohit Sharma,4.0,1,0,1,1,4.0,0,,1
"0.3 
• 
Shoriful Islam to Rohit Sharma, no run 
gets this to nip back in off the seam from middle, defended solidly into the leg side",0.3,0,0.0,"Shoriful Islam to Rohit Sharma, no run  .gets this to nip back in off the seam from middle, defended solidly into the leg side",Shoriful Islam,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Shoriful Islam to Rohit Sharma, no run 
gets a length ball to angle away and hold its line, Rohit is right on top of the bounce as 
he defends 
Pratik Soholkar: ""Any update on Hardik?"" -- We'll only get one after the match. For now, 
he'll bat if required.",0.4,0,0.0,"Shoriful Islam to Rohit Sharma, no run  .gets a length ball to angle away and hold its line, Rohit is right on top of the bounce as  .he defends",Shoriful Islam,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.5 
4 
Shoriful Islam to Rohit Sharma, FOUR runs 
the flashing blade meets the ball in the middle and it's flayed away wide of a diving 
backward point fielder. Wouldn't have gotten more than a fingertip even if he was an 
inch or two taller",0.5,4,4.0,"Shoriful Islam to Rohit Sharma, FOUR runs  .the flashing blade meets the ball in the middle and it's flayed away wide of a diving  .backward point fielder. Wouldn't have gotten more than a fingertip even if he was an  .inch or two taller",Shoriful Islam,Rohit Sharma,4.0,1,0,1,1,4.0,0,,1
"0.6 
• 
Shoriful Islam to Rohit Sharma, no run 
looks to whip this away over midwicket but is beaten by the late movement, through to 
the keeper. Good comeback 
end of over 18 runs  
IND: 8/0CRR: 8.00 • RRR: 5.08 • Need 249 runs from 49 overs 
Rohit Sharma8 (6b 2x4) 
Shubman Gill0 (0b) 
Shoriful Islam 1-0-8-0",0.6,0,0.0,"Shoriful Islam to Rohit Sharma, no run  .looks to whip this away over midwicket but is beaten by the late movement, through to  .the keeper. Good comeback",Shoriful Islam,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"1.1 
4 
Mustafizur to Gill, FOUR runs 
supple wrists! What timing. Length ball on middle and Gill transfers his weight forward 
before picking it away superbly between midwicket and mid-on",1.1,4,4.0,"Mustafizur to Gill, FOUR runs  .supple wrists! What timing. Length ball on middle and Gill transfers his weight forward  .before picking it away superbly between midwicket and mid-on",Mustafizur,Gill,4.0,1,0,1,1,4.0,0,,1
"1.2 
1 
Mustafizur to Gill, 1 run 
flicked again, this time wide of mid-on for a single 
 
Rohit Sharma vs Mustafizur Rahman 
BALLS 
122 
RUNS 
129 
OUTS 
3 
4s/6s 
12/5",1.2,1,1.0,"Mustafizur to Gill, 1 run  .flicked again, this time wide of mid-on for a single  .  .Rohit Sharma vs Mustafizur Rahman  .BALLS  .122  .RUNS  .129  .OUTS  .3  .4s/6s  .12/5",Mustafizur,Gill,1.0,0,0,1,1,1.0,0,,1
"1.3 
1 
Mustafizur to Rohit Sharma, 1 run 
punched down to mid-off as they scamper a single",1.3,1,1.0,"Mustafizur to Rohit Sharma, 1 run  .punched down to mid-off as they scamper a single",Mustafizur,Rohit Sharma,1.0,0,0,1,1,1.0,0,,1
"1.4 
• 
Mustafizur to Gill, no run 
full on leg stump, worked to mid-on",1.4,0,0.0,"Mustafizur to Gill, no run  .full on leg stump, worked to mid-on",Mustafizur,Gill,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Mustafizur to Gill, no run 
floats it on a length around middle and leg, carefully defended back 
Shyam: ""Will Rohit's approach change given that Hardik may not be able to bat 
properly?"" -- So far, he hasn't",1.5,0,0.0,"Mustafizur to Gill, no run  .floats it on a length around middle and leg, carefully defended back",Mustafizur,Gill,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Mustafizur to Gill, no run 
gets right behind the line as he defends this short of length delivery with soft hands into 
the off side 
end of over 26 runs  
IND: 14/0CRR: 7.00 • RRR: 5.06 • Need 243 runs from 48 overs 
Shubman Gill5 (5b 1x4) 
Rohit Sharma9 (7b 2x4) 
Mustafizur Rahman 1-0-6-0 
Shoriful Islam 1-0-8-0",1.6,0,0.0,"Mustafizur to Gill, no run  .gets right behind the line as he defends this short of length delivery with soft hands into  .the off side",Mustafizur,Gill,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Shoriful Islam to Rohit Sharma, no run 
slants one across Rohit who lets it go",2.1,0,0.0,"Shoriful Islam to Rohit Sharma, no run  .slants one across Rohit who lets it go",Shoriful Islam,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"2.2 
4 
Shoriful Islam to Rohit Sharma, FOUR runs 
width and slammed away through point! Rohit's oozing confidence and rich form. This 
version has been a treat to watch. Stood tall and just belted that between the two 
fielders inside the ring",2.2,4,4.0,"Shoriful Islam to Rohit Sharma, FOUR runs  .width and slammed away through point! Rohit's oozing confidence and rich form. This  .version has been a treat to watch. Stood tall and just belted that between the two  .fielders inside the ring",Shoriful Islam,Rohit Sharma,4.0,1,0,1,1,4.0,0,,1
"2.3 
• 
Shoriful Islam to Rohit Sharma, no run 
gets fully forward and defends right under his eyes",2.3,0,0.0,"Shoriful Islam to Rohit Sharma, no run  .gets fully forward and defends right under his eyes",Shoriful Islam,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Shoriful Islam to Rohit Sharma, no run 
solid in defence once again as Shoriful shortens his length a touch",2.4,0,0.0,"Shoriful Islam to Rohit Sharma, no run  .solid in defence once again as Shoriful shortens his length a touch",Shoriful Islam,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"2.5 
6 
Shoriful Islam to Rohit Sharma, SIX runs 
that's like offering Rohit misal pav and sabudana vada here in Pune! Short, sat up nicely 
for him to swivel back and pull him imperiously over deep backward square leg. Help 
yourself delivery from Shoriful",2.5,6,6.0,"Shoriful Islam to Rohit Sharma, SIX runs  .that's like offering Rohit misal pav and sabudana vada here in Pune! Short, sat up nicely  .for him to swivel back and pull him imperiously over deep backward square leg. Help  .yourself delivery from Shoriful",Shoriful Islam,Rohit Sharma,6.0,0,1,1,1,6.0,0,,1
"2.6 
2 
Shoriful Islam to Rohit Sharma, 2 runs 
juicy half-volley on the pads, flicked away to deep backward square leg 
end of over 312 runs  
IND: 26/0CRR: 8.66 • RRR: 4.91 • Need 231 runs from 47 overs 
Rohit Sharma21 (13b 3x4 1x6) 
Shubman Gill5 (5b 1x4) 
Shoriful Islam 2-0-20-0 
Mustafizur Rahman 1-0-6-0 
Spin to win? Nasum into the attack with his left-arm spin. Bangladesh need to stop the 
bleeding quickly",2.6,2,2.0,"Shoriful Islam to Rohit Sharma, 2 runs  .juicy half-volley on the pads, flicked away to deep backward square leg",Shoriful Islam,Rohit Sharma,2.0,0,0,1,1,2.0,0,,1
"3.1 
• 
Nasum to Gill, no run 
flatter one from around the stumps, Gill defends",3.1,0,0.0,"Nasum to Gill, no run  .flatter one from around the stumps, Gill defends",Nasum,Gill,0.0,0,0,1,1,0.0,0,,0
"3.2 
• 
Nasum to Gill, no run 
struck on the pad as Gill plays all around the delivery but the angle may have taken it 
down leg",3.2,0,0.0,"Nasum to Gill, no run  .struck on the pad as Gill plays all around the delivery but the angle may have taken it  .down leg",Nasum,Gill,0.0,0,0,1,1,0.0,0,,0
"3.3 
1 
Nasum to Gill, 1 run 
worked with the angle to deep midwicket",3.3,1,1.0,"Nasum to Gill, 1 run  .worked with the angle to deep midwicket",Nasum,Gill,1.0,0,0,1,1,1.0,0,,1
"3.4 
1 
Nasum to Rohit Sharma, 1 run 
works it away nicely through square leg towards the boundary rider",3.4,1,1.0,"Nasum to Rohit Sharma, 1 run  .works it away nicely through square leg towards the boundary rider",Nasum,Rohit Sharma,1.0,0,0,1,1,1.0,0,,1
"3.5 
• 
Nasum to Gill, no run 
shortish outside off, punched to cover point",3.5,0,0.0,"Nasum to Gill, no run  .shortish outside off, punched to cover point",Nasum,Gill,0.0,0,0,1,1,0.0,0,,0
"3.6 
• 
Nasum to Gill, no run 
nearly chopped on! Gill plays for the turn but the ball skids through, rolls to short fine 
end of over 42 runs  
IND: 28/0CRR: 7.00 • RRR: 4.97 • Need 229 runs from 46 overs 
Shubman Gill6 (10b 1x4) 
Rohit Sharma22 (14b 3x4 1x6) 
Nasum Ahmed 1-0-2-0 
Shoriful Islam 2-0-20-0",3.6,0,0.0,"Nasum to Gill, no run  .nearly chopped on! Gill plays for the turn but the ball skids through, rolls to short fine",Nasum,Gill,0.0,0,0,1,1,0.0,0,,0
"4.1 
• 
Shoriful Islam to Rohit Sharma, no run 
mistimes an attempted cut to short third man 
Ajit joshi : ""@Shashank, I am from pune but settled in Perth now. Absolutely loved your 
misal pav and sabudana vada comment. Now I am craving for it. :)"" -- Too late in the 
night to order now?",4.1,0,0.0,"Shoriful Islam to Rohit Sharma, no run  .mistimes an attempted cut to short third man",Shoriful Islam,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"4.2 
4 
Shoriful Islam to Rohit Sharma, FOUR runs 
he's lofted that through the line, mid-off was a mere spectator. Even if he'd been Joel 
Garner, there's no way he'd have even dreamt of catching that",4.2,4,4.0,"Shoriful Islam to Rohit Sharma, FOUR runs  .he's lofted that through the line, mid-off was a mere spectator. Even if he'd been Joel  .Garner, there's no way he'd have even dreamt of catching that",Shoriful Islam,Rohit Sharma,4.0,1,0,1,1,4.0,0,,1
"4.3 
• 
Shoriful Islam to Rohit Sharma, no run 
firm push to mid-on 
from around the wicket",4.3,0,0.0,"Shoriful Islam to Rohit Sharma, no run  .firm push to mid-on  .from around the wicket",Shoriful Islam,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"4.4 
1 
Shoriful Islam to Rohit Sharma, 1 run 
nudged with the angle to deep square leg 
Narsi: ""Is a substitute allowed for Hardik, if he can't bat?"" -- No way, he isn't concussed.",4.4,1,1.0,"Shoriful Islam to Rohit Sharma, 1 run  .nudged with the angle to deep square leg",Shoriful Islam,Rohit Sharma,1.0,0,0,1,1,1.0,0,,1
"4.5 
• 
Shoriful Islam to Gill, no run 
tight line, length around off, defended",4.5,0,0.0,"Shoriful Islam to Gill, no run  .tight line, length around off, defended",Shoriful Islam,Gill,0.0,0,0,1,1,0.0,0,,0
"4.6 
• 
Shoriful Islam to Gill, no run 
taps it to the leg side, wants a run but is sent back by Rohit 
end of over 55 runs  
IND: 33/0CRR: 6.60 • RRR: 4.97 • Need 224 runs from 45 overs 
Shubman Gill6 (12b 1x4) 
Rohit Sharma27 (18b 4x4 1x6) 
Shoriful Islam 3-0-25-0 
Nasum Ahmed 1-0-2-0 
 
Shubman Gill vs left-arm orthodox in ODIs 
RUNS 
286 
OUTS 
4 
4s/6s 
23/5 
SR 
88.54 
AVE 
71.50",4.6,0,0.0,"Shoriful Islam to Gill, no run  .taps it to the leg side, wants a run but is sent back by Rohit",Shoriful Islam,Gill,0.0,0,0,1,1,0.0,0,,0
"5.1 
4 
Nasum to Rohit Sharma, FOUR runs 
drops short and Rohit quickly transfers his weight back to crash that through point",5.1,4,4.0,"Nasum to Rohit Sharma, FOUR runs  .drops short and Rohit quickly transfers his weight back to crash that through point",Nasum,Rohit Sharma,4.0,1,0,1,1,4.0,0,,1
"5.2 
• 
Nasum to Rohit Sharma, no run 
straightens one from around the stumps, defended back",5.2,0,0.0,"Nasum to Rohit Sharma, no run  .straightens one from around the stumps, defended back",Nasum,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"5.3 
• 
Nasum to Rohit Sharma, no run 
pushed through the line to cover, shortened his length nicely",5.3,0,0.0,"Nasum to Rohit Sharma, no run  .pushed through the line to cover, shortened his length nicely",Nasum,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"5.4 
• 
Nasum to Rohit Sharma, no run 
skids through from around the stumps, Rohit lunges to defend and gets an inside edge 
into the pad",5.4,0,0.0,"Nasum to Rohit Sharma, no run  .skids through from around the stumps, Rohit lunges to defend and gets an inside edge  .into the pad",Nasum,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"5.5 
• 
Nasum to Rohit Sharma, no run 
slows it down nicely, draws Rohit forward by tossing it up, it's defended back",5.5,0,0.0,"Nasum to Rohit Sharma, no run  .slows it down nicely, draws Rohit forward by tossing it up, it's defended back",Nasum,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"5.6 
• 
Nasum to Rohit Sharma, no run 
nice loop on it once again as Rohit gets well forward and defends 
end of over 64 runs  
IND: 37/0CRR: 6.16 • RRR: 5.00 • Need 220 runs from 44 overs 
Rohit Sharma31 (24b 5x4 1x6) 
Shubman Gill6 (12b 1x4) 
Nasum Ahmed 2-0-6-0 
Shoriful Islam 3-0-25-0 
Hasan Mahmud with his medium pace",5.6,0,0.0,"Nasum to Rohit Sharma, no run  .nice loop on it once again as Rohit gets well forward and defends",Nasum,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"6.1 
• 
Hasan Mahmud to Gill, no run 
skiddy length ball on middle, defended back",6.1,0,0.0,"Hasan Mahmud to Gill, no run  .skiddy length ball on middle, defended back",Hasan Mahmud,Gill,0.0,0,0,1,1,0.0,0,,0
"6.2 
4 
Hasan Mahmud to Gill, FOUR runs 
lucky runs but runs nonetheless! Steps out to belt this down the ground but gets a thick 
edge that flies over the slips",6.2,4,4.0,"Hasan Mahmud to Gill, FOUR runs  .lucky runs but runs nonetheless! Steps out to belt this down the ground but gets a thick  .edge that flies over the slips",Hasan Mahmud,Gill,4.0,1,0,1,1,4.0,0,,1
"6.3 
2 
Hasan Mahmud to Gill, 2 runs 
plays the short-arm jab into the gap wide of mid-on for a couple",6.3,2,2.0,"Hasan Mahmud to Gill, 2 runs  .plays the short-arm jab into the gap wide of mid-on for a couple",Hasan Mahmud,Gill,2.0,0,0,1,1,2.0,0,,1
"6.4 
• 
Hasan Mahmud to Gill, no run 
cramped for room as he tries to flay that through point, can't pick the gap",6.4,0,0.0,"Hasan Mahmud to Gill, no run  .cramped for room as he tries to flay that through point, can't pick the gap",Hasan Mahmud,Gill,0.0,0,0,1,1,0.0,0,,0
