raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
2 
Sole to Vikramjit Singh, 2 runs 
Starts off with a length delivery, it's dipping in towards middle and leg, flicked away 
wristily to deep squire and they are off the mark",0.1,2,2.0,"Sole to Vikramjit Singh, 2 runs  .Starts off with a length delivery, it's dipping in towards middle and leg, flicked away  .wristily to deep squire and they are off the mark",Sole,Vikramjit Singh,2.0,0,0,1,1,2.0,0,,1
"0.2 
1w 
Sole to Vikramjit Singh, 1 wide 
Shorter length, gets it to swing away prodigiously outside off, goes swirling away 
outside the tramlines on off, ball kept a touch low even though he is steaming in",0.2,1w,1.0,"Sole to Vikramjit Singh, 1 wide  .Shorter length, gets it to swing away prodigiously outside off, goes swirling away  .outside the tramlines on off, ball kept a touch low even though he is steaming in",Sole,Vikramjit Singh,0.0,0,0,0,0,1.0,0,,1
"0.2 
• 
Sole to Vikramjit Singh, no run 
Shorter length, zipping away outside off",0.2,0,0.0,"Sole to Vikramjit Singh, no run  .Shorter length, zipping away outside off",Sole,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Sole to Vikramjit Singh, no run 
Back of a length, plugging away in the corridor, leaves it alone for the keeper to collect, 
not that far away from the tramline, got away with it",0.3,0,0.0,"Sole to Vikramjit Singh, no run  .Back of a length, plugging away in the corridor, leaves it alone for the keeper to collect,  .not that far away from the tramline, got away with it",Sole,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"0.4 
1 
Sole to Vikramjit Singh, 1 run 
Shorter length, angling into the pads, tucked away into the leg side",0.4,1,1.0,"Sole to Vikramjit Singh, 1 run  .Shorter length, angling into the pads, tucked away into the leg side",Sole,Vikramjit Singh,1.0,0,0,1,1,1.0,0,,1
"0.5 
2 
Sole to O'Dowd, 2 runs 
Shortens his length, scudding through the deck very quickly and seaming in towards 
middle and leg, nicely whipped away to deep backward square and he opens his 
account",0.5,2,2.0,"Sole to O'Dowd, 2 runs  .Shortens his length, scudding through the deck very quickly and seaming in towards  .middle and leg, nicely whipped away to deep backward square and he opens his  .account",Sole,O'Dowd,2.0,0,0,1,1,2.0,0,,1
"0.6 
• 
Sole to O'Dowd, no run 
Pulls his length back, ghosts past the outside edge, beating his late cut. That's a lovely 
line with a hint of movement 
end of over 16 runs  
NED: 6/0CRR: 6.00 • RRR: 5.55 • Need 272 runs from 49 overs 
Max O'Dowd2 (2b) 
Vikramjit Singh3 (4b) 
Chris Sole 1-0-6-0",0.6,0,0.0,"Sole to O'Dowd, no run  .Pulls his length back, ghosts past the outside edge, beating his late cut. That's a lovely  .line with a hint of movement",Sole,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
McMullen to Vikramjit Singh, no run 
Length ball, pitching middle en route to off, stays deep in his crease and blocks it into 
the covers, keeper is up and he hunts it down quickly",1.1,0,0.0,"McMullen to Vikramjit Singh, no run  .Length ball, pitching middle en route to off, stays deep in his crease and blocks it into  .the covers, keeper is up and he hunts it down quickly",McMullen,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
McMullen to Vikramjit Singh, no run 
Length ball, swerving in from middle and he works with the inward seam movement to 
short midwicket",1.2,0,0.0,"McMullen to Vikramjit Singh, no run  .Length ball, swerving in from middle and he works with the inward seam movement to  .short midwicket",McMullen,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
McMullen to Vikramjit Singh, no run 
Good length, angling in from middle, hurriedly flapped to the leg side while shielding his 
pads",1.3,0,0.0,"McMullen to Vikramjit Singh, no run  .Good length, angling in from middle, hurriedly flapped to the leg side while shielding his  .pads",McMullen,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
