raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Starc to Vikramjit Singh, no run 
length delivery just outside off that shapes away a little. Singh comes forward and 
defends",0.1,0,0.0,"Starc to Vikramjit Singh, no run  .length delivery just outside off that shapes away a little. Singh comes forward and  .defends",Starc,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Starc to Vikramjit Singh, no run 
back of a length delivery hung outside off. Singh goes fishing at it but does not make 
any contact. A hint of late swing for Starc again",0.2,0,0.0,"Starc to Vikramjit Singh, no run  .back of a length delivery hung outside off. Singh goes fishing at it but does not make  .any contact. A hint of late swing for Starc again",Starc,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Starc to Vikramjit Singh, no run 
length delivery that starts in the fourth stump channel before hooping away. Singh tries 
the flamingo cover drive and misses the ball by a mile",0.3,0,0.0,"Starc to Vikramjit Singh, no run  .length delivery that starts in the fourth stump channel before hooping away. Singh tries  .the flamingo cover drive and misses the ball by a mile",Starc,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Starc to Vikramjit Singh, no run 
full and speared into off stump. Singh presses half forward and pokes it down to mid 
off",0.4,0,0.0,"Starc to Vikramjit Singh, no run  .full and speared into off stump. Singh presses half forward and pokes it down to mid  .off",Starc,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Starc to Vikramjit Singh, no run 
another play and miss! Length delivery well outside off and this one keeps shaping 
further away. Singh wafts at it and is beaten 
Singh has not moved his feet much so far",0.5,0,0.0,"Starc to Vikramjit Singh, no run  .another play and miss! Length delivery well outside off and this one keeps shaping  .further away. Singh wafts at it and is beaten  .Singh has not moved his feet much so far",Starc,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"0.6 
4 
Starc to Vikramjit Singh, FOUR runs 
off the mark now, and with a boundary! Full and this just drifts onto the pads. Singh 
uses the angle and clips it between mid wicket and mid on for four! 
end of over 14 runs  
NED: 4/0CRR: 4.00 • RRR: 8.08 • Need 396 runs from 49 overs 
Vikramjit Singh4 (6b 1x4) 
Max O'Dowd0 (0b) 
Mitchell Starc 1-0-4-0 
Hazlewood to take the new ball from the other end",0.6,4,4.0,"Starc to Vikramjit Singh, FOUR runs  .off the mark now, and with a boundary! Full and this just drifts onto the pads. Singh  .uses the angle and clips it between mid wicket and mid on for four!",Starc,Vikramjit Singh,4.0,1,0,1,1,4.0,0,,1
"1.1 
4 
Hazlewood to O'Dowd, FOUR runs 
short and wide outside off. O'Dowd looks at the width and throws his hands at it. Gets a 
bottom edge but manages to get it past second slip for four",1.1,4,4.0,"Hazlewood to O'Dowd, FOUR runs  .short and wide outside off. O'Dowd looks at the width and throws his hands at it. Gets a  .bottom edge but manages to get it past second slip for four",Hazlewood,O'Dowd,4.0,1,0,1,1,4.0,0,,1
"1.2 
1 
Hazlewood to O'Dowd, 1 run 
back of a length on middle and leg. Tucked off his hips towards fine leg",1.2,1,1.0,"Hazlewood to O'Dowd, 1 run  .back of a length on middle and leg. Tucked off his hips towards fine leg",Hazlewood,O'Dowd,1.0,0,0,1,1,1.0,0,,1
"1.3 
• 
Hazlewood to Vikramjit Singh, no run 
back of a length delivery just outside off that skids through. Singh tries to access the off 
side but is beaten for pace more than anything else",1.3,0,0.0,"Hazlewood to Vikramjit Singh, no run  .back of a length delivery just outside off that skids through. Singh tries to access the off  .side but is beaten for pace more than anything else",Hazlewood,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"1.4 
4 
Hazlewood to Vikramjit Singh, FOUR runs 
shot! Hard length on off. Singh hops up onto his toes, gets on top of the bounce and 
threads it between cover point and backward point",1.4,4,4.0,"Hazlewood to Vikramjit Singh, FOUR runs  .shot! Hard length on off. Singh hops up onto his toes, gets on top of the bounce and  .threads it between cover point and backward point",Hazlewood,Vikramjit Singh,4.0,1,0,1,1,4.0,0,,1
"1.5 
4 
Hazlewood to Vikramjit Singh, FOUR runs 
even better! Back of a length outside off. Singh stands tall on the front foot this time 
and cracks it past cover point for four! 
Around the wicket now",1.5,4,4.0,"Hazlewood to Vikramjit Singh, FOUR runs  .even better! Back of a length outside off. Singh stands tall on the front foot this time  .and cracks it past cover point for four!  .Around the wicket now",Hazlewood,Vikramjit Singh,4.0,1,0,1,1,4.0,0,,1
"1.6 
1 
Hazlewood to Vikramjit Singh, 1 run 
hard length, angled into middle and off. Singh dangles his bat a shade and squirts it off 
the inside edge to fine leg 
end of over 214 runs  
NED: 18/0CRR: 9.00 • RRR: 7.95 • Need 382 runs from 48 overs 
Vikramjit Singh13 (10b 3x4) 
Max O'Dowd5 (2b 1x4) 
Josh Hazlewood 1-0-14-0 
Mitchell Starc 1-0-4-0",1.6,1,1.0,"Hazlewood to Vikramjit Singh, 1 run  .hard length, angled into middle and off. Singh dangles his bat a shade and squirts it off  .the inside edge to fine leg",Hazlewood,Vikramjit Singh,1.0,0,0,1,1,1.0,0,,1
"2.1 
• 
Starc to Vikramjit Singh, no run 
fullish outside off. Singh comes forward and punches it towards cover. Labuschagne 
sprawls to his left and saves a certain boundary",2.1,0,0.0,"Starc to Vikramjit Singh, no run  .fullish outside off. Singh comes forward and punches it towards cover. Labuschagne  .sprawls to his left and saves a certain boundary",Starc,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"2.2 
4 
Starc to Vikramjit Singh, FOUR runs 
safe and it races away for four! Fullish and slanting into middle and leg. Singh closes 
the bat face early and gets a leading edge that pops up over backward point. Gains pace 
after bouncing and beats third man running to his left",2.2,4,4.0,"Starc to Vikramjit Singh, FOUR runs  .safe and it races away for four! Fullish and slanting into middle and leg. Singh closes  .the bat face early and gets a leading edge that pops up over backward point. Gains pace  .after bouncing and beats third man running to his left",Starc,Vikramjit Singh,4.0,1,0,1,1,4.0,0,,1
"2.3 
4 
Starc to Vikramjit Singh, FOUR runs 
streaky but the Dutch will take it! Short and wide outside off. Singh throws the 
plumbing at it and gets a thick outside edge that flies past Marsh at second slip",2.3,4,4.0,"Starc to Vikramjit Singh, FOUR runs  .streaky but the Dutch will take it! Short and wide outside off. Singh throws the  .plumbing at it and gets a thick outside edge that flies past Marsh at second slip",Starc,Vikramjit Singh,4.0,1,0,1,1,4.0,0,,1
"2.4 
1w 
Starc to Vikramjit Singh, 1 wide 
banged into the track but a mile down the leg side. Called a wide, unsurprisingly",2.4,1w,1.0,"Starc to Vikramjit Singh, 1 wide  .banged into the track but a mile down the leg side. Called a wide, unsurprisingly",Starc,Vikramjit Singh,0.0,0,0,0,0,1.0,0,,1
"2.4 
• 
Starc to Vikramjit Singh, no run 
back of a length on middle and off. Singh lets the ball come to him before meeting it 
right under his eyes",2.4,0,0.0,"Starc to Vikramjit Singh, no run  .back of a length on middle and off. Singh lets the ball come to him before meeting it  .right under his eyes",Starc,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Starc to Vikramjit Singh, no run 
appeal! Full and speared into leg stump. Singh falls over a touch and then plays all 
around his flick. Gets rapped on the pads but that always seemed to be heading down 
leg with the angle",2.5,0,0.0,"Starc to Vikramjit Singh, no run  .appeal! Full and speared into leg stump. Singh falls over a touch and then plays all  .around his flick. Gets rapped on the pads but that always seemed to be heading down  .leg with the angle",Starc,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
