raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1w 
Archer to Rickelton, 1 wide 
sprayed down the leg side from around the wicket",0.1,1w,1.0,"Archer to Rickelton, 1 wide  .sprayed down the leg side from around the wicket",Archer,Rickelton,0.0,0,0,0,0,1.0,0,,1
"0.1 
1w 
Archer to Rickelton, 1 wide 
rinse and repeat, straying past the pads. Poor start from Archer",0.1,1w,1.0,"Archer to Rickelton, 1 wide  .rinse and repeat, straying past the pads. Poor start from Archer",Archer,Rickelton,0.0,0,0,0,0,1.0,0,,1
"0.1 
• 
Archer to Rickelton, no run 
that's more like it. Strangled appeal for lbw as Rickelton is struck on the pad, but 
probably sliding down. 86mph/139kph",0.1,0,0.0,"Archer to Rickelton, no run  .that's more like it. Strangled appeal for lbw as Rickelton is struck on the pad, but  .probably sliding down. 86mph/139kph",Archer,Rickelton,0.0,0,0,1,1,0.0,0,,0
"0.2 
1w 
Archer to Rickelton, 1 wide 
down the leg side again. Trying to cramp Rickelton for room, but gets it wrong for the 
third time out of four",0.2,1w,1.0,"Archer to Rickelton, 1 wide  .down the leg side again. Trying to cramp Rickelton for room, but gets it wrong for the  .third time out of four",Archer,Rickelton,0.0,0,0,0,0,1.0,0,,1
"0.2 
• 
Archer to Rickelton, no run 
better line, punched to short cover on the bounce. 82mph/132kph",0.2,0,0.0,"Archer to Rickelton, no run  .better line, punched to short cover on the bounce. 82mph/132kph",Archer,Rickelton,0.0,0,0,1,1,0.0,0,,0
"0.3 
2w 
Archer to Rickelton, 2 wide 
strays down leg yet again, 87mph/140kph. This time Smith fumbles as he dives to his 
right, deflecting it down towards fine leg 
Will a change of angle help? Over the wicket to the right-handed Stubbs",0.3,2w,2.0,"Archer to Rickelton, 2 wide  .strays down leg yet again, 87mph/140kph. This time Smith fumbles as he dives to his  .right, deflecting it down towards fine leg  .Will a change of angle help? Over the wicket to the right-handed Stubbs",Archer,Rickelton,0.0,0,0,0,0,2.0,0,,1
"0.3 
• 
Archer to Stubbs, no run 
on the money, hard length on off stump. Defended on the back foot",0.3,0,0.0,"Archer to Stubbs, no run  .on the money, hard length on off stump. Defended on the back foot",Archer,Stubbs,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Archer to Stubbs, no run 
good length in the channel, punched into the covers. 87mph/140kph 
 
Jofra Archer vs SA in ODIs 
INNS 
4 
WKTS 
10 
ECON 
5.63 
AVE 
15.30",0.4,0,0.0,"Archer to Stubbs, no run  .good length in the channel, punched into the covers. 87mph/140kph  .  .Jofra Archer vs SA in ODIs  .INNS  .4  .WKTS  .10  .ECON  .5.63  .AVE  .15.30",Archer,Stubbs,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Archer to Stubbs, no run 
nipping in, worked to short midwicket on the bounce. 84mph/136kph",0.5,0,0.0,"Archer to Stubbs, no run  .nipping in, worked to short midwicket on the bounce. 84mph/136kph",Archer,Stubbs,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Archer to Stubbs, no run 
sixth-stump line on a good length, defended with a high front elbow. 87mph/140kph 
A 10-ball first over. South Africa 5 for 0 with neither batter off the mark. 
end of over 15 runs  
SA: 5/0CRR: 5.00 • RRR: 3.57 • Need 175 runs from 49 overs 
Tristan Stubbs0 (4b) 
Ryan Rickelton0 (2b) 
Jofra Archer 1-0-5-0 
Saqib Mahmood will share the new ball. He's in for the injured Mark Wood. Should 
probably have had much more of a run in the side this year. Over the wicket.",0.6,0,0.0,"Archer to Stubbs, no run  .sixth-stump line on a good length, defended with a high front elbow. 87mph/140kph  .A 10-ball first over. South Africa 5 for 0 with neither batter off the mark.",Archer,Stubbs,0.0,0,0,1,1,0.0,0,,0
"1.1 
2 
Mahmood to Rickelton, 2 runs 
width outside off, Rickelton shapes to slap through the covers but miscues it away 
through wide mid-on via the inner half of the bat. Buttler chases after it and saves two",1.1,2,2.0,"Mahmood to Rickelton, 2 runs  .width outside off, Rickelton shapes to slap through the covers but miscues it away  .through wide mid-on via the inner half of the bat. Buttler chases after it and saves two",Mahmood,Rickelton,2.0,0,0,1,1,2.0,0,,1
"1.2 
4 
Mahmood to Rickelton, FOUR runs 
chipped down the ground for four. Fullish, angling across him. The ball stopped on 
Rickelton and he miscued via the splice. But with mid-off up and the outfield fast, he just 
needed to clear the infield to pick up four",1.2,4,4.0,"Mahmood to Rickelton, FOUR runs  .chipped down the ground for four. Fullish, angling across him. The ball stopped on  .Rickelton and he miscued via the splice. But with mid-off up and the outfield fast, he just  .needed to clear the infield to pick up four",Mahmood,Rickelton,4.0,1,0,1,1,4.0,0,,1
"1.3 
• 
Mahmood to Rickelton, no run 
beaten on the outside edge. Zips away late past his drive, sharp movement off the seam",1.3,0,0.0,"Mahmood to Rickelton, no run  .beaten on the outside edge. Zips away late past his drive, sharp movement off the seam",Mahmood,Rickelton,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Mahmood to Rickelton, no run 
back of a length, up on his toes to defend into the covers. 82mph/132kph 
David King: ""I wonder if we (Saffers) can get there with extras as the top score?""",1.4,0,0.0,"Mahmood to Rickelton, no run  .back of a length, up on his toes to defend into the covers. 82mph/132kph",Mahmood,Rickelton,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Mahmood to Rickelton, no run 
back of a length, steered to point on the bounce",1.5,0,0.0,"Mahmood to Rickelton, no run  .back of a length, steered to point on the bounce",Mahmood,Rickelton,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Mahmood to Rickelton, no run 
back of a length, shapes to push to mid-off but inside-edges into the leg side 
end of over 26 runs  
SA: 11/0CRR: 5.50 • RRR: 3.52 • Need 169 runs from 48 overs 
Ryan Rickelton6 (8b 1x4) 
Tristan Stubbs0 (4b) 
Saqib Mahmood 1-0-6-0 
Jofra Archer 1-0-5-0 
A reminder for those asking that Afghanistan are now out of the semi-final race. They 
needed England to win by a margin of around 200 runs for South Africa's NRR to dip 
below theirs.",1.6,0,0.0,"Mahmood to Rickelton, no run  .back of a length, shapes to push to mid-off but inside-edges into the leg side",Mahmood,Rickelton,0.0,0,0,1,1,0.0,0,,0
