raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Axar Patel to Markram, no run 
played off the back foot into the covers",0.1,0,0.0,"Axar Patel to Markram, no run  .played off the back foot into the covers",Axar Patel,Markram,0.0,0,0,1,1,0.0,0,,0
"0.2 
1 
Axar Patel to Markram, 1 run 
goes back and punches to long off for a single",0.2,1,1.0,"Axar Patel to Markram, 1 run  .goes back and punches to long off for a single",Axar Patel,Markram,1.0,0,0,1,1,1.0,0,,1
"0.3 
1 
Axar Patel to Marsh, 1 run 
moves back and across to work the ball with the angle into him from around the wicket 
through midwicket",0.3,1,1.0,"Axar Patel to Marsh, 1 run  .moves back and across to work the ball with the angle into him from around the wicket  .through midwicket",Axar Patel,Marsh,1.0,0,0,1,1,1.0,0,,1
"0.4 
1 
Axar Patel to Markram, 1 run 
driven along the ground to wide long off, played that from deep in his crease",0.4,1,1.0,"Axar Patel to Markram, 1 run  .driven along the ground to wide long off, played that from deep in his crease",Axar Patel,Markram,1.0,0,0,1,1,1.0,0,,1
"0.5 
• 
Axar Patel to Marsh, no run 
bowled slower through the air on a wicket to wicket line, pushed back to the bowler",0.5,0,0.0,"Axar Patel to Marsh, no run  .bowled slower through the air on a wicket to wicket line, pushed back to the bowler",Axar Patel,Marsh,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Axar Patel to Marsh, no run 
nearly played on! Marsh tries to punch the ball off the back foot on the off side but gets 
a thick inside edge past the stumps, that skidded into him quickly 
end of over 13 runs  
LSG: 3/0CRR: 3.00  
Mitchell Marsh1 (3b) 
Aiden Markram2 (3b) 
Axar Patel 1-0-3-0 
Tight start from Axar against the two right-hand openers, played the match-ups well. 
Here's Starc.",0.6,0,0.0,"Axar Patel to Marsh, no run  .nearly played on! Marsh tries to punch the ball off the back foot on the off side but gets  .a thick inside edge past the stumps, that skidded into him quickly",Axar Patel,Marsh,0.0,0,0,1,1,0.0,0,,0
"1.1 
2 
Starc to Markram, 2 runs 
angles across the right-hander from over the wicket, slashed off the front foot to deep 
point",1.1,2,2.0,"Starc to Markram, 2 runs  .angles across the right-hander from over the wicket, slashed off the front foot to deep  .point",Starc,Markram,2.0,0,0,1,1,2.0,0,,1
"1.2 
• 
Starc to Markram, no run 
straighter line on a good length, Markram stays in his crease and defends as the ball 
shapes back into him from over the wicket",1.2,0,0.0,"Starc to Markram, no run  .straighter line on a good length, Markram stays in his crease and defends as the ball  .shapes back into him from over the wicket",Starc,Markram,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Starc to Markram, no run 
a fuller ball this time, Starc is looking for that swing back into the right-hander after 
slanting across him from over the wicket, Markram drives on the front foot to mid-off",1.3,0,0.0,"Starc to Markram, no run  .a fuller ball this time, Starc is looking for that swing back into the right-hander after  .slanting across him from over the wicket, Markram drives on the front foot to mid-off",Starc,Markram,0.0,0,0,1,1,0.0,0,,0
"1.4 
6 
Starc to Markram, SIX runs 
first boundary of the game and it comes off a short ball, Markram met it on the front 
foot and pulled it high and far over square leg, that's the short boundary too, 60 metres",1.4,6,6.0,"Starc to Markram, SIX runs  .first boundary of the game and it comes off a short ball, Markram met it on the front  .foot and pulled it high and far over square leg, that's the short boundary too, 60 metres",Starc,Markram,6.0,0,1,1,1,6.0,0,,1
"1.5 
1 
Starc to Markram, 1 run 
fuller ball outside off, dug out to deep point for a single 
 
Mitchell Marsh vs Mitchell Starc 
BALLS 
18 
RUNS 
41 
OUTS 
3 
SR 
227.77 
4s/6s 
3/4",1.5,1,1.0,"Starc to Markram, 1 run  .fuller ball outside off, dug out to deep point for a single  .  .Mitchell Marsh vs Mitchell Starc  .BALLS  .18  .RUNS  .41  .OUTS  .3  .SR  .227.77  .4s/6s  .3/4",Starc,Markram,1.0,0,0,1,1,1.0,0,,1
"1.6 
• 
Starc to Marsh, no run 
short of a length around middle and off, Marsh plays it off the back foot to point 
end of over 29 runs  
LSG: 12/0CRR: 6.00  
Mitchell Marsh1 (4b) 
Aiden Markram11 (8b 1x6) 
Mitchell Starc 1-0-9-0 
Axar Patel 1-0-3-0 
dc: ""Brilliant captaincy by Axar Patel bringing on himself to bowl against the right 
handed openers!"" Here he is for a second over.",1.6,0,0.0,"Starc to Marsh, no run  .short of a length around middle and off, Marsh plays it off the back foot to point",Starc,Marsh,0.0,0,0,1,1,0.0,0,,0
"2.1 
1 
Axar Patel to Markram, 1 run 
angles into the right-hander from around the wicket, punched off the back foot to long 
off",2.1,1,1.0,"Axar Patel to Markram, 1 run  .angles into the right-hander from around the wicket, punched off the back foot to long  .off",Axar Patel,Markram,1.0,0,0,1,1,1.0,0,,1
"2.2 
4 
Axar Patel to Marsh, FOUR runs 
Vipraj misfields on the wide long off boundary and allows the four! Marsh had driven a 
fuller ball with outstanding timing but the fielder should have stopped that after getting 
to it by running to his left on the boundary",2.2,4,4.0,"Axar Patel to Marsh, FOUR runs  .Vipraj misfields on the wide long off boundary and allows the four! Marsh had driven a  .fuller ball with outstanding timing but the fielder should have stopped that after getting  .to it by running to his left on the boundary",Axar Patel,Marsh,4.0,1,0,1,1,4.0,0,,1
"2.3 
1 
Axar Patel to Marsh, 1 run 
driven to mid on for a single",2.3,1,1.0,"Axar Patel to Marsh, 1 run  .driven to mid on for a single",Axar Patel,Marsh,1.0,0,0,1,1,1.0,0,,1
"2.4 
1 
Axar Patel to Markram, 1 run 
punched off the back foot to long off for one more",2.4,1,1.0,"Axar Patel to Markram, 1 run  .punched off the back foot to long off for one more",Axar Patel,Markram,1.0,0,0,1,1,1.0,0,,1
"2.5 
• 
Axar Patel to Marsh, no run 
driven firmly but along the ground and to the fielder at cover",2.5,0,0.0,"Axar Patel to Marsh, no run  .driven firmly but along the ground and to the fielder at cover",Axar Patel,Marsh,0.0,0,0,1,1,0.0,0,,0
"2.6 
• 
Axar Patel to Marsh, no run 
loud call of NO after Marsh pushes the ball off the pads to midwicket, Markram wanted 
a quick single 
end of over 37 runs  
LSG: 19/0CRR: 6.33  
Mitchell Marsh6 (8b 1x4) 
Aiden Markram13 (10b 1x6) 
Axar Patel 2-0-10-0 
Mitchell Starc 1-0-9-0 
Just the one over for Starc, here's Mukesh from over the wicket. 
Sibi Joseph: ""I know its too early for this in the game but Prince Yadav definitely is 
someone to watch out for when LSG bowls. He is so skiddy of the surface, which could 
make him a nightmare for the batsmen if he can find the right line and length. Also, his 
bouncer to to Jaiswal in their last game was arguably the best ball of the game.""",2.6,0,0.0,"Axar Patel to Marsh, no run  .loud call of NO after Marsh pushes the ball off the pads to midwicket, Markram wanted  .a quick single",Axar Patel,Marsh,0.0,0,0,1,1,0.0,0,,0
"3.1 
4 
Mukesh Kumar to Markram, FOUR runs 
short of a length outside off, Markram slashes and beats the fielder at short third to his 
right",3.1,4,4.0,"Mukesh Kumar to Markram, FOUR runs  .short of a length outside off, Markram slashes and beats the fielder at short third to his  .right",Mukesh Kumar,Markram,4.0,1,0,1,1,4.0,0,,1
"3.2 
• 
Mukesh Kumar to Markram, no run 
this time he gets an edge that goes along the ground straight to short third, was looking 
to punch that through the off side",3.2,0,0.0,"Mukesh Kumar to Markram, no run  .this time he gets an edge that goes along the ground straight to short third, was looking  .to punch that through the off side",Mukesh Kumar,Markram,0.0,0,0,1,1,0.0,0,,0
"3.3 
6 
Mukesh Kumar to Markram, SIX runs 
launched miles over the straight boundary! Gentle pace, on a length, Markram presses 
forward and lofts through the line with the high elbow, that's a 78 metre boundary down 
the ground and he cleared it easily",3.3,6,6.0,"Mukesh Kumar to Markram, SIX runs  .launched miles over the straight boundary! Gentle pace, on a length, Markram presses  .forward and lofts through the line with the high elbow, that's a 78 metre boundary down  .the ground and he cleared it easily",Mukesh Kumar,Markram,6.0,0,1,1,1,6.0,0,,1
"3.4 
1 
Mukesh Kumar to Markram, 1 run 
punched from the crease to long off for a single",3.4,1,1.0,"Mukesh Kumar to Markram, 1 run  .punched from the crease to long off for a single",Mukesh Kumar,Markram,1.0,0,0,1,1,1.0,0,,1
"3.5 
1 
Mukesh Kumar to Marsh, 1 run 
low full toss on a wicket to wicket line, Marsh drives to long on for a single",3.5,1,1.0,"Mukesh Kumar to Marsh, 1 run  .low full toss on a wicket to wicket line, Marsh drives to long on for a single",Mukesh Kumar,Marsh,1.0,0,0,1,1,1.0,0,,1
"3.6 
• 
Mukesh Kumar to Markram, no run 
fullish length angling into Markram from over the wicket, meets it on the front foot but 
can't beat the fielder at cover with the drive 
end of over 412 runs  
LSG: 31/0CRR: 7.75  
Aiden Markram24 (15b 1x4 2x6) 
Mitchell Marsh7 (9b 1x4) 
Mukesh Kumar 1-0-12-0 
Axar Patel 2-0-10-0 
Axar zipping through his spell ...",3.6,0,0.0,"Mukesh Kumar to Markram, no run  .fullish length angling into Markram from over the wicket, meets it on the front foot but  .can't beat the fielder at cover with the drive",Mukesh Kumar,Markram,0.0,0,0,1,1,0.0,0,,0
"4.1 
• 
Axar Patel to Marsh, no run 
nudged off the front foot on the leg side",4.1,0,0.0,"Axar Patel to Marsh, no run  .nudged off the front foot on the leg side",Axar Patel,Marsh,0.0,0,0,1,1,0.0,0,,0
"4.2 
4 
Axar Patel to Marsh, FOUR runs 
second boundary off Axar today, that's short and wide and Marsh drives hard off the 
back foot, in the air past the diving Porel at cover",4.2,4,4.0,"Axar Patel to Marsh, FOUR runs  .second boundary off Axar today, that's short and wide and Marsh drives hard off the  .back foot, in the air past the diving Porel at cover",Axar Patel,Marsh,4.0,1,0,1,1,4.0,0,,1
"4.3 
1 
Axar Patel to Marsh, 1 run 
pushed off the front foot to long off for a single",4.3,1,1.0,"Axar Patel to Marsh, 1 run  .pushed off the front foot to long off for a single",Axar Patel,Marsh,1.0,0,0,1,1,1.0,0,,1
"4.4 
2 
Axar Patel to Markram, 2 runs 
swung with the angle into him from around the wicket through square leg",4.4,2,2.0,"Axar Patel to Markram, 2 runs  .swung with the angle into him from around the wicket through square leg",Axar Patel,Markram,2.0,0,0,1,1,2.0,0,,1
"4.5 
1 
Axar Patel to Markram, 1 run 
moves back and towards leg and drives into the covers",4.5,1,1.0,"Axar Patel to Markram, 1 run  .moves back and towards leg and drives into the covers",Axar Patel,Markram,1.0,0,0,1,1,1.0,0,,1
"4.6 
1 
Axar Patel to Marsh, 1 run 
pushed down the ground to long off for a single 
end of over 59 runs  
LSG: 40/0CRR: 8.00  
Mitchell Marsh13 (13b 2x4) 
Aiden Markram27 (17b 1x4 2x6) 
Axar Patel 3-0-19-0 
Mukesh Kumar 1-0-12-0 
Chameera is playing his first game of the season, from over the wicket. 
Jay: ""Axar has been costly and has not completed his quote of 4 overs in the previous 
few games. I think him starting the bowling and getting those overs without being too 
expensive will be a big bonus.""",4.6,1,1.0,"Axar Patel to Marsh, 1 run  .pushed down the ground to long off for a single",Axar Patel,Marsh,1.0,0,0,1,1,1.0,0,,1
"5.1 
6 
Chameera to Marsh, SIX runs 
whoops, tough welcome. Length ball angling into the right-hander, Marsh stands in his 
crease and lofts it over deep backward square leg with a pick up shot, hitting it deep 
into the stands on the shorter side of the ground",5.1,6,6.0,"Chameera to Marsh, SIX runs  .whoops, tough welcome. Length ball angling into the right-hander, Marsh stands in his  .crease and lofts it over deep backward square leg with a pick up shot, hitting it deep  .into the stands on the shorter side of the ground",Chameera,Marsh,6.0,0,1,1,1,6.0,0,,1
"5.2 
1 
Chameera to Marsh, 1 run 
driven hard into the covers where the fielder dives to take pace off the shot",5.2,1,1.0,"Chameera to Marsh, 1 run  .driven hard into the covers where the fielder dives to take pace off the shot",Chameera,Marsh,1.0,0,0,1,1,1.0,0,,1
"5.3 
2 
Chameera to Markram, 2 runs 
slower ball bowled full and on the pads, Markram leans across and flicks behind square 
Ritz: ""Good captaincy by Axar this far... Taking the challenge of bowling in the power 
play and not allowing the LSG batters to run away at a big strike rate.. """,5.3,2,2.0,"Chameera to Markram, 2 runs  .slower ball bowled full and on the pads, Markram leans across and flicks behind square",Chameera,Markram,2.0,0,0,1,1,2.0,0,,1
"5.4 
• 
Chameera to Markram, no run 
Missed everything, the bat and the stumps. Markram had a huge swipe across the line 
at a short of a length ball and didn't make contact, that was pretty skiddy from 
Chameera with the cross seam",5.4,0,0.0,"Chameera to Markram, no run  .Missed everything, the bat and the stumps. Markram had a huge swipe across the line  .at a short of a length ball and didn't make contact, that was pretty skiddy from  .Chameera with the cross seam",Chameera,Markram,0.0,0,0,1,1,0.0,0,,0
"5.5 
1 
Chameera to Markram, 1 run 
slower one on off and middle, Markram stays in his crease and drives to long off",5.5,1,1.0,"Chameera to Markram, 1 run  .slower one on off and middle, Markram stays in his crease and drives to long off",Chameera,Markram,1.0,0,0,1,1,1.0,0,,1
