raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1w 
Starc to Abdullah Shafique, 1 wide 
It does but swings down leg. Length on 136ks on the pads, comes in and goes past the 
leg glance",0.1,1w,1.0,"Starc to Abdullah Shafique, 1 wide  .It does but swings down leg. Length on 136ks on the pads, comes in and goes past the  .leg glance",Starc,Abdullah Shafique,0.0,0,0,0,0,1.0,0,,1
"0.1 
1w 
Starc to Abdullah Shafique, 1 wide 
Down leg again. Similar line and length. Shafique lets it go after shaping for the flick 
Graham : ""Wow people criticising the score. If they we offered 367 at the start I'm pretty 
sure they'd take it in a heartbeat "" Australia should've gotten more but the score is 
skyscraper high",0.1,1w,1.0,"Starc to Abdullah Shafique, 1 wide  .Down leg again. Similar line and length. Shafique lets it go after shaping for the flick",Starc,Abdullah Shafique,0.0,0,0,0,0,1.0,0,,1
"0.1 
• 
Starc to Abdullah Shafique, no run 
Swings in to beat the inside edge. Fullish length just outside off, Shafique tried to drive 
through the line. Almost shaved it.",0.1,0,0.0,"Starc to Abdullah Shafique, no run  .Swings in to beat the inside edge. Fullish length just outside off, Shafique tried to drive  .through the line. Almost shaved it.",Starc,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
"0.2 
1w 
Starc to Abdullah Shafique, 1 wide 
Down leg third time in the over. Past the flick to the keeper",0.2,1w,1.0,"Starc to Abdullah Shafique, 1 wide  .Down leg third time in the over. Past the flick to the keeper",Starc,Abdullah Shafique,0.0,0,0,0,0,1.0,0,,1
"0.2 
1w 
Starc to Abdullah Shafique, 1 wide 
Four now! Fuller length but still sprays it. Past the flick again and Pakistan are 4 off one 
ball. 
Starc's changing his front boot after that. Can that help him find his footing?",0.2,1w,1.0,"Starc to Abdullah Shafique, 1 wide  .Four now! Fuller length but still sprays it. Past the flick again and Pakistan are 4 off one  .ball.  .Starc's changing his front boot after that. Can that help him find his footing?",Starc,Abdullah Shafique,0.0,0,0,0,0,1.0,0,,1
"0.2 
• 
Starc to Abdullah Shafique, no run 
Swings in to fourth stump. Very full, punched to mid-on 
Think there were RCB chants for a bit",0.2,0,0.0,"Starc to Abdullah Shafique, no run  .Swings in to fourth stump. Very full, punched to mid-on  .Think there were RCB chants for a bit",Starc,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Starc to Abdullah Shafique, no run 
Tries to drive through the line, gets beaten on the outside edge. It was on a three-quarter 
length. Angling away through five. Shafique went for the full-blooded drive. Missed it 
completely",0.3,0,0.0,"Starc to Abdullah Shafique, no run  .Tries to drive through the line, gets beaten on the outside edge. It was on a three-quarter  .length. Angling away through five. Shafique went for the full-blooded drive. Missed it  .completely",Starc,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
"0.4 
1 
Starc to Abdullah Shafique, 1 run 
Outside edge to deep third. Length at the stumps, 142ks, Shafique tried to push it 
straight",0.4,1,1.0,"Starc to Abdullah Shafique, 1 run  .Outside edge to deep third. Length at the stumps, 142ks, Shafique tried to push it  .straight",Starc,Abdullah Shafique,1.0,0,0,1,1,1.0,0,,1
"0.5 
• 
Starc to Imam-ul-Haq, no run 
Full on fourth, 146ks, defended with the swing to cover",0.5,0,0.0,"Starc to Imam-ul-Haq, no run  .Full on fourth, 146ks, defended with the swing to cover",Starc,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
"0.6 
3 
Starc to Imam-ul-Haq, 3 runs 
Driven through cover. Marnus chases from extra and dives close to the boundary, pulls 
it back in to save a run. Was overpitched just outside off. Imam was firm on the shot. 
Ten-ball over ends well for Pakistan. 
end of over 18 runs  
PAK: 8/0CRR: 8.00 • RRR: 7.34 • Need 360 runs from 49 overs 
Imam-ul-Haq3 (2b) 
Abdullah Shafique1 (4b) 
Mitchell Starc 1-0-8-0 
Hazlewood gets the new ball",0.6,3,3.0,"Starc to Imam-ul-Haq, 3 runs  .Driven through cover. Marnus chases from extra and dives close to the boundary, pulls  .it back in to save a run. Was overpitched just outside off. Imam was firm on the shot.  .Ten-ball over ends well for Pakistan.",Starc,Imam-ul-Haq,3.0,0,0,1,1,3.0,0,,1
"1.1 
4 
Hazlewood to Imam-ul-Haq, FOUR runs 
Square drive this time. Full but not a half-volley, Imam eased it to the left of Maxwell at 
point. He leapt across and may have got a hand on it but not enough to stop it 
Dan: ""Here comes a loosener from Hazleplod""",1.1,4,4.0,"Hazlewood to Imam-ul-Haq, FOUR runs  .Square drive this time. Full but not a half-volley, Imam eased it to the left of Maxwell at  .point. He leapt across and may have got a hand on it but not enough to stop it",Hazlewood,Imam-ul-Haq,4.0,1,0,1,1,4.0,0,,1
"1.2 
• 
Hazlewood to Imam-ul-Haq, no run 
Full ball angles away through fourth. Let go",1.2,0,0.0,"Hazlewood to Imam-ul-Haq, no run  .Full ball angles away through fourth. Let go",Hazlewood,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Hazlewood to Imam-ul-Haq, no run 
Full around off, defended to point 
Kannadachi : ""Just do whatever you did in the 1st over for the next 45 overs. Simple , 
Easy, Peesy!"" 
Second slip out. Backward point in. Three fielders patrolling that area",1.3,0,0.0,"Hazlewood to Imam-ul-Haq, no run  .Full around off, defended to point",Hazlewood,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Hazlewood to Imam-ul-Haq, no run 
Hard length, into the pitch, at the thigh pad. Beats the flick and hits him",1.4,0,0.0,"Hazlewood to Imam-ul-Haq, no run  .Hard length, into the pitch, at the thigh pad. Beats the flick and hits him",Hazlewood,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Hazlewood to Imam-ul-Haq, no run 
Fullish ball on off, 137ks, defended to point",1.5,0,0.0,"Hazlewood to Imam-ul-Haq, no run  .Fullish ball on off, 137ks, defended to point",Hazlewood,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
