raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Dutt to Bairstow, no run 
full length, tight line on off stump, a calm exploratory nudge back to the bowler",0.1,0,0.0,"Dutt to Bairstow, no run  .full length, tight line on off stump, a calm exploratory nudge back to the bowler",Dutt,Bairstow,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Dutt to Bairstow, no run 
turns and bounces a touch, Bairstow is back on his stumps, clipping to the leg side 
There's a slip in place",0.2,0,0.0,"Dutt to Bairstow, no run  .turns and bounces a touch, Bairstow is back on his stumps, clipping to the leg side  .There's a slip in place",Dutt,Bairstow,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Dutt to Bairstow, no run 
tight line once more, fired through outside off, pushed off the back foot to cover",0.3,0,0.0,"Dutt to Bairstow, no run  .tight line once more, fired through outside off, pushed off the back foot to cover",Dutt,Bairstow,0.0,0,0,1,1,0.0,0,,0
"0.4 
4 
Dutt to Bairstow, FOUR runs 
hard sweep! Bairstow kneels with intent, down the line of off stump, and rolls his wrists 
with the turn to thump it hard behind square",0.4,4,4.0,"Dutt to Bairstow, FOUR runs  .hard sweep! Bairstow kneels with intent, down the line of off stump, and rolls his wrists  .with the turn to thump it hard behind square",Dutt,Bairstow,4.0,1,0,1,1,4.0,0,,1
"0.5 
2 
Dutt to Bairstow, 2 runs 
rocks back this time, forced down through deep point but without timing, as two fielders 
give chase",0.5,2,2.0,"Dutt to Bairstow, 2 runs  .rocks back this time, forced down through deep point but without timing, as two fielders  .give chase",Dutt,Bairstow,2.0,0,0,1,1,2.0,0,,1
"0.6 
• 
Dutt to Bairstow, no run 
tossed up, turning back into the stumps, met on the back foot with a clip to the on-side 
Sonny: ""This has a bit of a feel of Last Chance Saloon for Bairstow in this format. He's 
been an incredible player in ODI for years, but the returns have diminished without the 
regular play time. But, YJB does best when his back is against the wall"" Feels like a last 
chance for most of this team, to be honest! How quickly things change... 
end of over 16 runs  
ENG: 6/0CRR: 6.00  
Jonny Bairstow6 (6b 1x4) 
Dawid Malan0 (0b) 
Aryan Dutt 1-0-6-0 
Logan van Beek to share the powerplay honours",0.6,0,0.0,"Dutt to Bairstow, no run  .tossed up, turning back into the stumps, met on the back foot with a clip to the on-side",Dutt,Bairstow,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
van Beek to Malan, no run 
stunning yorker! Wobbling all the way down into the blockhole, swinging in, and Malan 
has to stab down so late, as the ball hops down into the crease and over his stumpo!",1.1,0,0.0,"van Beek to Malan, no run  .stunning yorker! Wobbling all the way down into the blockhole, swinging in, and Malan  .has to stab down so late, as the ball hops down into the crease and over his stumpo!",van Beek,Malan,0.0,0,0,1,1,0.0,0,,0
"1.2 
4 
van Beek to Malan, FOUR runs 
goes ahead, comes out as a shin-high full-toss, plinked behind square off the pads. 
Whoops",1.2,4,4.0,"van Beek to Malan, FOUR runs  .goes ahead, comes out as a shin-high full-toss, plinked behind square off the pads.  .Whoops",van Beek,Malan,4.0,1,0,1,1,4.0,0,,1
"1.3 
4 
van Beek to Malan, FOUR runs 
over-pitched without being the blockhole ball, Malan glides into a straight drive, pumped 
through long-off. Beautiful weight transfer",1.3,4,4.0,"van Beek to Malan, FOUR runs  .over-pitched without being the blockhole ball, Malan glides into a straight drive, pumped  .through long-off. Beautiful weight transfer",van Beek,Malan,4.0,1,0,1,1,4.0,0,,1
"1.4 
4 
van Beek to Malan, FOUR runs 
three in three! Pushed across the left-hander, but Malan's balance at the crease is his 
strength, leans out to meet it and drills it out through the covers",1.4,4,4.0,"van Beek to Malan, FOUR runs  .three in three! Pushed across the left-hander, but Malan's balance at the crease is his  .strength, leans out to meet it and drills it out through the covers",van Beek,Malan,4.0,1,0,1,1,4.0,0,,1
"1.5 
• 
van Beek to Malan, no run 
better line and length outside off, blocked with the angle",1.5,0,0.0,"van Beek to Malan, no run  .better line and length outside off, blocked with the angle",van Beek,Malan,0.0,0,0,1,1,0.0,0,,0
"1.6 
1w 
van Beek to Malan, 1 wide 
slides past the legs as a tricky over gets longer still",1.6,1w,1.0,"van Beek to Malan, 1 wide  .slides past the legs as a tricky over gets longer still",van Beek,Malan,0.0,0,0,0,0,1.0,0,,1
"1.6 
1w 
van Beek to Malan, 1 wide 
fizzed past the pads, through to the keeper",1.6,1w,1.0,"van Beek to Malan, 1 wide  .fizzed past the pads, through to the keeper",van Beek,Malan,0.0,0,0,0,0,1.0,0,,1
