raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1w 
Hazlewood to de Kock, 1 wide 
pushed wide outside off stump and it's too wide",0.1,1w,1.0,"Hazlewood to de Kock, 1 wide  .pushed wide outside off stump and it's too wide",Hazlewood,de Kock,0.0,0,0,0,0,1.0,0,,1
"0.1 
• 
Hazlewood to de Kock, no run 
gets this one right, back of a length and middle and leg, defended down in the crease",0.1,0,0.0,"Hazlewood to de Kock, no run  .gets this one right, back of a length and middle and leg, defended down in the crease",Hazlewood,de Kock,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Hazlewood to de Kock, no run 
ouch! Extra bounce. That spits from just short of a length and hammers into de Kock's 
gloves",0.2,0,0.0,"Hazlewood to de Kock, no run  .ouch! Extra bounce. That spits from just short of a length and hammers into de Kock's  .gloves",Hazlewood,de Kock,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Hazlewood to de Kock, no run 
and this one climbs past the bat, although de Kock may have pulled his bat inside the 
line. Ah, no, he was beaten",0.3,0,0.0,"Hazlewood to de Kock, no run  .and this one climbs past the bat, although de Kock may have pulled his bat inside the  .line. Ah, no, he was beaten",Hazlewood,de Kock,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Hazlewood to de Kock, no run 
this bobbles close to the stumps! Back of a length and defended with some uncertainty, 
drops down by his feet and bounces around",0.4,0,0.0,"Hazlewood to de Kock, no run  .this bobbles close to the stumps! Back of a length and defended with some uncertainty,  .drops down by his feet and bounces around",Hazlewood,de Kock,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Hazlewood to de Kock, 1 run 
not what he was trying, was aiming to leave this, short of a length outside off, and it 
rolls off the face down to third",0.5,1,1.0,"Hazlewood to de Kock, 1 run  .not what he was trying, was aiming to leave this, short of a length outside off, and it  .rolls off the face down to third",Hazlewood,de Kock,1.0,0,0,1,1,1.0,0,,1
"0.6 
• 
Hazlewood to Bavuma, no run 
play and a miss outside off, aiming a back-foot drive to a short-of-a-length delivery 
end of over 12 runs  
SA: 2/0CRR: 2.00  
Temba Bavuma0 (1b) 
Quinton de Kock1 (5b) 
Josh Hazlewood 1-0-2-0 
Marcus Stoinis in his new-ball role...",0.6,0,0.0,"Hazlewood to Bavuma, no run  .play and a miss outside off, aiming a back-foot drive to a short-of-a-length delivery",Hazlewood,Bavuma,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Stoinis to de Kock, no run 
over the wicket, full at off stump with a hint of swing, defended to mid-off",1.1,0,0.0,"Stoinis to de Kock, no run  .over the wicket, full at off stump with a hint of swing, defended to mid-off",Stoinis,de Kock,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Stoinis to de Kock, no run 
touch shorter and it's whipped with the bottom hand to midwicket",1.2,0,0.0,"Stoinis to de Kock, no run  .touch shorter and it's whipped with the bottom hand to midwicket",Stoinis,de Kock,0.0,0,0,1,1,0.0,0,,0
"1.3 
1 
Stoinis to de Kock, 1 run 
leans back, drives with an open face and slices down to third 
Shaun Pollock says the surface looks as dry as he's seen it at the ground. Two slips 
now for Bavuma",1.3,1,1.0,"Stoinis to de Kock, 1 run  .leans back, drives with an open face and slices down to third  .Shaun Pollock says the surface looks as dry as he's seen it at the ground. Two slips  .now for Bavuma",Stoinis,de Kock,1.0,0,0,1,1,1.0,0,,1
"1.4 
• 
Stoinis to Bavuma, no run 
nicely bowled, shapes away outside off stump, Bavuma holds his bat inside the line",1.4,0,0.0,"Stoinis to Bavuma, no run  .nicely bowled, shapes away outside off stump, Bavuma holds his bat inside the line",Stoinis,Bavuma,0.0,0,0,1,1,0.0,0,,0
"1.5 
4 
Stoinis to Bavuma, FOUR runs 
lovely stroke, gets forward and drives a full delivery through the covers. Perfect timing",1.5,4,4.0,"Stoinis to Bavuma, FOUR runs  .lovely stroke, gets forward and drives a full delivery through the covers. Perfect timing",Stoinis,Bavuma,4.0,1,0,1,1,4.0,0,,1
"1.6 
• 
Stoinis to Bavuma, no run 
straightens the line, on middle and off, defended to the covers. A suggestion it may 
have kept a little low 
end of over 25 runs  
SA: 7/0CRR: 3.50  
Temba Bavuma4 (4b 1x4) 
Quinton de Kock2 (8b) 
Marcus Stoinis 1-0-5-0 
Josh Hazlewood 1-0-2-0",1.6,0,0.0,"Stoinis to Bavuma, no run  .straightens the line, on middle and off, defended to the covers. A suggestion it may  .have kept a little low",Stoinis,Bavuma,0.0,0,0,1,1,0.0,0,,0
"2.1 
1w 
Hazlewood to de Kock, 1 wide 
down the leg side, both his overs have started with a wide",2.1,1w,1.0,"Hazlewood to de Kock, 1 wide  .down the leg side, both his overs have started with a wide",Hazlewood,de Kock,0.0,0,0,0,0,1.0,0,,1
"2.1 
• 
Hazlewood to de Kock, no run 
back of a length at off stump, 129kph, defended to point",2.1,0,0.0,"Hazlewood to de Kock, no run  .back of a length at off stump, 129kph, defended to point",Hazlewood,de Kock,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Hazlewood to de Kock, no run 
good one...in the channel around off stump, zips past the edge as de Kock plays. Lovely 
delivery",2.2,0,0.0,"Hazlewood to de Kock, no run  .good one...in the channel around off stump, zips past the edge as de Kock plays. Lovely  .delivery",Hazlewood,de Kock,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Hazlewood to de Kock, no run 
short outside leg stump, sways inside the line and lets it through. Travels over the 
shoulder so avoids the wide call",2.3,0,0.0,"Hazlewood to de Kock, no run  .short outside leg stump, sways inside the line and lets it through. Travels over the  .shoulder so avoids the wide call",Hazlewood,de Kock,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Hazlewood to de Kock, no run 
beaten again! Top stuff from Hazlewood. Good length at off stump, seams away and 
beats the edge",2.4,0,0.0,"Hazlewood to de Kock, no run  .beaten again! Top stuff from Hazlewood. Good length at off stump, seams away and  .beats the edge",Hazlewood,de Kock,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Hazlewood to de Kock, no run 
tucked off the stumps with a closed face, finds square leg",2.5,0,0.0,"Hazlewood to de Kock, no run  .tucked off the stumps with a closed face, finds square leg",Hazlewood,de Kock,0.0,0,0,1,1,0.0,0,,0
"2.6 
• 
Hazlewood to de Kock, no run 
back of a length at middle and off, defended down by his feet. Excellent over and early 
dots to de Kock 
end of over 31 run  
SA: 8/0CRR: 2.66  
Quinton de Kock2 (14b) 
Temba Bavuma4 (4b 1x4) 
Josh Hazlewood 2-0-3-0 
Marcus Stoinis 1-0-5-0 
A short cover, very square, in a catching position",2.6,0,0.0,"Hazlewood to de Kock, no run  .back of a length at middle and off, defended down by his feet. Excellent over and early  .dots to de Kock",Hazlewood,de Kock,0.0,0,0,1,1,0.0,0,,0
"3.1 
1 
Stoinis to Bavuma, 1 run 
short of a length, knocked around the corner backward of square 
No slips",3.1,1,1.0,"Stoinis to Bavuma, 1 run  .short of a length, knocked around the corner backward of square  .No slips",Stoinis,Bavuma,1.0,0,0,1,1,1.0,0,,1
"3.2 
• 
Stoinis to de Kock, no run 
full and straight, 129kph, defended to mid-off",3.2,0,0.0,"Stoinis to de Kock, no run  .full and straight, 129kph, defended to mid-off",Stoinis,de Kock,0.0,0,0,1,1,0.0,0,,0
"3.3 
1 
Stoinis to de Kock, 1 run 
a neat back-foot punch straight down the ground but can't beat mid-off 
Slip back in Bavuma",3.3,1,1.0,"Stoinis to de Kock, 1 run  .a neat back-foot punch straight down the ground but can't beat mid-off  .Slip back in Bavuma",Stoinis,de Kock,1.0,0,0,1,1,1.0,0,,1
