raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Chahar to Rasheed, no run 
Punched to cover. This was full and swinging away. Rasheed drives it along the ground 
to the fielder 
See all photos 
 
Shaik Rasheed Career stats in T20s 
INNS 
17 
RUNS 
379 
SR 
127.60 
AVE 
29.15 
HS 
100*",0.1,0,0.0,"Chahar to Rasheed, no run  .Punched to cover. This was full and swinging away. Rasheed drives it along the ground  .to the fielder  .See all photos  .  .Shaik Rasheed Career stats in T20s  .INNS  .17  .RUNS  .379  .SR  .127.60  .AVE  .29.15  .HS  .100*",Chahar,Rasheed,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Chahar to Rasheed, no run 
Full around off, punched to mid-on. This was swinging in from outside off 
Fasna: ""well, i dont think anyone would have believed if someone had told Ayush that his 
first professional t20 will be under the captaincy of the great MSD that too at the age of 
17""",0.2,0,0.0,"Chahar to Rasheed, no run  .Full around off, punched to mid-on. This was swinging in from outside off",Chahar,Rasheed,0.0,0,0,1,1,0.0,0,,0
"0.3 
1 
Chahar to Rasheed, 1 run 
First run of the game! This is full on off, with that away movement again, and Rasheed 
pushes it to mid-off and takes off for a quick single 
Stays over the wicket to Ravindra",0.3,1,1.0,"Chahar to Rasheed, 1 run  .First run of the game! This is full on off, with that away movement again, and Rasheed  .pushes it to mid-off and takes off for a quick single  .Stays over the wicket to Ravindra",Chahar,Rasheed,1.0,0,0,1,1,1.0,0,,1
"0.4 
• 
Chahar to Ravindra, no run 
Edge doesn't carry! It's full and swinging away from the left-handed batter. Ravindra 
looks to block and the ball kisses the outside edge but dies down on the slip fielder",0.4,0,0.0,"Chahar to Ravindra, no run  .Edge doesn't carry! It's full and swinging away from the left-handed batter. Ravindra  .looks to block and the ball kisses the outside edge but dies down on the slip fielder",Chahar,Ravindra,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Chahar to Ravindra, 1 run 
On a length on leg, finishing on middle. Ravindra taps it towards extra cover for a quick 
run",0.5,1,1.0,"Chahar to Ravindra, 1 run  .On a length on leg, finishing on middle. Ravindra taps it towards extra cover for a quick  .run",Chahar,Ravindra,1.0,0,0,1,1,1.0,0,,1
"0.6 
2 
Chahar to Rasheed, 2 runs 
Back of length outside off with that away movement again. Rasheed meets it with a 
handsome punch between cover and mid-off for a brace 
end of over 14 runs  
CSK: 4/0CRR: 4.00  
Shaik Rasheed3 (4b) 
Rachin Ravindra1 (2b) 
Deepak Chahar 1-0-4-0 
Boult now. OVer the wicket to his compatriot 
 
Rachin Ravindra vs Trent Boult 
BALLS 
25 
RUNS 
43 
OUTS 
0 
SR 
172.00 
4s/6s 
2/3",0.6,2,2.0,"Chahar to Rasheed, 2 runs  .Back of length outside off with that away movement again. Rasheed meets it with a  .handsome punch between cover and mid-off for a brace",Chahar,Rasheed,2.0,0,0,1,1,2.0,0,,1
"1.1 
• 
Boult to Ravindra, no run 
What a beauty first up! Pitches it up outside off, 133kph, the ball swings away to just 
beat the outside edge as Ravindra looks to cover drive",1.1,0,0.0,"Boult to Ravindra, no run  .What a beauty first up! Pitches it up outside off, 133kph, the ball swings away to just  .beat the outside edge as Ravindra looks to cover drive",Boult,Ravindra,0.0,0,0,1,1,0.0,0,,0
"1.2 
2 
Boult to Ravindra, 2 runs 
Full outside off, Ravindra this time gets plenty of bat on it as he punches it firmly down 
the ground, but doesn't get it straight enough of Santner at mid-off, who scrambles 
across to stop that. They manage to run two",1.2,2,2.0,"Boult to Ravindra, 2 runs  .Full outside off, Ravindra this time gets plenty of bat on it as he punches it firmly down  .the ground, but doesn't get it straight enough of Santner at mid-off, who scrambles  .across to stop that. They manage to run two",Boult,Ravindra,2.0,0,0,1,1,2.0,0,,1
"1.3 
2 
Boult to Ravindra, 2 runs 
Punched between mid-off and extra cover this time as he gets a length ball around off, 
Santner gives chase again and saves a boundary",1.3,2,2.0,"Boult to Ravindra, 2 runs  .Punched between mid-off and extra cover this time as he gets a length ball around off,  .Santner gives chase again and saves a boundary",Boult,Ravindra,2.0,0,0,1,1,2.0,0,,1
"1.4 
• 
Boult to Ravindra, no run 
Another outswinger outside off, Ravindra with another firm drive but can't beat cover to 
his right",1.4,0,0.0,"Boult to Ravindra, no run  .Another outswinger outside off, Ravindra with another firm drive but can't beat cover to  .his right",Boult,Ravindra,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Boult to Ravindra, no run 
Leading edge rolls to short third. Rachin comes down the track to this full outswinger 
and looks to whip it leg side, but it goes off the outside half but along the surface",1.5,0,0.0,"Boult to Ravindra, no run  .Leading edge rolls to short third. Rachin comes down the track to this full outswinger  .and looks to whip it leg side, but it goes off the outside half but along the surface",Boult,Ravindra,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Boult to Ravindra, no run 
Boult persists with the outswingers to Ravindra, who he has never dismissed in a T20, 
and Ravindra drives it nicely, but straight to the cover fielder 
end of over 24 runs  
CSK: 8/0CRR: 4.00  
Rachin Ravindra5 (8b) 
Shaik Rasheed3 (4b) 
Trent Boult 1-0-4-0 
Deepak Chahar 1-0-4-0",1.6,0,0.0,"Boult to Ravindra, no run  .Boult persists with the outswingers to Ravindra, who he has never dismissed in a T20,  .and Ravindra drives it nicely, but straight to the cover fielder",Boult,Ravindra,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Chahar to Rasheed, no run 
Full outside off, Rasheed brings his bat down with an open face to steer it to point",2.1,0,0.0,"Chahar to Rasheed, no run  .Full outside off, Rasheed brings his bat down with an open face to steer it to point",Chahar,Rasheed,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Chahar to Rasheed, no run 
On a length outside off, punched out to point",2.2,0,0.0,"Chahar to Rasheed, no run  .On a length outside off, punched out to point",Chahar,Rasheed,0.0,0,0,1,1,0.0,0,,0
"2.3 
2 
Chahar to Rasheed, 2 runs 
Full outside off, Ravindra looks to swing it leg side but gets an inside edge that goes to 
short fine leg's left. Deep square leg does well to race across and prevent a boundary",2.3,2,2.0,"Chahar to Rasheed, 2 runs  .Full outside off, Ravindra looks to swing it leg side but gets an inside edge that goes to  .short fine leg's left. Deep square leg does well to race across and prevent a boundary",Chahar,Rasheed,2.0,0,0,1,1,2.0,0,,1
