raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
4 
Shaheen Shah Afridi to Young, FOUR runs 
Starts off with a juicy hall-volley and offers a bit of width, he opens the face of the bat 
and beautifully caresses this past extra cover for a scintillating boundary",0.1,4,4.0,"Shaheen Shah Afridi to Young, FOUR runs  .Starts off with a juicy hall-volley and offers a bit of width, he opens the face of the bat  .and beautifully caresses this past extra cover for a scintillating boundary",Shaheen Shah Afridi,Young,4.0,1,0,1,1,4.0,0,,1
"0.2 
• 
Shaheen Shah Afridi to Young, no run 
Better line! Back of a length, nips back from off stump and he blocks it resiliently off the 
front foot, defends right under his nose",0.2,0,0.0,"Shaheen Shah Afridi to Young, no run  .Better line! Back of a length, nips back from off stump and he blocks it resiliently off the  .front foot, defends right under his nose",Shaheen Shah Afridi,Young,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Shaheen Shah Afridi to Young, no run 
Wow! Nails the yorker on off stump, he jams his bat down and keeps out. Right on 
money!",0.3,0,0.0,"Shaheen Shah Afridi to Young, no run  .Wow! Nails the yorker on off stump, he jams his bat down and keeps out. Right on  .money!",Shaheen Shah Afridi,Young,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Shaheen Shah Afridi to Young, no run 
Fraction short and nibbling away in the channel, gets it to move away prodigiously 
outside off, he elects not to flirt with it",0.4,0,0.0,"Shaheen Shah Afridi to Young, no run  .Fraction short and nibbling away in the channel, gets it to move away prodigiously  .outside off, he elects not to flirt with it",Shaheen Shah Afridi,Young,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Shaheen Shah Afridi to Young, no run 
Length ball, angling into the stumps from over the wicket, squirted away to point",0.5,0,0.0,"Shaheen Shah Afridi to Young, no run  .Length ball, angling into the stumps from over the wicket, squirted away to point",Shaheen Shah Afridi,Young,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Shaheen Shah Afridi to Young, no run 
Darts in a thunderbolt, skidding through to the batter very very quickly, a love line and it 
goes whizzing away past the bat into Rizwan's gloves. Excellent first over, probing stuff 
end of over 14 runs  
NZ: 4/0CRR: 4.00 • RRR: 6.75 • Need 331 runs from 49 overs 
Will Young4 (6b 1x4) 
Tom Blundell0 (0b) 
Shaheen Shah Afridi 1-0-4-0",0.6,0,0.0,"Shaheen Shah Afridi to Young, no run  .Darts in a thunderbolt, skidding through to the batter very very quickly, a love line and it  .goes whizzing away past the bat into Rizwan's gloves. Excellent first over, probing stuff",Shaheen Shah Afridi,Young,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Haris Rauf to Blundell, 1 run 
Slightly shorter, angled in and straightening down the line middle and leg, flapped to 
square leg off the backfoot",1.1,1,1.0,"Haris Rauf to Blundell, 1 run  .Slightly shorter, angled in and straightening down the line middle and leg, flapped to  .square leg off the backfoot",Haris Rauf,Blundell,1.0,0,0,1,1,1.0,0,,1
"1.2 
• 
Haris Rauf to Young, no run 
Short of a length, nagging fourth stump line, saunters to the pitch of the ball with a half-
press forward and then glides it down to cover-point region",1.2,0,0.0,"Haris Rauf to Young, no run  .Short of a length, nagging fourth stump line, saunters to the pitch of the ball with a half- .press forward and then glides it down to cover-point region",Haris Rauf,Young,0.0,0,0,1,1,0.0,0,,0
"1.3 
1 
Haris Rauf to Young, 1 run 
Fraction shorter on middle and off, getting the ball to rise steeply off the deck, he fends 
it to mid-on fielder, who came charging in, but he couldn't prevent them from pinching a 
run",1.3,1,1.0,"Haris Rauf to Young, 1 run  .Fraction shorter on middle and off, getting the ball to rise steeply off the deck, he fends  .it to mid-on fielder, who came charging in, but he couldn't prevent them from pinching a  .run",Haris Rauf,Young,1.0,0,0,1,1,1.0,0,,1
"1.4 
• 
Haris Rauf to Blundell, no run 
Length ball, zinging it back in at Blundell who punches it down on the up to mid-off",1.4,0,0.0,"Haris Rauf to Blundell, no run  .Length ball, zinging it back in at Blundell who punches it down on the up to mid-off",Haris Rauf,Blundell,0.0,0,0,1,1,0.0,0,,0
"1.5 
1 
Haris Rauf to Blundell, 1 run 
That is precision bowling from Haris, a touch short, skiddy, thuds on the pads and 
caroms over to short square leg, aborts his lbw appeal quickly, it was clearing going 
down leg as they scamper thorough a run",1.5,1,1.0,"Haris Rauf to Blundell, 1 run  .That is precision bowling from Haris, a touch short, skiddy, thuds on the pads and  .caroms over to short square leg, aborts his lbw appeal quickly, it was clearing going  .down leg as they scamper thorough a run",Haris Rauf,Blundell,1.0,0,0,1,1,1.0,0,,1
"1.6 
• 
Haris Rauf to Young, no run 
Pulls his length back, aiming at the body, rises to his chest as he blocks it firmly off the 
backfoot, Haris does fielding off his own bowling. Both frontline bowling spearheads 
have kept things tight in their first over 
end of over 23 runs  
NZ: 7/0CRR: 3.50 • RRR: 6.83 • Need 328 runs from 48 overs 
Will Young5 (9b 1x4) 
Tom Blundell2 (3b) 
Haris Rauf 1-0-3-0 
Shaheen Shah Afridi 1-0-4-0",1.6,0,0.0,"Haris Rauf to Young, no run  .Pulls his length back, aiming at the body, rises to his chest as he blocks it firmly off the  .backfoot, Haris does fielding off his own bowling. Both frontline bowling spearheads  .have kept things tight in their first over",Haris Rauf,Young,0.0,0,0,1,1,0.0,0,,0
