raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Thakur to Rasheed, no run 
nice stride forward to his first ball and a punch to mid off, Rasheed is apparently 
opening fir the first time in T20s",0.1,0,0.0,"Thakur to Rasheed, no run  .nice stride forward to his first ball and a punch to mid off, Rasheed is apparently  .opening fir the first time in T20s",Thakur,Rasheed,0.0,0,0,1,1,0.0,0,,0
"0.2 
1 
Thakur to Rasheed, 1 run 
off the mark is young Rasheed with a nice, confident stride and punch into the covers, 
shardul is keeping it on a length around off stump",0.2,1,1.0,"Thakur to Rasheed, 1 run  .off the mark is young Rasheed with a nice, confident stride and punch into the covers,  .shardul is keeping it on a length around off stump",Thakur,Rasheed,1.0,0,0,1,1,1.0,0,,1
"0.3 
4 
Thakur to Ravindra, FOUR runs 
driven delightfully through the covers, front foot forward and a full swing of the bat, just 
too full and wide from Shardul, too easy 
Rachin's got a bit of Buttler's shoulder wiggle going.",0.3,4,4.0,"Thakur to Ravindra, FOUR runs  .driven delightfully through the covers, front foot forward and a full swing of the bat, just  .too full and wide from Shardul, too easy  .Rachin's got a bit of Buttler's shoulder wiggle going.",Thakur,Ravindra,4.0,1,0,1,1,4.0,0,,1
"0.4 
4 
Thakur to Ravindra, FOUR runs 
too full and too straight this time, too easy again for Rachin and he flocks it off his pads 
for another boundary behind square",0.4,4,4.0,"Thakur to Ravindra, FOUR runs  .too full and too straight this time, too easy again for Rachin and he flocks it off his pads  .for another boundary behind square",Thakur,Ravindra,4.0,1,0,1,1,4.0,0,,1
"0.5 
1 
Thakur to Ravindra, 1 run 
full toss, driven towards the bowler on the bounce, Shardul gets a hand on it and takes 
the pace off, they run a single to long off 
Baba: ""Shaik Rasheed's backlift and style of play resembles Ruturaj. Certainly looks 
easy on the eye and stylish as well!!""",0.5,1,1.0,"Thakur to Ravindra, 1 run  .full toss, driven towards the bowler on the bounce, Shardul gets a hand on it and takes  .the pace off, they run a single to long off",Thakur,Ravindra,1.0,0,0,1,1,1.0,0,,1
"0.6 
• 
Thakur to Rasheed, no run 
keeps his bat raised as the bowler runs in and moves forward a touch to drive a fullish 
ball to mid off, encouraging start for CSK 
end of over 110 runs  
CSK: 10/0CRR: 10.00 • RRR: 8.26 • Need 157 runs from 114b 
Shaik Rasheed1 (3b) 
Rachin Ravindra9 (3b 2x4) 
Shardul Thakur 1-0-10-0 
Akash Deep from around the wicket.",0.6,0,0.0,"Thakur to Rasheed, no run  .keeps his bat raised as the bowler runs in and moves forward a touch to drive a fullish  .ball to mid off, encouraging start for CSK",Thakur,Rasheed,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Akash Deep to Ravindra, 1 run 
angles the full ball in to the left-hander, driven back to the bowler, he gets a hand on it 
but can't field it cleanly",1.1,1,1.0,"Akash Deep to Ravindra, 1 run  .angles the full ball in to the left-hander, driven back to the bowler, he gets a hand on it  .but can't field it cleanly",Akash Deep,Ravindra,1.0,0,0,1,1,1.0,0,,1
"1.2 
• 
Akash Deep to Rasheed, no run 
good length with some zip outside off, Rasheed is late on the defence and gets beaten",1.2,0,0.0,"Akash Deep to Rasheed, no run  .good length with some zip outside off, Rasheed is late on the defence and gets beaten",Akash Deep,Rasheed,0.0,0,0,1,1,0.0,0,,0
"1.3 
4 
Akash Deep to Rasheed, FOUR runs 
picks up his first boundary with an elegant flick off the pads through midwicket, uppish 
and through the gap",1.3,4,4.0,"Akash Deep to Rasheed, FOUR runs  .picks up his first boundary with an elegant flick off the pads through midwicket, uppish  .and through the gap",Akash Deep,Rasheed,4.0,1,0,1,1,4.0,0,,1
"1.4 
• 
Akash Deep to Rasheed, no run 
tries to nudge the ball off his pads behind square but misses",1.4,0,0.0,"Akash Deep to Rasheed, no run  .tries to nudge the ball off his pads behind square but misses",Akash Deep,Rasheed,0.0,0,0,1,1,0.0,0,,0
"1.5 
4 
Akash Deep to Rasheed, FOUR runs 
second boundary for Rasheed, moves forward to a fullish ball and plays a chippy-punch 
wide of the bowler and straight enough to beat mid-on",1.5,4,4.0,"Akash Deep to Rasheed, FOUR runs  .second boundary for Rasheed, moves forward to a fullish ball and plays a chippy-punch  .wide of the bowler and straight enough to beat mid-on",Akash Deep,Rasheed,4.0,1,0,1,1,4.0,0,,1
"1.6 
4 
Akash Deep to Rasheed, FOUR runs 
shot! It was a short ball and Rasheed sent it packing with a sublime swivel pull off the 
front foot, lofted it clean over the infield 
end of over 213 runs  
CSK: 23/0CRR: 11.50 • RRR: 8.00 • Need 144 runs from 108b 
Shaik Rasheed13 (8b 3x4) 
Rachin Ravindra10 (4b 2x4) 
Akash Deep 1-0-13-0 
Shardul Thakur 1-0-10-0 
No leaves yet from CSK's batters.",1.6,4,4.0,"Akash Deep to Rasheed, FOUR runs  .shot! It was a short ball and Rasheed sent it packing with a sublime swivel pull off the  .front foot, lofted it clean over the infield",Akash Deep,Rasheed,4.0,1,0,1,1,4.0,0,,1
"2.1 
1 
Thakur to Ravindra, 1 run 
clipped off the pads towards long on for a single 
Cricfan: ""Have seen this guy on the bench for quite some time, glad he finally got the 
opportunity to play."" Been a couple of seasons I think. They bought him back at the 
auction.",2.1,1,1.0,"Thakur to Ravindra, 1 run  .clipped off the pads towards long on for a single",Thakur,Ravindra,1.0,0,0,1,1,1.0,0,,1
"2.2 
• 
Thakur to Rasheed, no run 
strides forward to a good length ball and pushes into the covers",2.2,0,0.0,"Thakur to Rasheed, no run  .strides forward to a good length ball and pushes into the covers",Thakur,Rasheed,0.0,0,0,1,1,0.0,0,,0
"2.3 
4 
Thakur to Rasheed, FOUR runs 
in the air but wide of the fielder at point for another boundary! Rasheed pushed hard at a 
full ball angling into his front pad, closing his face a touch to get a leading edge that 
flew through the gap",2.3,4,4.0,"Thakur to Rasheed, FOUR runs  .in the air but wide of the fielder at point for another boundary! Rasheed pushed hard at a  .full ball angling into his front pad, closing his face a touch to get a leading edge that  .flew through the gap",Thakur,Rasheed,4.0,1,0,1,1,4.0,0,,1
"2.4 
4 
Thakur to Rasheed, FOUR runs 
CSK are up and running big time! A full ball on middle stump, Rasheed simply chips it in 
the air over the infield between midwicket and mid-on",2.4,4,4.0,"Thakur to Rasheed, FOUR runs  .CSK are up and running big time! A full ball on middle stump, Rasheed simply chips it in  .the air over the infield between midwicket and mid-on",Thakur,Rasheed,4.0,1,0,1,1,4.0,0,,1
"2.5 
1 
Thakur to Rasheed, 1 run 
flicked off the pads behind square for a single 
Rachin with the shoulder wobble again ... 
Riya: ""This is what hunger, youth, and desperation to prove yourself can do""",2.5,1,1.0,"Thakur to Rasheed, 1 run  .flicked off the pads behind square for a single  .Rachin with the shoulder wobble again ...",Thakur,Rasheed,1.0,0,0,1,1,1.0,0,,1
"2.6 
4 
Thakur to Ravindra, FOUR runs 
and he dispatches the final ball of the over with a gorgeous cover drive, through the gap 
and all along the ground 
end of over 314 runs  
CSK: 37/0CRR: 12.33 • RRR: 7.64 • Need 130 runs from 102b 
Rachin Ravindra15 (6b 3x4) 
Shaik Rasheed22 (12b 5x4) 
Shardul Thakur 2-0-24-0 
Akash Deep 1-0-13-0 
LSG turn to Digvesh Rathi to bowl his bag of tricks. What a find he's been this season.",2.6,4,4.0,"Thakur to Ravindra, FOUR runs  .and he dispatches the final ball of the over with a gorgeous cover drive, through the gap  .and all along the ground",Thakur,Ravindra,4.0,1,0,1,1,4.0,0,,1
"3.1 
1w 
Rathi to Rasheed, 1 wide 
oh he begins with a wide down leg side, dragged it down really short and is lucky to not 
get punished",3.1,1w,1.0,"Rathi to Rasheed, 1 wide  .oh he begins with a wide down leg side, dragged it down really short and is lucky to not  .get punished",Rathi,Rasheed,0.0,0,0,0,0,1.0,0,,1
"3.1 
1 
Rathi to Rasheed, 1 run 
nudged off the back foot through midwicket",3.1,1,1.0,"Rathi to Rasheed, 1 run  .nudged off the back foot through midwicket",Rathi,Rasheed,1.0,0,0,1,1,1.0,0,,1
"3.2 
1 
Rathi to Ravindra, 1 run 
bowled slow on a wicket to wicket line, nudged off the front foot into the covers",3.2,1,1.0,"Rathi to Ravindra, 1 run  .bowled slow on a wicket to wicket line, nudged off the front foot into the covers",Rathi,Ravindra,1.0,0,0,1,1,1.0,0,,1
"3.3 
• 
Rathi to Rasheed, no run 
fuller ball, in the blockhole, Rasheed digs it out into the covers",3.3,0,0.0,"Rathi to Rasheed, no run  .fuller ball, in the blockhole, Rasheed digs it out into the covers",Rathi,Rasheed,0.0,0,0,1,1,0.0,0,,0
"3.4 
1w 
Rathi to Rasheed, 1 wide 
drifts down leg side with the fuller ball, Rasheed misses the sweep",3.4,1w,1.0,"Rathi to Rasheed, 1 wide  .drifts down leg side with the fuller ball, Rasheed misses the sweep",Rathi,Rasheed,0.0,0,0,0,0,1.0,0,,1
"3.4 
• 
Rathi to Rasheed, no run 
goes back to one that spins into him and gets hit on the pads, he was trying to work that 
through the leg side",3.4,0,0.0,"Rathi to Rasheed, no run  .goes back to one that spins into him and gets hit on the pads, he was trying to work that  .through the leg side",Rathi,Rasheed,0.0,0,0,1,1,0.0,0,,0
"3.5 
• 
Rathi to Rasheed, no run 
nudged off the pads behind square, Rasheed wants one but Rachin says no 
Imran Assam : ""Rachin Shaik Digvesh....all the youngsters.. what a picture to enjoy """,3.5,0,0.0,"Rathi to Rasheed, no run  .nudged off the pads behind square, Rasheed wants one but Rachin says no",Rathi,Rasheed,0.0,0,0,1,1,0.0,0,,0
"3.6 
4 
Rathi to Rasheed, FOUR runs 
slightly shorter and Rasheed whips the ball off his pads through the gap between 
square leg and short fine leg, he's not trying to smash the ball but is getting plenty of 
rewards for his timing and placement 
end of over 48 runs  
CSK: 45/0CRR: 11.25 • RRR: 7.62 • Need 122 runs from 96b 
Shaik Rasheed27 (17b 6x4) 
Rachin Ravindra16 (7b 3x4) 
Digvesh Rathi 1-0-8-0 
Shardul Thakur 2-0-24-0 
Avesh Khan to bowl ...",3.6,4,4.0,"Rathi to Rasheed, FOUR runs  .slightly shorter and Rasheed whips the ball off his pads through the gap between  .square leg and short fine leg, he's not trying to smash the ball but is getting plenty of  .rewards for his timing and placement",Rathi,Rasheed,4.0,1,0,1,1,4.0,0,,1
"4.1 
4 
Avesh Khan to Ravindra, FOUR runs 
flayed to the point boundary! Length ball with lots of width at gentle pace, Rachin moves 
forward and drives the ball gracefully through the gap",4.1,4,4.0,"Avesh Khan to Ravindra, FOUR runs  .flayed to the point boundary! Length ball with lots of width at gentle pace, Rachin moves  .forward and drives the ball gracefully through the gap",Avesh Khan,Ravindra,4.0,1,0,1,1,4.0,0,,1
"4.2 
2 
Avesh Khan to Ravindra, 2 runs 
pushed off the front foot through point and the running between the wickets is excellent 
to bring up the 50 partnership for CSK!",4.2,2,2.0,"Avesh Khan to Ravindra, 2 runs  .pushed off the front foot through point and the running between the wickets is excellent  .to bring up the 50 partnership for CSK!",Avesh Khan,Ravindra,2.0,0,0,1,1,2.0,0,,1
"4.3 
1 
Avesh Khan to Ravindra, 1 run 
driven into the pitch and the ball bounces over the bowler's head for a single",4.3,1,1.0,"Avesh Khan to Ravindra, 1 run  .driven into the pitch and the ball bounces over the bowler's head for a single",Avesh Khan,Ravindra,1.0,0,0,1,1,1.0,0,,1
"4.4 
• 
Avesh Khan to Rasheed, no run 
full and straight, Rasheed clips the ball to midwicket",4.4,0,0.0,"Avesh Khan to Rasheed, no run  .full and straight, Rasheed clips the ball to midwicket",Avesh Khan,Rasheed,0.0,0,0,1,1,0.0,0,,0
