raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Bumrah to Zaman, no run 
very full and shaping away outside off, Fakhar wafts and misses in the channel 
Two slips in place for Bumrah",0.1,0,0.0,"Bumrah to Zaman, no run  .very full and shaping away outside off, Fakhar wafts and misses in the channel  .Two slips in place for Bumrah",Bumrah,Zaman,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Bumrah to Zaman, no run 
much fuller and darted across off stump, another outswinger, left alone by Fakhar 
Adnan: ""Its my birthday today. Please chase this Pakistan to make my day even better 
:)""",0.2,0,0.0,"Bumrah to Zaman, no run  .much fuller and darted across off stump, another outswinger, left alone by Fakhar",Bumrah,Zaman,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Bumrah to Zaman, no run 
inswinger from Bumrah, but this seems to be heading down the leg side",0.3,0,0.0,"Bumrah to Zaman, no run  .inswinger from Bumrah, but this seems to be heading down the leg side",Bumrah,Zaman,0.0,0,0,1,1,0.0,0,,0
"0.4 
5w 
Bumrah to Zaman, 5 wide 
another inswinger from Bumrah. He sends this down the leg side. Kishan dives but can't 
stop this one",0.4,5w,5.0,"Bumrah to Zaman, 5 wide  .another inswinger from Bumrah. He sends this down the leg side. Kishan dives but can't  .stop this one",Bumrah,Zaman,0.0,0,0,0,0,5.0,0,,1
"0.4 
• 
Bumrah to Zaman, no run 
good length and shaping away outside off, Fakhar pokes at it and is beaten once again",0.4,0,0.0,"Bumrah to Zaman, no run  .good length and shaping away outside off, Fakhar pokes at it and is beaten once again",Bumrah,Zaman,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Bumrah to Zaman, no run 
good length, angling away, swinging away further, no shot",0.5,0,0.0,"Bumrah to Zaman, no run  .good length, angling away, swinging away further, no shot",Bumrah,Zaman,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Bumrah to Zaman, no run 
another beauty from Bumrah. On the fuller side of a good length, draws Fakhar forward 
and finds away movement to go past the outside edge 
end of over 15 runs  
PAK: 5/0CRR: 5.00 • RRR: 7.18 • Need 352 runs from 49 overs 
Fakhar Zaman0 (6b) 
Imam-ul-Haq0 (0b) 
Jasprit Bumrah 1-0-5-0 
Siraj. Over the wicket",0.6,0,0.0,"Bumrah to Zaman, no run  .another beauty from Bumrah. On the fuller side of a good length, draws Fakhar forward  .and finds away movement to go past the outside edge",Bumrah,Zaman,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Siraj to Imam-ul-Haq, no run 
shorter and seams back in against the angle from over the wicket, squeezed into the off 
side via an inside edge 
Mayank: ""@Adnan, Happy Birthday, But can you please get some other gift ?""",1.1,0,0.0,"Siraj to Imam-ul-Haq, no run  .shorter and seams back in against the angle from over the wicket, squeezed into the off  .side via an inside edge",Siraj,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
"1.2 
1w 
Siraj to Imam-ul-Haq, 1 wide 
very full and sprayed wide of off, off-side wide",1.2,1w,1.0,"Siraj to Imam-ul-Haq, 1 wide  .very full and sprayed wide of off, off-side wide",Siraj,Imam-ul-Haq,0.0,0,0,0,0,1.0,0,,1
"1.2 
• 
Siraj to Imam-ul-Haq, no run 
fullish and outside off, forward and driven to mid-on",1.2,0,0.0,"Siraj to Imam-ul-Haq, no run  .fullish and outside off, forward and driven to mid-on",Siraj,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
"1.3 
4 
Siraj to Imam-ul-Haq, FOUR runs 
Imam jumps on top of a short ball angling across him and bashes it just wide of point. 
Terrific square-cut",1.3,4,4.0,"Siraj to Imam-ul-Haq, FOUR runs  .Imam jumps on top of a short ball angling across him and bashes it just wide of point.  .Terrific square-cut",Siraj,Imam-ul-Haq,4.0,1,0,1,1,4.0,0,,1
"1.4 
• 
Siraj to Imam-ul-Haq, no run 
shorter and angling across off, but still closer to off, Imam hops and fends it back to 
Siraj",1.4,0,0.0,"Siraj to Imam-ul-Haq, no run  .shorter and angling across off, but still closer to off, Imam hops and fends it back to  .Siraj",Siraj,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
