raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Starc to Ravindra, no run 
A bit of swing away early to beat the dangling bat. Length ball lands around fourth 
stump and keeps going away, Ravindra didn't transfer his weight, tried to run it to third 
with the bat-face facing extra cover. Very tentative.",0.1,0,0.0,"Starc to Ravindra, no run  .A bit of swing away early to beat the dangling bat. Length ball lands around fourth  .stump and keeps going away, Ravindra didn't transfer his weight, tried to run it to third  .with the bat-face facing extra cover. Very tentative.",Starc,Ravindra,0.0,0,0,1,1,0.0,0,,0
"0.2 
2nb 
Starc to Ravindra, (no ball) 1 run 
Dabs it off the middle this time, a firmer square drive this time. Gets it wide of slips... 
and the klaxon goes off. Starc has overstepped 
Good time for the incoming Conway to get a free hit",0.2,2nb,2.0,"Starc to Ravindra, (no ball) 1 run  .Dabs it off the middle this time, a firmer square drive this time. Gets it wide of slips...  .and the klaxon goes off. Starc has overstepped  .Good time for the incoming Conway to get a free hit",Starc,Ravindra,1.0,0,0,1,0,2.0,0,,1
"0.2 
1 
Starc to Conway, 1 run 
Starc gets away with it. A bouncer just under the shoulder was angling slightly down leg, 
Conway tried to use the pace and angle but the bottom hand came off as he pulled. 
Fielder half-stops it, parries it to the side. 
 
Mitchell Starc in IPL, 2025 
INNS 
3 
WKTS 
8 
ECON 
10.00 
AVE 
10.00 
BEST 
5/35",0.2,1,1.0,"Starc to Conway, 1 run  .Starc gets away with it. A bouncer just under the shoulder was angling slightly down leg,  .Conway tried to use the pace and angle but the bottom hand came off as he pulled.  .Fielder half-stops it, parries it to the side.  .  .Mitchell Starc in IPL, 2025  .INNS  .3  .WKTS  .8  .ECON  .10.00  .AVE  .10.00  .BEST  .5/35",Starc,Conway,1.0,0,0,1,1,1.0,0,,1
"0.3 
1 
Starc to Ravindra, 1 run 
Wide on a length, guided to deep point 
Vidyut: ""Ekanth what do you think about the dhoni retirement ""rumours""... it maybe true 
so in quotes"" They're just rumours for now, so not taking it too seriously.",0.3,1,1.0,"Starc to Ravindra, 1 run  .Wide on a length, guided to deep point",Starc,Ravindra,1.0,0,0,1,1,1.0,0,,1
"0.4 
2 
Starc to Conway, 2 runs 
Fullish on leg, clipped to the left of Mukesh at square leg. He lays fingertips and takes 
the pace off the ball as it rolls into the outfield",0.4,2,2.0,"Starc to Conway, 2 runs  .Fullish on leg, clipped to the left of Mukesh at square leg. He lays fingertips and takes  .the pace off the ball as it rolls into the outfield",Starc,Conway,2.0,0,0,1,1,2.0,0,,1
"0.5 
• 
Starc to Conway, no run 
Inside edges a straight drive onto pad, ball deflects along the ground to cover. Was a 
144ks full ball angling in towards off 
Deep third is fine",0.5,0,0.0,"Starc to Conway, no run  .Inside edges a straight drive onto pad, ball deflects along the ground to cover. Was a  .144ks full ball angling in towards off  .Deep third is fine",Starc,Conway,0.0,0,0,1,1,0.0,0,,0
"0.6 
4lb 
Starc to Conway, 4 leg byes 
Full ball slants onto the pads, 141ks, so Conway not connecting with the flick didn't 
matter. The ball raced off the pad, too fine for deep fine leg to be in picture 
end of over 110 runs  
CSK: 10/0CRR: 10.00 • RRR: 9.15 • Need 174 runs from 114b 
Devon Conway3 (4b) 
Rachin Ravindra2 (3b) 
Mitchell Starc 1-0-6-0 
Mukesh has deep square leg and long-on out. Slip in, ring field on the off side. All at the 
edge of the ring. Midwicket is the only infielder on the leg side",0.6,4lb,4.0,"Starc to Conway, 4 leg byes  .Full ball slants onto the pads, 141ks, so Conway not connecting with the flick didn't  .matter. The ball raced off the pad, too fine for deep fine leg to be in picture",Starc,Conway,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Mukesh Kumar to Ravindra, 1 run 
Shortish ball at the hips is pulled to long leg 
Square leg and third are out now. Around the wicket",1.1,1,1.0,"Mukesh Kumar to Ravindra, 1 run  .Shortish ball at the hips is pulled to long leg  .Square leg and third are out now. Around the wicket",Mukesh Kumar,Ravindra,1.0,0,0,1,1,1.0,0,,1
"1.2 
2 
Mukesh Kumar to Conway, 2 runs 
Misfield at point allows an extra run, Vipraj swooped in and tried to pick up and throw 
with the right hand. Laid no hand on it. Was an inswinging length ball around fourth that 
Conway pushed with a fully open bat face despite having little room",1.2,2,2.0,"Mukesh Kumar to Conway, 2 runs  .Misfield at point allows an extra run, Vipraj swooped in and tried to pick up and throw  .with the right hand. Laid no hand on it. Was an inswinging length ball around fourth that  .Conway pushed with a fully open bat face despite having little room",Mukesh Kumar,Conway,2.0,0,0,1,1,2.0,0,,1
"1.3 
1lb 
Mukesh Kumar to Conway, 1 leg bye 
Fullish on the pads, beaten on the flick. Ball rolls off the pad towards midwicket 
Rahul Malnad: ""Is KL keeping the wickets? "" No, Porel is",1.3,1lb,1.0,"Mukesh Kumar to Conway, 1 leg bye  .Fullish on the pads, beaten on the flick. Ball rolls off the pad towards midwicket",Mukesh Kumar,Conway,0.0,0,0,1,1,0.0,0,,0
